chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2013-01-13,1,WILL I AM FT BRITNEY SPEARS,SCREAM & SHOUT,2,1,5
2013-01-13,2,TAYLOR SWIFT,I KNEW YOU WERE TROUBLE,5,2,13
2013-01-13,3,JAMES ARTHUR,IMPOSSIBLE,1,1,5
2013-01-13,4,RIHANNA FT MIKKY EKKO,STAY,7,4,5
2013-01-13,5,CALVIN HARRIS FT TINIE TEMPAH,DRINKING FROM THE BOTTLE,15,5,10
2013-01-13,6,DAVID BOWIE,WHERE ARE WE NOW,New,6,1
2013-01-13,7,PITBULL FT TJR,DON'T STOP THE PARTY,12,7,6
2013-01-13,8,BRUNO MARS,LOCKED OUT OF HEAVEN,4,2,9
2013-01-13,9,PSY,GANGNAM STYLE,3,1,19
2013-01-13,10,OLLY MURS FT FLO RIDA,TROUBLEMAKER,6,1,8
2013-01-13,11,RIHANNA,DIAMONDS,8,1,15
2013-01-13,12,ONE DIRECTION,KISS YOU,26,12,7
2013-01-13,13,LUMINEERS,HO HEY,16,8,13
2013-01-13,14,SWEDISH HOUSE MAFIA/MARTIN,DON'T YOU WORRY CHILD,9,1,14
2013-01-13,15,LABRINTH FT EMELI SANDE,BENEATH YOUR BEAUTIFUL,10,1,14
2013-01-13,16,ROBBIE WILLIAMS,CANDY,11,1,11
2013-01-13,17,KESHA,DIE YOUNG,13,7,7
2013-01-13,18,PINK,TRY,14,8,13
2013-01-13,19,DISCLOSURE FT SAM SMITH,LATCH,27,11,14
2013-01-13,20,VATO GONZALEZ VS LETHAL BIZZLE,NOT A SAINT,New,20,1
2013-01-13,21,ADELE,SKYFALL,20,2,15
2013-01-13,22,KANYE WEST/JAY Z/BIG SEAN,CLIQUE,63,22,14
2013-01-13,23,EMELI SANDE,CLOWN,94,23,6
2013-01-13,24,CALVIN HARRIS/FLORENCE WELCH,SWEET NOTHING,18,1,13
2013-01-13,25,DJ FRESH,GOLD DUST,22,22,33
2013-01-13,26,JAKE BUGG,LIGHTNING BOLT,42,26,6
2013-01-13,27,DAVID GUETTA FT TAPED RAI,JUST ONE LAST TIME,67,27,5
2013-01-13,28,ELLIE GOULDING,ANYTHING COULD HAPPEN,36,5,15
2013-01-13,29,ONE DIRECTION,LITTLE THINGS,17,1,9
2013-01-13,30,MAROON 5,ONE MORE NIGHT,29,8,16
2013-01-13,31,ALICIA KEYS,GIRL ON FIRE,24,5,8
2013-01-13,32,HAIM,DON'T SAVE ME,51,32,4
2013-01-13,33,SCRIPT FT WILL I AM,HALL OF FAME,19,1,19
2013-01-13,34,GABRIELLE APLIN,THE POWER OF LOVE,23,1,10
2013-01-13,35,EMELI SANDE,READ ALL ABOUT IT PT 3,44,3,25
2013-01-13,36,TAYLOR SWIFT,WE ARE NEVER EVER GETTING BACK TOGETHER,31,4,21
2013-01-13,37,JUSTIN BIEBER FT NICKI MINAJ,BEAUTY AND A BEAT,32,16,14
2013-01-13,38,BON JOVI,BECAUSE WE CAN,New,38,1
2013-01-13,39,MATRIX/FUTUREBOUND/BABY BLUE,MAGNETIC EYES,100,39,2
2013-01-13,40,FLORENCE & THE MACHINE,SPECTRUM,35,1,27
2013-01-13,41,CARLY RAE JEPSEN,CALL ME MAYBE,25,1,41
2013-01-13,42,WILLY MOON,YEAH YEAH,28,26,9
2013-01-13,43,JAY-Z & KANYE WEST,N****S IN PARIS,30,10,47
2013-01-13,44,WILEY/SKEPTA/JME/MS D,CAN YOU HEAR ME (AYAYAYA),34,3,11
2013-01-13,45,JAKE BUGG,TWO FINGERS,50,28,9
2013-01-13,46,RUDIMENTAL/NEWMAN/CLARE,NOT GIVING IN,40,14,8
2013-01-13,47,JUSTICE COLLECTIVE,HE AIN'T HEAVY HE'S MY BROTHER,21,1,4
2013-01-13,48,BURNS,LIES,RE,32,6
2013-01-13,49,CHRISTINA PERRI,A THOUSAND YEARS,37,13,23
2013-01-13,50,IMAGINE DRAGONS,RADIOACTIVE,58,35,7
2013-01-13,51,SAM & THE WOMP,BOM BOM,33,1,21
2013-01-13,52,BLACKSTREET FT DR DRE,NO DIGGITY,RE,9,11
2013-01-13,53,FRANK OCEAN,LOST,RE,53,2
2013-01-13,54,COLDPLAY,PARADISE,41,1,52
2013-01-13,55,ONE POUND FISH MAN,ONE POUND FISH,39,28,5
2013-01-13,56,ONE DIRECTION,LIVE WHILE WE'RE YOUNG,38,3,15
2013-01-13,57,SUB FOCUS FT ALPINES,TIDAL WAVE,62,12,10
2013-01-13,58,SKRILLEX/DAMIAN JR GONG MARLEY,MAKE IT BUN DEM,65,58,4
2013-01-13,59,FLO RIDA,LET IT ROLL,New,59,1
2013-01-13,60,DAVID GUETTA FT SIA,TITANIUM,47,1,55
2013-01-13,61,CONOR MAYNARD,ANIMAL,New,61,1
2013-01-13,62,NE-YO,FOREVER NOW,RE,62,2
2013-01-13,63,SKRILLEX FT SIRAH,BANGARANG,54,24,42
2013-01-13,64,KID CUDI FT MGMT & RATATAT,PURSUIT OF HAPPINESS,99,64,5
2013-01-13,65,LITTLE MIX,DNA,43,3,9
2013-01-13,66,GOTYE FT KIMBRA,SOMEBODY THAT I USED TO KNOW,45,1,54
2013-01-13,67,ASAP ROCKY FT DRAKE/2 CHAINZ,F**KIN' PROBLEMS,RE,67,2
2013-01-13,68,MUMFORD & SONS,I WILL WAIT,46,12,18
2013-01-13,69,RUDIMENTAL FT JOHN NEWMAN,FEEL THE LOVE,48,1,33
2013-01-13,70,EMINEM,LOSE YOURSELF,RE,1,44
2013-01-13,71,ANNA KENDRICK,CUPS,New,71,1
2013-01-13,72,DIZZEE RASCAL,BASSLINE JUNKIE,New,72,1
2013-01-13,73,TOM ODELL,ANOTHER LOVE,56,56,3
2013-01-13,74,FUN FT JANELLE MONAE,WE ARE YOUNG,52,1,40
2013-01-13,75,HAIM,FOREVER,86,75,2
2013-01-13,76,ELLIE GOULDING,FIGURE 8,60,33,6
2013-01-13,77,FLO RIDA,I CRY,55,3,19
2013-01-13,78,ED SHEERAN,GIVE ME LOVE,74,18,10
2013-01-13,79,LITTLE MIX,WINGS,53,1,20
2013-01-13,80,ANNE HATHAWAY,I DREAMED A DREAM,New,80,1
2013-01-13,81,KINGS OF LEON,SEX ON FIRE,RE,1,123
2013-01-13,82,MCFLY,LOVE IS EASY,85,10,9
2013-01-13,83,JAY-Z/KANYE WEST/FRANK,NO CHURCH IN THE WILD,98,37,14
2013-01-13,84,NICKI MINAJ,VA VA VOOM,79,20,14
2013-01-13,85,OTTO KNOWS,MILLION VOICES,78,14,22
2013-01-13,86,OF MONSTERS & MEN,LITTLE TALKS,73,12,22
2013-01-13,87,AZEALIA BANKS FT LAZY JAY,212,81,12,39
2013-01-13,88,NE-YO,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE,71,1,18
2013-01-13,89,GIRLS ALOUD,SOMETHING NEW,49,2,8
2013-01-13,90,OWL CITY/CARLY RAE JEPSEN,GOOD TIME,64,5,20
2013-01-13,91,FUN,SOME NIGHTS,77,7,23
2013-01-13,92,MAROON 5 FT WIZ KHALIFA,PAYPHONE,61,1,28
2013-01-13,93,TRAIN,DROPS OF JUPITER (TELL ME),RE,10,18
2013-01-13,94,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE,72,1,61
2013-01-13,95,KINGS OF LEON,USE SOMEBODY,RE,2,92
2013-01-13,96,DAVID GUETTA FT SIA,SHE WOLF (FALLING TO PIECES),88,8,17
2013-01-13,97,PINK,BLOW ME (ONE LAST KISS),75,3,19
2013-01-13,98,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL,76,1,69
2013-01-13,99,NICKI MINAJ,STARSHIPS,69,2,43
2013-01-13,100,LABRINTH,EXPRESS YOURSELF,89,12,20
