chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
14/8/2005,1,JAMES BLUNT,YOU'RE BEAUTIFUL,1,1,11
14/8/2005,2,DANIEL POWTER,BAD DAY,2,2,3
14/8/2005,3,CRAIG DAVID,ALL THE WAY,New,3,1
14/8/2005,4,GOLDFRAPP,OOH LA LA,New,4,1
14/8/2005,5,AKON,BELLY DANCER (BANANZA),New,5,1
14/8/2005,6,CIARA FT LUDACRIS,OH,4,4,2
14/8/2005,7,KELLY CLARKSON,SINCE U BEEN GONE,5,5,6
14/8/2005,8,2PAC FT ELTON JOHN,GHETTO GOSPEL,3,1,8
14/8/2005,9,MARIAH CAREY,WE BELONG TOGETHER,7,2,6
14/8/2005,10,EMINEM,ASS LIKE THAT,9,4,3
14/8/2005,11,GAME,DREAMS,8,8,2
14/8/2005,12,MAGIC NUMBERS,LOVE ME LIKE YOU,New,12,1
14/8/2005,13,MVP,ROC YA BODY (MIC CHECK 1 2),11,5,8
14/8/2005,14,DADDY YANKEE,GASOLINA,10,5,4
14/8/2005,15,MATTAFIX,BIG CITY LIFE,New,15,1
14/8/2005,16,AXWELL,FEEL THE VIBE (TIL THE MORNING COMES),New,16,1
14/8/2005,17,LEE RYAN,ARMY OF LOVERS,12,3,4
14/8/2005,18,TEXAS,GETAWAY,6,6,2
14/8/2005,19,CHARLOTTE CHURCH,CRAZY CHICK,14,2,7
14/8/2005,20,CRAZY FROG,AXEL F,13,1,12
14/8/2005,21,UNITING NATIONS,YOU AND ME,17,15,3
14/8/2005,22,SUPERGRASS,ST PETERSBURG,New,22,1
14/8/2005,23,GORILLAZ,FEEL GOOD INC,18,2,18
14/8/2005,24,LONGVIEW,FURTHER,New,24,1
14/8/2005,25,GREEN DAY,WAKE ME UP WHEN SEPTEMBER ENDS,20,8,9
14/8/2005,26,BODYROCKERS,I LIKE THE WAY,23,3,17
14/8/2005,27,ROLL DEEP,THE AVENUE,16,11,4
14/8/2005,28,AUDIO BULLYS FT NANCY SINATRA,SHOT YOU DOWN,19,3,12
14/8/2005,29,MISSY ELLIOTT,LOSE CONTROL,15,7,8
14/8/2005,30,NINE BLACK ALPS,UNSATISFIED,New,30,1
14/8/2005,31,DANCING DJS V ROXETTE,FADING LIKE A FLOWER,22,18,3
14/8/2005,32,LEMAR,DON'T GIVE IT UP,21,21,2
14/8/2005,33,LADY SOVEREIGN,9 TO 5,New,33,1
14/8/2005,34,KANYE WEST,DIAMONDS FROM SIERRA LEONE,25,8,6
14/8/2005,35,INAYA DAY,NASTY GIRL,24,9,5
14/8/2005,36,KAISER CHIEFS,I PREDICT A RIOT,31,22,5
14/8/2005,37,NATALIE IMBRUGLIA,COUNTING DOWN THE DAYS,27,23,3
14/8/2005,38,FRANKIE J,OBSESSION (NO ES AMOR),New,38,1
14/8/2005,39,BLACK EYED PEAS,DON'T PHUNK WITH MY HEART,30,3,13
14/8/2005,40,MARTIN SOLVEIG,EVERYBODY,26,22,3
14/8/2005,41,BOBBY VALENTINO,SLOW DOWN,32,4,8
14/8/2005,42,COLDPLAY,SPEED OF SOUND,33,2,12
14/8/2005,43,TONY CHRISTIE FT PETER KAY,(IS THIS THE WAY TO) AMARILLO,35,1,22
14/8/2005,44,AKON,LONELY,34,1,15
14/8/2005,45,50 CENT,JUST A LIL BIT,36,10,8
14/8/2005,46,FOO FIGHTERS,BEST OF YOU,40,4,11
14/8/2005,47,DEEP DISH,SAY HELLO,37,14,5
14/8/2005,48,FAITH EVANS,MESMERIZED,New,48,1
14/8/2005,49,GWEN STEFANI,HOLLABACK GIRL,38,8,12
14/8/2005,50,BANANARAMA,MOVE IN MY DIRECTION,29,14,3
14/8/2005,51,WILL SMITH,SWITCH,41,4,21
14/8/2005,52,AMERIE,1 THING,45,4,12
14/8/2005,53,KAISER CHIEFS,EVERYDAY I LOVE YOU LESS AND LESS,44,10,13
14/8/2005,54,MARIO,HERE I GO AGAIN,42,11,7
14/8/2005,55,HARD-FI,HARD TO BEAT,43,9,8
14/8/2005,56,BACKSTREET BOYS,INCOMPLETE,54,8,7
14/8/2005,57,RAZORLIGHT,SOMEWHERE ELSE,51,2,18
14/8/2005,58,MITCHELL BROTHERS,EXCUSE MY BROTHER,New,58,1
14/8/2005,59,FAITHLESS,INSOMNIA,59,3,36
14/8/2005,60,RAKES,WORK WORK WORK (PUB CLUB SLEEP),28,28,2
14/8/2005,61,MORNING RUNNER,GONE UP IN FLAMES,39,39,2
14/8/2005,62,SNOOP DOGG/WILSON/TIMBERLAKE,SIGNS,70,2,16
14/8/2005,63,STEPHEN FRETWELL,EMILY,60,42,4
14/8/2005,64,KILLERS,SOMEBODY TOLD ME,63,3,17
14/8/2005,65,TONY CHRISTIE,AVENUES & ALLEYWAYS,50,26,3
14/8/2005,66,FAITHLESS,GOD IS A DJ,72,66,2
14/8/2005,67,STUDIO B,I SEE GIRLS,77,12,20
14/8/2005,68,RACHEL STEVENS,SO GOOD,57,10,6
14/8/2005,69,PAUL WELLER,FROM THE FLOORBOARDS UP,48,6,4
14/8/2005,70,KT TUNSTALL,OTHER SIDE OF THE WORLD,64,13,14
14/8/2005,71,JAMES BLUNT,WISEMEN,76,44,15
14/8/2005,72,OASIS,LYLA,65,1,13
14/8/2005,73,JOY ZIPPER,1,New,73,1
14/8/2005,74,MARDOUS,REVOLUTION OVER THE PHONE,New,74,1
14/8/2005,75,NINE INCH NAILS,ONLY,47,20,3
14/8/2005,76,ERIC PRYDZ,CALL ON ME,75,1,38
14/8/2005,77,STEREOPHONICS,DAKOTA,81,1,24
14/8/2005,78,JAMIROQUAI,FEELS JUST LIKE IT SHOULD,58,8,10
14/8/2005,79,CORAL,IN THE MORNING,78,6,14
14/8/2005,80,FAITHLESS,WE COME 1,73,73,2
14/8/2005,81,NATALIE IMBRUGLIA,SHIVER,83,8,17
14/8/2005,82,MAGIC NUMBERS,FOREVER LOST,86,15,12
14/8/2005,83,TIESTO,ADAGIO FOR STRINGS,91,37,16
14/8/2005,84,PONDLIFE,RING DING DING,79,11,10
14/8/2005,85,DODGEMS,IT'S ALRIGHT,New,85,1
14/8/2005,86,LUCIE SILVAS,DON'T LOOK BACK,49,34,3
14/8/2005,87,JOHN LEGEND,ORDINARY PEOPLE,82,27,10
14/8/2005,88,U2,CITY OF BLINDING LIGHTS,56,2,10
14/8/2005,89,NELLY,N DEY SAY,90,6,9
14/8/2005,90,WHITE STRIPES,BLUE ORCHID,87,9,11
14/8/2005,91,ELTON JOHN,ELECTRICITY,68,4,5
14/8/2005,92,GREEN DAY,AMERICAN IDIOT,85,3,15
14/8/2005,93,LETHAL BIZZLE,UH OH (I'M BACK),66,47,3
14/8/2005,94,KAISER CHIEFS,OH MY GOD,94,6,22
14/8/2005,95,MAXIMO PARK,GOING MISSING,74,20,4
14/8/2005,96,MAX GRAHAM VS YES,OWNER OF A LONELY HEART,99,9,13
14/8/2005,97,TEST ICICLES,BOA VS PYTHON,46,46,2
14/8/2005,98,SHAKIN' STEVENS,TROUBLE/THIS OLE HOUSE,RE,20,5
14/8/2005,99,BO DIDDLEY,BO DIDDLEY/I'M A MAN,New,99,1
14/8/2005,100,JEM,JUST A RIDE,67,16,9
