chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2008-07-27,1,DIZZEE RASCAL/HARRIS/CHROME,DANCE WIV ME,1,1,4
2008-07-27,2,KID ROCK,ALL SUMMER LONG,3,2,4
2008-07-27,3,JORDIN SPARKS FT CHRIS BROWN,NO AIR,5,3,10
2008-07-27,4,NE-YO,CLOSER,6,1,12
2008-07-27,5,BASSHUNTER,ALL I EVER WANTED,4,2,4
2008-07-27,6,TING TINGS,SHUT UP AND LET ME GO,9,6,10
2008-07-27,7,GABRIELLA CILMI,SWEET ABOUT ME,12,6,21
2008-07-27,8,IRONIK,STAY WITH ME,8,5,5
2008-07-27,9,RIHANNA,TAKE A BOW,11,1,11
2008-07-27,10,MADONNA,GIVE IT 2 ME,7,7,11
2008-07-27,11,SAM SPARRO,BLACK & GOLD,17,2,19
2008-07-27,12,DUFFY,WARWICK AVENUE,16,3,16
2008-07-27,13,TING TINGS,THAT'S NOT MY NAME,15,1,11
2008-07-27,14,NOAH & THE WHALE,5 YEARS TIME,24,14,2
2008-07-27,15,CHRIS BROWN,FOREVER,10,4,9
2008-07-27,16,COLDPLAY,VIVA LA VIDA,14,1,6
2008-07-27,17,BUSTA RHYMES FT LINKIN PARK,WE MADE IT,13,10,6
2008-07-27,18,IDA MARIA,I LIKE YOU SO MUCH BETTER WHEN YOU'RE,New,18,1
2008-07-27,19,ADELE,HOMETOWN GLORY,42,19,13
2008-07-27,20,SARA BAREILLES,LOVE SONG,18,4,13
2008-07-27,21,MCFLY,ONE FOR THE RADIO,2,2,2
2008-07-27,22,FLO RIDA FT T-PAIN,LOW,19,2,25
2008-07-27,23,ESTELLE FT KANYE WEST,AMERICAN BOY,28,1,20
2008-07-27,24,WILL I AM FT CHERYL COLE,HEARTBREAKER,21,4,18
2008-07-27,25,NICKELBACK,PHOTOGRAPH,20,18,13
2008-07-27,26,WILEY,WEARING MY ROLEX,23,2,14
2008-07-27,27,SEPTEMBER,CRY FOR YOU,26,5,16
2008-07-27,28,USHER,MOVING MOUNTAINS,35,28,5
2008-07-27,29,MADONNA FT JUSTIN TIMBERLAKE,4 MINUTES,22,1,19
2008-07-27,30,SCRIPT,THE MAN THAT CAN'T BE MOVED,New,30,1
2008-07-27,31,ULTRABEAT VS DARREN STYLES,DISCOLIGHTS,41,31,3
2008-07-27,32,SHARLEEN SPITERI,ALL THE TIMES I CRIED,27,26,4
2008-07-27,33,CHRIS BROWN,WITH YOU,33,8,27
2008-07-27,34,KOOKS,SHINE ON,25,25,5
2008-07-27,35,MINT ROYALE,SINGIN' IN THE RAIN,49,1,14
2008-07-27,36,ALPHABEAT,TEN THOUSAND NIGHTS,40,16,10
2008-07-27,37,SCOUTING FOR GIRLS,HEARTBEAT,53,10,20
2008-07-27,38,USHER FT YOUNG JEEZY,LOVE IN THIS CLUB,30,4,18
2008-07-27,39,DUFFY,MERCY,32,1,24
2008-07-27,40,FALL OUT BOY FT JOHN MAYER,BEAT IT,29,21,15
2008-07-27,41,BASSHUNTER FT DJ MENTAL THEO,NOW YOU'RE GONE,38,1,30
2008-07-27,42,COLDPLAY,VIOLET HILL,36,8,12
2008-07-27,43,MAROON 5 FT RIHANNA,IF I NEVER SEE YOUR FACE AGAIN,37,28,8
2008-07-27,44,LYNYRD SKYNYRD,SWEET HOME ALABAMA,52,44,8
2008-07-27,45,PENDULUM,PROPANE NIGHTMARES,44,9,14
2008-07-27,46,FREEMASONS FT KATHERINE ELLIS,WHEN YOU TOUCH ME,31,23,6
2008-07-27,47,RIHANNA,DISTURBIA,RE,47,3
2008-07-27,48,SCOOTER,JUMPING ALL OVER THE WORLD,45,28,9
2008-07-27,49,ALPHABEAT,FASCINATION,50,6,24
2008-07-27,50,DJ Q FT MC BONEZ,YOU WOT,New,50,1
2008-07-27,51,FLO RIDA FT TIMBALAND,ELEVATOR,39,20,17
2008-07-27,52,SUGABABES,ABOUT YOU NOW,34,1,35
2008-07-27,53,JONAS BROTHERS,SOS,43,13,6
2008-07-27,54,TING TINGS,GREAT DJ,60,33,7
2008-07-27,55,LEONA LEWIS,BETTER IN TIME/FOOTPRINTS IN THE SAND,76,2,23
2008-07-27,56,ABBA,MAMMA MIA,57,1,17
2008-07-27,57,ESTELLE,NO SUBSTITUTE LOVE,47,30,6
2008-07-27,58,MELEE,BUILT TO LAST,New,58,1
2008-07-27,59,GIRLS ALOUD,CAN'T SPEAK FRENCH,RE,9,20
2008-07-27,60,MGMT,ELECTRIC FEEL,46,22,7
2008-07-27,61,ORIGINAL CAST RECORDING,HONEY HONEY,69,61,2
2008-07-27,62,TAIO CRUZ,I CAN BE,73,18,13
2008-07-27,63,LIL WAYNE,LOLLIPOP,59,26,15
2008-07-27,64,RIHANNA,DON'T STOP THE MUSIC,64,4,34
2008-07-27,65,TAKE THAT,RULE THE WORLD,65,2,41
2008-07-27,66,NICKELBACK,ROCKSTAR,70,2,41
2008-07-27,67,SCOUTING FOR GIRLS,IT'S NOT ABOUT YOU,RE,31,5
2008-07-27,68,NATTY,JULY,New,68,1
2008-07-27,69,BLACK KIDS,I'M NOT GONNA TEACH YOUR BOYFRIEND HOW,66,11,16
2008-07-27,70,HOOSIERS,COPS AND ROBBERS,RE,24,9
2008-07-27,71,HAMFATTER,THE GIRL I LOVE,New,71,1
2008-07-27,72,BOYS LIKE GIRLS,THE GREAT ESCAPE,RE,72,2
2008-07-27,73,FEELING,TURN IT UP,67,67,2
2008-07-27,74,SLIPKNOT,PSYCHOSOCIAL,RE,74,2
2008-07-27,75,SNOW PATROL,CHASING CARS,75,6,99
2008-07-27,76,SNEAKY SOUND SYSTEM,PICTURES,94,76,2
2008-07-27,77,SAM SPARRO,21ST CENTURY LIFE,New,77,1
2008-07-27,78,RIHANNA FT JAY-Z,UMBRELLA,83,1,63
2008-07-27,79,PRIMAL SCREAM,CAN'T GO BACK,48,48,2
2008-07-27,80,TIMBALAND PTS ONE REPUBLIC,APOLOGIZE,72,3,43
2008-07-27,81,KOOKS,ALWAYS WHERE I NEED TO BE,RE,3,12
2008-07-27,82,SCOUTING FOR GIRLS,SHE'S SO LOVELY,93,7,48
2008-07-27,83,ONEREPUBLIC,STOP AND STARE,61,4,24
2008-07-27,84,TINCHY STRYDER,STRYDERMAN,New,84,1
2008-07-27,85,CASCADA,BECAUSE THE NIGHT,New,85,1
2008-07-27,86,NERD,EVERYONE NOSE,51,41,7
2008-07-27,87,LAST SHADOW PUPPETS,STANDING NEXT TO ME,56,30,3
2008-07-27,88,UTAH SAINTS,SOMETHING GOOD '08,63,4,33
