chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
20/2/1953,1,PERRY COMO AND THE RAMBLERS,DON'T LET THE STARS GET IN YOUR EYES,1,1,6
20/2/1953,2,EDDIE FISHER,OUTSIDE OF HEAVEN,2,1,8
20/2/1953,3,MARIO LANZA,BECAUSE YOU'RE MINE,4,3,15
20/2/1953,4,KAY STARR,COMES A-LONG A-LOVE,3,1,12
20/2/1953,5,GUY MITCHELL,SHE WEARS RED FEATHERS,10,5,2
20/2/1953,6,AL MARTINO,NOW,7,6,4
20/2/1953,7,ART AND DOTTY TODD,BROKEN WINGS,12,7,2
20/2/1953,8,AL MARTINO,HERE IN MY HEART,5,1,15
20/2/1953,9,JO STAFFORD,YOU BELONG TO ME,6,1,15
20/2/1953,10,LOUIS ARMSTRONG,TAKES TWO TO TANGO,7,6,10
20/2/1953,11,EDDIE FISHER,EVERYTHING I HAVE IS YOURS,9,8,4
20/2/1953,12,MAX BYGRAVES,COWPUNCHER'S CANTATA,8,6,7
20/2/1953,12,DICKIE VALENTINE,BROKEN WINGS,New,12,1
