chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
25/8/1960,1,THE SHADOWS,APACHE,2,1,6
25/8/1960,2,CLIFF RICHARD,PLEASE DON'T TEASE,1,1,9
25/8/1960,3,ELVIS PRESLEY,A MESS OF BLUES,4,3,5
25/8/1960,4,THE EVERLY BROTHERS,WHEN WILL I BE LOVED,5,4,7
25/8/1960,5,JOHNNY KIDD AND THE PIRATES,SHAKIN' ALL OVER,3,1,11
25/8/1960,6,DUANE EDDY,BECAUSE THEY'RE YOUNG,7,4,6
25/8/1960,7,ANTHONY NEWLEY,IF SHE SHOULD COME TO YOU,6,4,7
25/8/1960,8,KEN DODD,LOVE IS LIKE A VIOLIN,11,8,8
25/8/1960,9,JIMMY JONES,GOOD TIMIN',10,1,11
25/8/1960,10,ROLF HARRIS,TIE ME KANGAROO DOWN SPORT,9,9,6
25/8/1960,11,GARY MILLS,LOOK FOR A STAR,13,7,8
25/8/1960,12,SHIRLEY BASSEY,AS LONG AS HE NEEDS ME,20,12,4
25/8/1960,13,CONNIE FRANCIS,EVERYBODY'S SOMEBODY'S FOOL,32,13,2
25/8/1960,14,BRIAN HYLAND,ITSY BITSY TEENIE WEENIE YELLOW POLKA DOT BIKINI,8,8,8
25/8/1960,15,BRENDA LEE,I'M SORRY,12,12,9
25/8/1960,16,KING BROTHERS,MAIS OUI,18,16,5
25/8/1960,17,KAYE SISTERS,PAPER ROSES,16,16,8
25/8/1960,18,CONNIE FRANCIS,MAMA/ROBOT MAN,14,2,15
25/8/1960,19,TOMMY BRUCE AND THE BRUISERS,AIN'T MISBEHAVIN',21,3,14
25/8/1960,20,JOHNNY PRESTON,FEEL SO FINE,27,20,3
25/8/1960,21,ADAM FAITH,WHEN JOHNNY COMES MARCHING HOME/MADE YOU,17,5,9
25/8/1960,22,ROY ORBISON,ONLY THE LONELY,23,22,4
25/8/1960,23,FATS DOMINO,WALKING TO NEW ORLEANS,24,23,6
25/8/1960,24,LONNIE DONEGAN,I WANNA GO HOME,22,5,14
25/8/1960,25,TOMMY STEELE,WHAT A MOUTH,15,5,10
25/8/1960,26,RICKY VALANCE,TELL LAURA I LOVE HER,New,26,1
25/8/1960,27,ALMA COGAN,TRAIN OF LOVE,39,27,3
25/8/1960,28,PERCY FAITH,THEME FROM 'A SUMMER PLACE',31,2,26
25/8/1960,29,TOMMY SANDS,THE OLD OAKEN BUCKET,25,25,4
25/8/1960,30,JIM REEVES,HE'LL HAVE TO GO,30,12,22
25/8/1960,31,MARK WYNTER,IMAGE OF A GIRL,New,31,1
25/8/1960,32,JIMMY JONES,HANDY MAN,38,3,23
25/8/1960,33,JOHNNY AND THE HURRICANES,DOWN YONDER,37,8,11
25/8/1960,34,HOLLYWOOD ARGYLES,ALLEY OOP,42,28,6
25/8/1960,35,JOAN REGAN,PAPA LOVES MAMA,45,29,5
25/8/1960,36,TERESA BREWER,HOW DO YOU KNOW IT'S LOVE,26,21,10
25/8/1960,37,NELSON KEENE,IMAGE OF A GIRL,New,37,1
25/8/1960,38,MICHAEL COX,ANGELA JONES,19,7,12
25/8/1960,39,JAMES DARREN,BECAUSE THEY'RE YOUNG,35,29,3
25/8/1960,40,LONNIE DONEGAN,LORELEI,New,40,1
25/8/1960,41,MIKE PRESTON,I'D DO ANYTHING,New,41,1
25/8/1960,42,JOHN BARRY ORCHESTRA,BLUEBERRY HILL,34,34,2
25/8/1960,43,SAM COOKE,WONDERFUL WORLD,48,27,8
25/8/1960,44,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND,WHITE CLIFFS OF DOVER,46,44,2
25/8/1960,45,RUSTY DRAPER,MULE SKINNER BLUES,41,40,3
25/8/1960,46,HANK LOCKLIN,PLEASE HELP ME I'M FALLING,36,34,3
25/8/1960,47,BERT WEEDON,APACHE,29,24,4
25/8/1960,48,BOB AZZAM AND HIS ORCHESTRA,MUSTAPHA,40,23,14
25/8/1960,49,BUDDY GRECO,THE LADY IS A TRAMP,28,26,8
25/8/1960,50,HAL PAIGE AND THE WHALERS,GOING BACK TO MY HOME TOWN,New,50,1
