chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2010-07-25,1,YOLANDA BE COOL VS D CUP,WE NO SPEAK AMERICANO,2,1,3
2010-07-25,2,EMINEM FT RIHANNA,LOVE THE WAY YOU LIE,3,2,5
2010-07-25,3,BOB FT HAYLEY WILLIAMS,AIRPLANES,1,1,8
2010-07-25,4,KATY PERRY FT SNOOP DOGG,CALIFORNIA GURLS,4,1,5
2010-07-25,5,ELIZA DOOLITTLE,PACK UP,8,5,3
2010-07-25,6,MARK RONSON & THE BUSINESS INT,BANG BANG BANG,6,6,2
2010-07-25,7,PROFESSOR GREEN FT LILY ALLEN,JUST BE GOOD TO GREEN,5,5,2
2010-07-25,8,ENRIQUE IGLESIAS FT PITBULL,I LIKE IT,9,4,4
2010-07-25,9,JLS,THE CLUB IS ALIVE,7,1,3
2010-07-25,10,3OH3 FT KESHA,MY FIRST KISS,10,7,3
2010-07-25,11,LADY GAGA,ALEJANDRO,11,7,12
2010-07-25,12,KYLIE MINOGUE,ALL THE LOVERS,12,3,6
2010-07-25,13,EXAMPLE,KICKSTARTS,13,3,6
2010-07-25,14,KELLY ROWLAND FT DAVID GUETTA,COMMANDER,15,9,7
2010-07-25,15,EMINEM,NOT AFRAID,14,5,9
2010-07-25,16,PLAN B,PRAYIN',17,16,5
2010-07-25,17,TINIE TEMPAH FT LABRINTH,FRISKY,19,2,7
2010-07-25,18,DAVID GUETTA FT CHRIS WILLIS,GETTIN' OVER,18,1,10
2010-07-25,19,JASON DERULO,WHAT IF,40,19,2
2010-07-25,20,USHER FT PITBULL,DJ GOT US FALLING IN LOVE,New,20,1
2010-07-25,21,BASSHUNTER,SATURDAY,New,21,1
2010-07-25,22,USHER FT WILL I AM,OMG,23,1,18
2010-07-25,23,JASON DERULO,RIDIN' SOLO,20,2,21
2010-07-25,24,DRAKE,FIND YOUR LOVE,28,24,6
2010-07-25,25,PLAN B,SHE SAID,33,3,17
2010-07-25,26,K'NAAN,WAVIN' FLAG,16,2,9
2010-07-25,27,EDWARD MAYA FT VIKA JIGULINA,STEREO LOVE,25,4,11
2010-07-25,28,SCISSOR SISTERS,FIRE WITH FIRE,22,11,5
2010-07-25,29,PENDULUM,WITCHCRAFT,67,29,3
2010-07-25,30,ALICIA KEYS,TRY SLEEPING WITH A BROKEN HEART,27,7,16
2010-07-25,31,TRAIN,HEY SOUL SISTER,32,18,15
2010-07-25,32,SKEPTA,RESCUE ME,24,14,4
2010-07-25,33,BOB FT BRUNO MARS,NOTHIN' ON YOU,29,1,10
2010-07-25,34,SHAKIRA FT FRESHLYGROUND,WAKA WAKA (THIS TIME FOR AFRICA),21,21,7
2010-07-25,35,RIHANNA,TE AMO,31,14,15
2010-07-25,36,DIANA VICKERS,THE BOY WHO MURDERED LOVE,57,36,3
2010-07-25,37,SCOUTING FOR GIRLS,FAMOUS,43,37,4
2010-07-25,38,SEAN KINGSTON & JUSTIN BIEBER,EENIE MEENIE,30,9,11
2010-07-25,39,ALEXANDRA BURKE FT PITBULL,ALL NIGHT LONG,34,4,19
2010-07-25,40,MIA,XXXO,26,26,2
2010-07-25,41,KESHA,YOUR LOVE IS MY DRUG,35,13,12
2010-07-25,42,JOURNEY,DON'T STOP BELIEVIN',46,6,70
2010-07-25,43,AGGRO SANTOS FT KIMBERLY WYATT,CANDY,37,5,12
2010-07-25,44,N-DUBZ FT BODYROX,WE DANCE ON,39,6,9
2010-07-25,45,JUSTIN BIEBER,SOMEBODY TO LOVE,36,33,7
2010-07-25,46,TINIE TEMPAH,PASS OUT,41,1,21
2010-07-25,47,SCOUTING FOR GIRLS,THIS AIN'T A LOVE SONG,54,1,17
2010-07-25,48,PIXIE LOTT,TURN IT UP,44,11,10
2010-07-25,49,JUSTIN BIEBER FT LUDACRIS,BABY,48,3,20
2010-07-25,50,BLACK EYED PEAS,I GOTTA FEELING,47,1,59
2010-07-25,51,PROFESSOR GREEN FT ED DREWETT,I NEED YOU TONIGHT,50,3,15
2010-07-25,52,ALICIA KEYS,EMPIRE STATE OF MIND (PART II),55,4,32
2010-07-25,53,ADAM LAMBERT,WHATAYA WANT FROM ME,89,53,4
2010-07-25,54,30 SECONDS TO MARS,CLOSER TO THE EDGE,78,54,4
2010-07-25,55,LADY GAGA FT BEYONCE,TELEPHONE,45,1,35
2010-07-25,56,ROLL DEEP,GOOD TIMES,52,1,13
2010-07-25,57,MUSE,NEUTRON STAR COLLISION (LOVE IS FOREVER),42,11,10
2010-07-25,58,IYAZ,SOLO,53,3,9
2010-07-25,59,LADY GAGA,BAD ROMANCE,58,1,39
2010-07-25,60,KELIS,4TH OF JULY (FIREWORKS),38,32,4
2010-07-25,61,MUMFORD & SONS,THE CAVE,49,31,24
2010-07-25,62,DIZZEE RASCAL,DIRTEE DISCO,61,1,9
2010-07-25,63,TEMPER TRAP,SWEET DISPOSITION,51,6,46
2010-07-25,64,GLEE CAST,DON'T STOP BELIEVIN',81,2,30
2010-07-25,65,MUSE,UPRISING,71,9,19
2010-07-25,66,FYFE DANGERFIELD,SHE'S ALWAYS A WOMAN,76,7,13
2010-07-25,67,ELIZA DOOLITTLE,SKINNY GENES,59,22,8
2010-07-25,68,ELLIE GOULDING,THE WRITER,New,68,1
2010-07-25,69,DAVID GUETTA FT KID CUDI,MEMORIES,66,15,21
2010-07-25,70,PENDULUM,WATERCOLOUR,RE,4,11
2010-07-25,71,ROBYN,DANCING ON MY OWN,65,8,6
2010-07-25,72,KESHA,TIK TOK,84,4,38
2010-07-25,73,RIHANNA,RUDE BOY,73,2,27
2010-07-25,74,FLORENCE & THE MACHINE,DOG DAYS ARE OVER,75,23,33
2010-07-25,75,DIANA VICKERS,ONCE,RE,1,10
2010-07-25,76,INNA,HOT,RE,6,17
2010-07-25,77,KELIS,ACAPELLA,74,5,15
2010-07-25,78,OWL CITY,FIREFLIES,87,1,29
2010-07-25,79,CHERYL COLE,PARACHUTE,RE,5,24
2010-07-25,80,JEDWARD,ALL THE SMALL THINGS,New,80,1
2010-07-25,81,BOMBAY BICYCLE CLUB,IVY & GOLD/FLAWS,56,56,3
2010-07-25,82,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE,82,5,51
2010-07-25,83,LADY GAGA,POKER FACE,94,1,80
2010-07-25,84,MUMFORD & SONS,LITTLE LION MAN,83,24,32
2010-07-25,85,KINGS OF LEON,SEX ON FIRE,90,1,97
2010-07-25,86,PROFESSOR GREEN FT EXAMPLE,MONSTER,New,86,1
2010-07-25,87,TIMBALAND FT JUSTIN TIMBERLAKE,CARRY OUT,RE,6,18
2010-07-25,88,JASON DERULO,IN MY HEAD,85,1,22
2010-07-25,89,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND,100,2,45
2010-07-25,90,3OH3 FT KATY PERRY,STARSTRUKK,RE,3,26
2010-07-25,91,ASH,SUMMER SNOW,New,91,1
2010-07-25,92,ELLIE GOULDING,STARRY EYED,86,4,22
2010-07-25,93,TREY SONGZ,ALREADY TAKEN,79,79,2
2010-07-25,94,JASON MRAZ,I'M YOURS,97,11,77
2010-07-25,95,MARINA & THE DIAMONDS,OH NO,New,95,1
2010-07-25,96,XX,ISLANDS,New,96,1
2010-07-25,97,MILEY CYRUS,CAN'T BE TAMED,88,13,8
2010-07-25,98,SHOUT FT DIZZEE & JAMES CORDEN,SHOUT,62,1,7
2010-07-25,99,EXAMPLE,WON'T GO QUIETLY,80,6,23
2010-07-25,100,FLORENCE & THE MACHINE,COSMIC LOVE,70,51,3
