chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
18/9/1988,1,THE HOLLIES,"HE AIN'T HEAVY, HE'S MY BROTHER {1988}",2,1,4
18/9/1988,2,PHIL COLLINS,GROOVY KIND OF LOVE,1,1,4
18/9/1988,3,WOMACK AND WOMACK,TEARDROPS,3,3,8
18/9/1988,4,BILL WITHERS,LOVELY DAY (SUNSHINE MIX),6,4,3
18/9/1988,5,JASON DONOVAN,NOTHING CAN DIVIDE US,13,5,3
18/9/1988,6,BROS,I QUIT,4,4,2
18/9/1988,7,YELLO,THE RACE,8,7,5
18/9/1988,8,INNER CITY,BIG FUN,20,8,4
18/9/1988,9,PET SHOP BOYS,DOMINO DANCING,New,9,1
18/9/1988,10,YAZZ AND THE PLASTIC POPULATION,THE ONLY WAY IS UP,7,1,10
18/9/1988,11,GLORIA ESTEFAN AND MIAMI SOUND MACHINE,ANYTHING FOR YOU,10,10,13
18/9/1988,12,THE PROCLAIMERS,I'M GONNA BE (500 MILES),14,12,5
18/9/1988,13,BROTHER BEYOND,THE HARDER I TRY,5,2,9
18/9/1988,14,BOMB THE BASS,MEGABLAST/DON'T MAKE ME WAIT,9,6,5
18/9/1988,15,THE COMMODORES,EASY {1988},17,15,7
18/9/1988,16,RICK ASTLEY,SHE WANTS TO DANCE WITH ME,New,16,1
18/9/1988,17,JANE WIEDLIN,RUSH HOUR,12,12,8
18/9/1988,18,BON JOVI,BAD MEDICINE,New,18,1
18/9/1988,19,MICHAEL JACKSON,ANOTHER PART OF ME,15,15,3
18/9/1988,20,THE PASADENAS,RIDING ON A TRAIN,29,20,2
18/9/1988,21,COLDCUT FEATURING JUNIOR REID,STOP THIS CRAZY THING FT JUNIOR REID,25,21,3
18/9/1988,22,SALT-N-PEPA FEATURING EU,SHAKE YOUR THANG (IT'S YOUR THING) FT EU,22,22,4
18/9/1988,23,JULIO IGLESIAS,MY LOVE FT STEVIE WONDER,11,5,14
18/9/1988,24,WHITNEY HOUSTON,ONE MOMENT IN TIME,New,24,1
18/9/1988,25,BREATHE,HANDS TO HEAVEN,16,4,9
18/9/1988,26,KYLIE MINOGUE,THE LOCO-MOTION,18,2,8
18/9/1988,27,A-HA,TOUCHY!,19,11,5
18/9/1988,28,MARC ALMOND,TEARS RUN RINGS,26,26,4
18/9/1988,29,SPAGNA,EVERY GIRL AND BOY,23,23,6
18/9/1988,30,TRANSVISION VAMP,REVOLUTION BABY,37,30,5
18/9/1988,31,BANANARAMA,"LOVE, TRUTH AND HONESTY",New,31,1
18/9/1988,32,BRUCE SPRINGSTEEN,SPARE PARTS,New,32,1
18/9/1988,33,HAZELL DEAN,TURN IT INTO LOVE,New,33,1
18/9/1988,34,BELINDA CARLISLE,WORLD WITHOUT YOU,39,34,3
18/9/1988,35,B.V.S.M.P.,I NEED YOU,24,3,10
18/9/1988,36,LEVEL 42,HEAVEN IN MY HANDS,21,12,4
18/9/1988,37,ALEXANDER O'NEAL,FAKE '88,New,37,1
18/9/1988,38,BILL MEDLEY,"HE AIN'T HEAVY, HE'S MY BROTHER",27,25,5
18/9/1988,39,GUNS N' ROSES,SWEET CHILD O' MINE,30,24,6
18/9/1988,40,THE WONDER STUFF,IT'S YER MONEY I'M AFTER BABY,New,40,1
18/9/1988,41,ROYAL HOUSE,CAN YOU PARTY,43,41,5
18/9/1988,42,SINITTA,I DON'T BELIEVE IN MIRACLES,New,42,1
18/9/1988,43,MAC BAND,STALEMATE,40,40,3
18/9/1988,44,FAIRGROUND ATTRACTION,FIND MY LOVE,31,7,9
18/9/1988,45,THE BEATMASTERS WITH PP ARNOLD,BURN IT UP,New,45,1
18/9/1988,46,TANITA TIKARAM,GOOD TRADITION,32,10,10
18/9/1988,47,THE PRIMITIVES,WAY BEHIND ME,36,36,4
18/9/1988,48,UB40,WHERE DID I GO WRONG,33,26,6
18/9/1988,49,STATUS QUO,RUNNING ALL OVER THE WORLD,35,17,6
18/9/1988,50,KIM WILDE,YOU CAME,34,3,11
18/9/1988,51,SPEAR OF DESTINY,SO IN LOVE WITH YOU,New,51,1
18/9/1988,52,ANTHRAX,MAKE ME LAUGH,28,26,3
18/9/1988,53,SWAN LAKE,IN THE NAME OF LOVE,53,53,2
18/9/1988,54,JULIAN COPE,CHARLOTTE ANNE,New,54,1
18/9/1988,55,THE FOUR TOPS,INDESTRUCTIBLE FT SMOKEY ROBINSON,63,55,3
18/9/1988,56,JOLLY ROGER,ACID MAN,59,56,4
18/9/1988,57,GLENN MEDEIROS,LONG AND LASTING LOVE,42,42,4
18/9/1988,58,BABY FORD,OOCHY KOOCHY,60,58,3
18/9/1988,59,BILLY BRAGG,WAITING FOR THE GREAT LEAP FORWARD,52,52,3
18/9/1988,60,KISS,TURN ON THE NIGHT,41,41,3
18/9/1988,61,ROBBIE ROBERTSON,SOMEWHERE DOWN THE CRAZY RIVER,38,15,11
18/9/1988,62,ASSOCIATES,HEART OF GLASS,56,56,2
18/9/1988,63,KID 'N' PLAY,GITTIN' FUNKY,55,55,2
18/9/1988,64,FIVE STAR,THERE'S A BRAND NEW WORLD,61,61,2
18/9/1988,65,VIXEN,EDGE OF A BROKEN HEART,51,51,5
18/9/1988,66,BLACK,THE BIG ONE,New,66,1
18/9/1988,67,LOVE AND MONEY,HALLELUJAH MAN,75,67,2
18/9/1988,68,JOAN JETT AND THE BLACKHEARTS,I HATE MYSELF FOR LOVING YOU,46,46,6
18/9/1988,69,BOBBY MCFERRIN,DON'T WORRY BE HAPPY,New,69,1
18/9/1988,70,HOT HOUSE,DON'T COME TO STAY {1988},New,70,1
18/9/1988,71,SOUL II SOUL,FEEL FREE,64,64,2
18/9/1988,72,JERMAINE STEWART,DON'T TALK DIRTY TO ME,New,72,1
18/9/1988,73,ASWAD,SET THEM FREE,88,73,2
18/9/1988,74,STETSASONIC,TALKIN' ALL THAT JAZZ,80,74,2
18/9/1988,75,DONNY OSMOND,SOLDIER OF LOVE,44,29,9
18/9/1988,76,GAIL ANN DORSEY,WASTED COUNTRY,89,76,2
18/9/1988,77,THE HOTHOUSE FLOWERS,EASIER IN THE MORNING,87,77,2
18/9/1988,78,CHEAP TRICK,DON'T BE CRUEL,92,78,2
18/9/1988,79,MILLI VANILLI,GIRL YOU KNOW IT'S TRUE,RE,79,2
18/9/1988,80,RUBY TURNER,"SIGNED, SEALED, DELIVERED (I'M YOURS)",77,77,5
18/9/1988,81,CRAZYHEAD,RAGS,82,78,3
18/9/1988,82,TAYLOR DAYNE,DON'T RUSH ME,78,78,3
18/9/1988,83,ROBERT PLANT,SHIP OF FOOLS,76,76,2
18/9/1988,84,PIECES OF A DREAM,RISING TO THE TOP,New,84,1
18/9/1988,85,OLIVIA NEWTON-JOHN,THE RUMOUR,New,85,1
18/9/1988,86,KEVIN ROWLAND,TONIGHT,81,81,5
18/9/1988,87,DOGS D'AMOUR,I DON'T WANT YOU TO GO,New,87,1
18/9/1988,88,BROS,I OWE YOU NOTHING {1988},85,1,13
18/9/1988,89,AMY GRANT,LEAD ME ON,New,89,1
18/9/1988,90,JERRY HARRISON,REV IT UP,97,90,2
18/9/1988,91,BLUE MODERNE,DO THAT AGAIN,New,91,1
18/9/1988,92,PREFAB SPROUT,CARS AND GIRLS,RE,44,6
18/9/1988,93,ERIC CARMEN,MAKE ME LOSE CONTROL,99,93,2
18/9/1988,94,BRASS CONSTRUCTION,HA CHA CHA,New,94,1
18/9/1988,95,JOHN FARNHAM,AGE OF REASON,New,95,1
18/9/1988,96,STRYPER,ALWAYS THERE FOR YOU,95,95,2
18/9/1988,97,LOOSE ENDS,WATCHING YOU,83,83,4
18/9/1988,98,PAULA ABDUL,KNOCKED OUT,New,98,1
18/9/1988,99,PAT BENATAR,ALL FIRED UP,RE,19,11
18/9/1988,100,JAMES TAYLOR QUARTET,THEME FROM 'STARSKY AND HUTCH',91,91,2
