chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
16/7/2021,1,ED SHEERAN,BAD HABITS,1,1,3
16/7/2021,2,OLIVIA RODRIGO,GOOD 4 U,2,1,9
16/7/2021,3,DAVE FT STORMZY,CLASH,New,3,1
16/7/2021,4,BADDIEL/SKINNER/LIGHTNING SEED,3 LIONS,4,1,50
16/7/2021,5,KID LAROI & JUSTIN BIEBER,STAY,New,5,1
16/7/2021,6,GALANTIS/GUETTA/LITTLE MIX,HEARTBREAK ANTHEM,3,3,8
16/7/2021,7,MANESKIN,I WANNA BE YOUR SLAVE,5,5,8
16/7/2021,8,MANESKIN,BEGGIN,7,7,5
16/7/2021,9,WEEKND,SAVE YOUR TEARS,6,2,27
16/7/2021,10,KSI,HOLIDAY,8,2,4
16/7/2021,11,JONASU,BLACK MAGIC,14,11,7
16/7/2021,12,CALVIN HARRIS FT TOM GRENNAN,BY YOUR SIDE,9,9,6
16/7/2021,13,OLIVIA RODRIGO,TRAITOR,10,5,7
16/7/2021,14,ATOMIC KITTEN,SOUTHGATE YOU'RE THE ONE (FOOTBALL'S,86,14,2
16/7/2021,15,BECKY HILL & DAVID GUETTA,REMEMBER,13,13,4
16/7/2021,16,BTS,PERMISSION TO DANCE,New,16,1
16/7/2021,17,ARRDEE,OLIVER TWIST,11,6,6
16/7/2021,18,ANNE-MARIE & NIALL HORAN,OUR SONG,16,13,8
16/7/2021,19,MIMI WEBB,GOOD WITHOUT,12,8,16
16/7/2021,20,NEIL DIAMOND,SWEET CAROLINE,48,8,21
16/7/2021,21,MIMI WEBB,DUMB LOVE,17,12,5
16/7/2021,22,TOM ZANETTI,DIDN'T KNOW,19,14,21
16/7/2021,23,BILLIE EILISH,NDA,New,23,1
16/7/2021,24,OLIVIA RODRIGO,FAVORITE CRIME,18,17,4
16/7/2021,25,DOJA CAT FT SZA,KISS ME MORE,20,3,14
16/7/2021,26,TONES & I,FLY AWAY,25,25,6
16/7/2021,27,DOJA CAT & WEEKND,YOU RIGHT,15,9,3
16/7/2021,28,FAT LES,VINDALOO,36,2,23
16/7/2021,29,COLDPLAY,HIGHER POWER,24,12,10
16/7/2021,30,LIL NAS X,MONTERO (CALL ME BY YOUR NAME),22,1,16
16/7/2021,31,MAJESTIC & BONEY M,RASPUTIN,23,11,19
16/7/2021,32,MARSHMELLO/JONAS BROTHERS,LEAVE BEFORE YOU LOVE ME,28,28,6
16/7/2021,33,POST MALONE,MOTLEY CREW,New,33,1
