chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1999-05-09,1,BACKSTREET BOYS,I WANT IT THAT WAY,New,1,1
1999-05-09,2,WESTLIFE,SWEAR IT AGAIN,1,1,3
1999-05-09,3,911,PRIVATE NUMBER,New,3,1
1999-05-09,4,STEREOPHONICS,PICK A PART THAT'S NEW,New,4,1
1999-05-09,5,TLC,NO SCRUBS,3,3,7
1999-05-09,6,BRYAN ADAMS,CLOUD NUMBER 9,New,6,1
1999-05-09,7,OFFSPRING,WHY DON'T YOU GET A JOB?,2,2,2
1999-05-09,8,PHATS & SMALL,TURN AROUND,7,2,6
1999-05-09,9,FATBOY SLIM,RIGHT HERE RIGHT NOW,4,2,3
1999-05-09,10,BASEMENT JAXX,RED ALERT,6,5,3
1999-05-09,11,FIERCE,DAYZ LIKE THAT,New,11,1
1999-05-09,12,PETE HELLER,BIG LOVE,New,12,1
1999-05-09,13,MARTINE MCCUTCHEON,PERFECT MOMENT,5,1,5
1999-05-09,14,KULA SHAKER,SHOWER YOUR LOVE,New,14,1
1999-05-09,15,TEXAS,IN OUR LIFETIME,8,4,3
1999-05-09,16,CASSIUS,FEELING FOR YOU,New,16,1
1999-05-09,17,NEW RADICALS,YOU GET WHAT YOU GIVE,13,5,7
1999-05-09,18,CARTOONS,WITCH DOCTOR,12,2,7
1999-05-09,19,BRITNEY SPEARS,BABY 1 MORE TIME,17,1,12
1999-05-09,20,BUSTA RHYMES FT JANET,WHAT'S IT GONNA BE?!,10,6,3
1999-05-09,21,VARIOUS ARTISTS,THANK ABBA FOR THE MUSIC,14,4,6
1999-05-09,22,VERACOCHA,CARTE BLANCHE,RE,22,2
1999-05-09,23,EMINEM,MY NAME IS,16,2,6
1999-05-09,24,TQ,BYE BYE BABY,11,7,3
1999-05-09,25,CAST,BEAT MAMA,9,9,2
1999-05-09,26,HONEYZ,LOVE OF A LIFETIME,18,9,4
1999-05-09,27,MR. OIZO,FLAT BEAT,19,1,8
1999-05-09,28,BARENAKED LADIES,IT'S ALL BEEN DONE,New,28,1
1999-05-09,29,GLAMMA KID FT SHOLA AMA,TABOO,21,10,5
1999-05-09,30,DMX,SLIPPIN',New,30,1
1999-05-09,31,VENGABOYS,WE LIKE TO PARTY! (THE VENGABUS),23,3,10
1999-05-09,32,JOHNNY SHAKER,PEARL RIVER,New,32,1
1999-05-09,33,PRETENDERS,HUMAN,New,33,1
1999-05-09,34,MISHKA,GIVE YOU ALL THE LOVE,New,34,1
1999-05-09,35,WHITNEY HOUSTON,IT'S NOT RIGHT BUT IT'S OKAY,29,3,11
1999-05-09,36,PUSH,UNIVERSAL NATION,New,36,1
1999-05-09,37,FUN LOVIN' CRIMINALS,KOREAN BODEGA,15,15,2
1999-05-09,38,PHOEBE ONE,GET ON IT,New,38,1
1999-05-09,39,ARMAND VAN HELDEN/ROLAND CLARK,FLOWERZ,28,18,3
1999-05-09,40,FAITHLESS,BRING MY FAMILY BACK,27,14,3
1999-05-09,41,CATATONIA,DEAD FROM THE WAIST DOWN,30,7,6
1999-05-09,42,TERRORVISION,III WISHES,New,42,1
1999-05-09,43,TILT,INVISIBLE,20,20,2
1999-05-09,44,STEPS,BETTER BEST FORGOTTEN,35,2,9
1999-05-09,45,SILVERCHAIR,ANA'S SONG,New,45,1
1999-05-09,46,BONEY M VS HORNY UNITED,MA BAKER/SOMEBODY SCREAMED,22,22,2
1999-05-09,47,BOYZONE,WHEN THE GOING GETS TOUGH,38,1,10
1999-05-09,48,STEPS,HEARTBEAT/TRAGEDY,41,1,26
1999-05-09,49,SUEDE,ELECTRICITY,31,5,4
1999-05-09,50,GROOVE ARMADA,IF EVERYBODY LOOKED THE SAME,25,25,2
1999-05-09,51,BLACKSTREET WITH JANET,GIRLFRIEND/BOYFRIEND,32,11,5
1999-05-09,52,KORN,FREAK ON A LEASH,24,24,2
1999-05-09,53,ANOTHER LEVEL,BE ALONE NO MORE,36,11,6
1999-05-09,54,DES'REE,YOU GOTTA BE,53,10,7
1999-05-09,55,KELLY PRICE,SECRET LOVE,26,26,2
1999-05-09,56,BILLIE,HONEY TO THE BEE,48,3,7
1999-05-09,57,FAITH EVANS FT PUFF DADDY,ALL NIGHT LONG,40,23,3
1999-05-09,58,RUFF DRIVERZ PTS ARROLA,LA MUSICA,37,14,4
1999-05-09,59,COLUMBO,ROCKABILLY BOB,New,59,1
1999-05-09,60,B'WITCHED,BLAME IT ON THE WEATHERMAN,44,1,8
1999-05-09,61,CHER,BELIEVE,59,1,29
1999-05-09,62,NSYNC,I WANT YOU BACK,72,5,10
1999-05-09,63,SPICE GIRLS,GOODBYE,34,1,21
1999-05-09,64,ROBBIE WILLIAMS,STRONG,43,4,8
1999-05-09,65,GEORGE MICHAEL & MARY J.BLIGE,AS,47,4,10
1999-05-09,66,MOBY,RUN ON,33,33,2
1999-05-09,67,RHYTHMATIC JUNKIES,THE FEELIN,New,67,1
1999-05-09,68,STONEPROOF,EVERYTHING'S NOT YOU,New,68,1
1999-05-09,69,TATYANA ALI FT WILL SMITH,BOY YOU KNOCK ME OUT,76,3,10
1999-05-09,70,ERIC BENET FT FAITH EVANS,GEORGY PORGY,46,28,3
1999-05-09,71,REEF,I'VE GOT SOMETHING TO SAY,61,15,6
1999-05-09,72,ARMAND VAN HELDEN/DUANE HARDEN,YOU DON'T KNOW ME,77,2,12
1999-05-09,73,OOBERMAN,BLOSSOMS FALLING,39,39,2
1999-05-09,74,LLAMA FARMERS,GET THE KEYS AND GO,New,74,1
1999-05-09,75,MARIAH CAREY,I STILL BELIEVE,62,16,6
1999-05-09,76,LAURYN HILL,EX-FACTOR,81,4,12
1999-05-09,77,ELTON JOHN & LEANN RIMES,WRITTEN IN THE STARS,RE,10,8
1999-05-09,78,DJ TAUCHER,CHILD OF THE UNIVERSE,74,74,2
1999-05-09,79,ATB,9PM (TILL I COME) (GERMAN IMPORT),84,79,3
1999-05-09,80,DJ SAKIN & FRIENDS,PROTECT YOUR MIND (FOR THE LOVE OF A..),71,4,12
1999-05-09,81,BLONDIE,MARIA,RE,1,13
1999-05-09,82,ENERGY 52,CAFE DEL MAR '98,RE,12,11
1999-05-09,83,BILLY FURY,WONDROUS PLACE,RE,25,11
1999-05-09,84,BRYAN ADAMS FT MELANIE C.,WHEN YOU'RE GONE,RE,3,20
1999-05-09,85,MANIC STREET PREACHERS,YOU STOLE THE SUN FROM MY HEART,63,5,9
1999-05-09,86,STEREOPHONICS,JUST LOOKING,RE,4,9
1999-05-09,87,MYTOWN,PARTY ALL NIGHT,94,22,6
1999-05-09,88,YELLO VS HARDFLOOR,VICIOUS GAMES,New,88,1
1999-05-09,89,A+,ENJOY YOURSELF,93,5,11
1999-05-09,90,RUNRIG,MAYMORNING,New,90,1
1999-05-09,91,BARENAKED LADIES,ONE WEEK,RE,5,9
1999-05-09,92,E-17,BETCHA CAN'T WAIT,RE,12,6
1999-05-09,93,ATB,DON'T STOP (IMPORT),86,86,2
1999-05-09,94,LUCID,CRAZY,RE,14,6
1999-05-09,95,MELKY SEDECK,RAW,50,50,2
1999-05-09,96,TQ,WESTSIDE,97,4,11
1999-05-09,97,SKUNK ANANSIE,CHARLIE BIG POTATO,RE,17,4
1999-05-09,99,DJ DADO & SIMONE JAY,READY OR NOT,51,51,2
1999-05-09,100,KULA SHAKER,MYSTICAL MACHINE GUN,79,14,8
