chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1999-03-07,1,BOYZONE,WHEN THE GOING GETS TOUGH,New,1,1
1999-03-07,2,BRITNEY SPEARS,BABY 1 MORE TIME,1,1,3
1999-03-07,3,VENGABOYS,WE LIKE TO PARTY! (THE VENGABUS),New,3,1
1999-03-07,4,GEORGE MICHAEL & MARY J.BLIGE,AS,New,4,1
1999-03-07,5,WHITNEY HOUSTON,IT'S NOT RIGHT BUT IT'S OKAY,3,3,2
1999-03-07,6,BLUR,TENDER,2,2,2
1999-03-07,7,MADONNA,NOTHING REALLY MATTERS,New,7,1
1999-03-07,8,CHER,STRONG ENOUGH,5,5,2
1999-03-07,9,STEREOPHONICS,JUST LOOKING,4,4,2
1999-03-07,10,GINUWINE,WHAT'S SO DIFFERENT?,New,10,1
1999-03-07,11,CORRS,RUNAWAY,6,2,3
1999-03-07,12,E-17,BETCHA CAN'T WAIT,New,12,1
1999-03-07,13,LENNY KRAVITZ,FLY AWAY,8,1,4
1999-03-07,14,2 PAC,CHANGES,12,3,4
1999-03-07,15,BLONDIE,MARIA,11,1,5
1999-03-07,16,STEPS,HEARTBEAT/TRAGEDY,15,1,17
1999-03-07,17,SKUNK ANANSIE,CHARLIE BIG POTATO,New,17,1
1999-03-07,18,CARDIGANS,ERASE/REWIND,7,7,2
1999-03-07,19,DJ SAKIN & FRIENDS,PROTECT YOUR MIND (FOR THE LOVE OF A..),13,4,4
1999-03-07,20,SHAWN MULLINS,LULLABY,9,9,2
1999-03-07,21,LAURYN HILL,EX-FACTOR,16,4,3
1999-03-07,22,MYTOWN,PARTY ALL NIGHT,New,22,1
1999-03-07,23,ELTON JOHN & LEANN RIMES,WRITTEN IN THE STARS,10,10,2
1999-03-07,24,JAY-Z FT AMIL/JA RULE,CAN I GET A ...,New,24,1
1999-03-07,25,NSYNC,I WANT YOU BACK,17,5,3
1999-03-07,26,BARENAKED LADIES,ONE WEEK,18,5,4
1999-03-07,27,ARMAND VAN HELDEN/DUANE HARDEN,YOU DON'T KNOW ME,20,2,5
1999-03-07,28,ALANIS MORISSETTE,JOINING YOU,New,28,1
1999-03-07,29,OFFSPRING,PRETTY FLY (FOR A WHITE GUY),21,1,7
1999-03-07,30,BIZARRE INC,PLAYING WITH KNIVES,New,30,1
1999-03-07,31,FOXY BROWN,HOT SPOT,New,31,1
1999-03-07,32,BRYAN ADAMS FT MELANIE C.,WHEN YOU'RE GONE,22,3,14
1999-03-07,33,A+,ENJOY YOURSELF,23,5,5
1999-03-07,34,BETH ORTON,STOLEN CAR,New,34,1
1999-03-07,35,LUCID,CRAZY,26,14,3
1999-03-07,36,98 DEGREES,BECAUSE OF YOU,New,36,1
1999-03-07,37,TQ,WESTSIDE,28,4,7
1999-03-07,38,CHER,BELIEVE,35,1,20
1999-03-07,39,TATYANA ALI FT WILL SMITH,BOY YOU KNOCK ME OUT,27,3,5
1999-03-07,40,KULA SHAKER,MYSTICAL MACHINE GUN,14,14,2
1999-03-07,41,SHERYL CROW,ANYTHING BUT DOWN,19,19,2
1999-03-07,42,CLEOPATRA,A TOUCH OF LOVE,24,24,2
1999-03-07,43,TIMBALAND/MISSY ELLIOTT/MAGOO,HERE WE COME,New,43,1
1999-03-07,44,STONE ROSES,FOOLS GOLD,25,25,2
1999-03-07,45,UNKLE FT IAN BROWN,BE THERE,29,8,4
1999-03-07,46,CHEF,CHOCOLATE SALTY BALLS (P.S. I LOVE YOU),33,1,12
1999-03-07,47,TINA ARENA,BURN,New,47,1
1999-03-07,48,SPICE GIRLS,GOODBYE,57,1,12
1999-03-07,49,FATBOY SLIM,PRAISE YOU,34,1,9
1999-03-07,50,STEPPENWOLF,BORN TO BE WILD,30,18,3
1999-03-07,51,SOULSEARCHER,CAN'T GET ENOUGH,32,8,5
1999-03-07,52,SUPERNATURALS,EVEREST,New,52,1
1999-03-07,53,DIVINE COMEDY,NATIONAL EXPRESS,40,8,6
1999-03-07,54,TERRORVISION,TEQUILA,39,2,7
1999-03-07,55,ROOTS FT ERYKAH BADU,YOU GOT ME,31,31,2
1999-03-07,56,NEXT OF KIN,24 HOURS FROM YOU,37,13,4
1999-03-07,57,VAN MORRISON,PRECIOUS TIME,36,36,2
1999-03-07,58,BILLIE,SHE WANTS YOU,81,3,13
1999-03-07,59,911,A LITTLE BIT MORE,52,1,8
1999-03-07,60,MICHELLE COLLINS,SUNBURN,38,28,3
1999-03-07,61,KENT,747,New,61,1
1999-03-07,62,SUPERCAR,TONITE,46,15,5
1999-03-07,63,ANOTHER LEVEL/GHOSTFACE KILLAH,I WANT YOU FOR MYSELF,55,2,8
1999-03-07,64,GUS GUS,LADYSHAVE,New,64,1
1999-03-07,65,CEVIN FISHER/LOLEATTA HOLLOWAY,(YOU GOT ME) BURNING UP,43,14,4
1999-03-07,66,DRU HILL,THESE ARE THE TIMES,47,4,6
1999-03-07,67,FPI PROJECT,EVERYBODY (ALL OVER) - THE REMIXES,New,67,1
1999-03-07,68,ATB,9PM (TILL I COME),New,68,1
1999-03-07,69,GARBAGE,WHEN I GROW UP,63,9,6
1999-03-07,70,EMMIE,MORE THAN THIS,58,5,8
1999-03-07,71,WITNESS,SCARS,New,71,1
1999-03-07,72,BEAUTIFUL SOUTH,DUMB,87,16,10
1999-03-07,73,BABYBIRD,BACK TOGETHER,41,22,3
1999-03-07,74,INNER CITY,GOOD LIFE (BUENA VIDA),64,10,6
1999-03-07,75,BLOCKSTER,YOU SHOULD BE...,70,3,9
1999-03-07,76,MARIAH CAREY & WHITNEY HOUSTON,WHEN YOU BELIEVE,RE,4,12
1999-03-07,77,PLACEBO,EVERY YOU EVERY ME,74,11,6
1999-03-07,78,PEPLAB,RIDE THE PONY,New,78,1
1999-03-07,79,BUSTA RHYMES,GIMME SOME MORE,72,5,7
1999-03-07,80,SAVAGE GARDEN,I WANT YOU '98,RE,12,11
1999-03-07,81,E-17,EACH TIME,95,2,15
1999-03-07,82,MONSTER MAGNET,SPACE LORD,45,45,2
1999-03-07,83,GOURYELLA,GOURYELLA,New,83,1
1999-03-07,84,LUTRICIA MCNEAL,THE GREATEST LOVE YOU'LL NEVER KNOW,98,17,10
1999-03-07,85,FIVE,UNTIL THE TIME IS THROUGH,93,2,16
1999-03-07,86,PAUL VAN DYK,FOR AN ANGEL,86,28,17
1999-03-07,87,URBAN SPECIES FT IMOGEN HEAP,BLANKET,56,56,2
1999-03-07,88,JANE MCDONALD,CRUISE INTO CHRISTMAS,RE,10,8
1999-03-07,89,JAMES BULLER,CAN'T SMILE WITHOUT YOU,51,51,2
1999-03-07,90,MANIC STREET PREACHERS,THE EVERLASTING,90,11,11
1999-03-07,91,TAMPERER FEAT MAYA,IF YOU BUY THIS RECORD YOUR LIFE WILL BE,100,3,17
1999-03-07,92,MADONNA,THE POWER OF GOOD-BYE/LITTLE STAR,RE,6,10
1999-03-07,93,SHABOOM,BESSIE,New,93,1
1999-03-07,94,ALL SAINTS,WAR OF NERVES,RE,7,12
