chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1991-12-08,1,GEORGE MICHAEL AND ELTON JOHN,DON'T LET THE SUN GO DOWN ON ME,1,1,2
1991-12-08,2,DIANA ROSS,WHEN YOU TELL ME THAT YOU LOVE ME,4,2,3
1991-12-08,3,KLF FEATURING TAMMY WYNETTE,JUSTIFIED AND ANCIENT FT TAMMY WYNETTE,5,3,2
1991-12-08,4,MICHAEL JACKSON,BLACK OR WHITE,2,1,4
1991-12-08,5,EAST SIDE BEAT,RIDE LIKE THE WIND,3,3,3
1991-12-08,6,BRIAN MAY,DRIVEN BY YOU,14,6,2
1991-12-08,7,KYM SIMS,TOO BLIND TO SEE IT,22,7,2
1991-12-08,8,SIMPLY RED,STARS,11,8,3
1991-12-08,9,NEW KIDS ON THE BLOCK,IF YOU GO AWAY,New,9,1
1991-12-08,10,NIRVANA,SMELLS LIKE TEEN SPIRIT,7,7,3
1991-12-08,11,ALTERN 8,ACTIV 8 (COME WITH ME),6,3,5
1991-12-08,12,KATE BUSH,ROCKET MAN,13,12,2
1991-12-08,13,U2,MYSTERIOUS WAYS,New,13,1
1991-12-08,14,VIC REEVES AND THE WONDER STUFF,DIZZY,8,1,8
1991-12-08,15,SALT-N-PEPA,YOU SHOWED ME,17,15,3
1991-12-08,16,JAMES,SOUND,9,9,3
1991-12-08,17,RIGHT SAID FRED,DON'T TALK JUST KISS,36,17,2
1991-12-08,18,ERASURE,AM I RIGHT?,15,15,2
1991-12-08,19,CLIFF RICHARD,WE SHOULD BE TOGETHER,21,19,2
1991-12-08,20,UK MIXMASTERS,THE BARE NECESSITIES MEGAMIX,33,20,2
1991-12-08,21,2 UNLIMITED,GET READY FOR THIS,12,2,11
1991-12-08,22,BIZARRE INC,PLAYING WITH KNIVES,10,4,9
1991-12-08,23,MARTIKA,MARTIKA'S KITCHEN,28,23,3
1991-12-08,24,TINA TURNER,WAY OF THE WORLD,18,13,4
1991-12-08,25,JASON DONOVAN,THE JOSEPH MEGA-REMIX,31,25,2
1991-12-08,26,PRINCE AND THE NEW POWER GENERATION,DIAMONDS AND PEARLS,25,25,2
1991-12-08,27,QUEEN,THE SHOW MUST GO ON,34,16,7
1991-12-08,28,SHADES OF RHYTHM,EXTACY,16,16,3
1991-12-08,29,KENNY THOMAS,TENDER LOVE,26,26,3
1991-12-08,30,BASSHEADS,IS THERE ANYBODY OUT THERE?,19,5,5
1991-12-08,31,DEACON BLUE,COVER FROM THE SKY,New,31,1
1991-12-08,32,ENYA,HOW CAN I KEEP FROM SINGING,35,32,2
1991-12-08,33,MICHAEL BOLTON,WHEN A MAN LOVES A WOMAN,20,8,6
1991-12-08,34,SIMON AND GARFUNKEL,HAZY SHADE OF WINTER/SILENT NIGHT,70,34,2
1991-12-08,35,ERIC CLAPTON,WONDERFUL TONIGHT (LIVE),30,30,5
1991-12-08,36,DIGITAL ORGASM,RUNNING OUT OF TIME,48,36,2
1991-12-08,37,CATHY DENNIS,EVERYBODY MOVE,45,37,2
1991-12-08,38,K-KLASS,RHYTHM IS A MYSTERY {1991 RE-RELEASE},24,3,8
1991-12-08,39,REM,IT'S THE END OF THE WORLD AS WE KNOW IT {1991},New,39,1
1991-12-08,40,FRANK IFIELD AND THE BACKROOM BOYS,YODELLING SONG,43,40,2
1991-12-08,41,EXTREME,HOLE HEARTED,23,12,4
1991-12-08,42,M PEOPLE,HOW CAN I LOVE YOU MORE?,32,29,8
1991-12-08,43,CHER,LOVE HURTS,47,43,2
