chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2007-06-03,1,RIHANNA FT JAY-Z,UMBRELLA,1,1,3
2007-06-03,2,MUTYA BUENA,REAL GIRL,9,2,3
2007-06-03,3,BEYONCE & SHAKIRA,BEAUTIFUL LIAR,3,1,9
2007-06-03,4,HELLOGOODBYE,HERE (IN YOUR ARMS),4,4,5
2007-06-03,5,MAROON 5,MAKES ME WONDER,2,2,4
2007-06-03,6,GYM CLASS HEROES,CUPID'S CHOKEHOLD,5,3,9
2007-06-03,7,TIMBALAND/FURTADO/TIMBERLAKE,GIVE IT TO ME,8,1,10
2007-06-03,8,TWANG,EITHER WAY,33,8,2
2007-06-03,9,CALVIN HARRIS,THE GIRLS,New,9,1
2007-06-03,10,AKON,DON'T MATTER,6,3,10
2007-06-03,11,SNOW PATROL,SIGNAL FIRE,7,4,5
2007-06-03,12,REVEREND & THE MAKERS,HEAVYWEIGHT CHAMPION OF THE WORLD,38,12,4
2007-06-03,13,BOOTY LUV,SHINE,10,10,4
2007-06-03,14,AVRIL LAVIGNE,GIRLFRIEND,11,2,13
2007-06-03,15,NE-YO,BECAUSE OF YOU,13,4,9
2007-06-03,16,PIGEON DETECTIVES,I'M NOT SORRY,12,12,3
2007-06-03,17,MIKA,LOVE TODAY,15,6,10
2007-06-03,18,MIMS,THIS IS WHY I'M HOT,41,18,5
2007-06-03,19,MARILYN MANSON,HEART-SHAPED GLASSES,New,19,1
2007-06-03,20,LINKIN PARK,WHAT I'VE DONE,14,6,9
2007-06-03,21,R KELLY FT TI & T-PAIN,I'M A FLIRT,18,18,4
2007-06-03,22,ARMAND VAN HELDEN,NYC BEAT,45,22,5
2007-06-03,23,KIM SOZZI,BREAK UP,98,23,2
2007-06-03,24,KAISER CHIEFS,RUBY,23,1,17
2007-06-03,25,FRAY,HOW TO SAVE A LIFE,25,4,20
2007-06-03,26,ZIMMERS,MY GENERATION,New,26,1
2007-06-03,27,MANIC STREET PREACHERS,YOUR LOVE ALONE IS NOT ENOUGH,16,2,6
2007-06-03,28,ENRIQUE IGLESIAS,DO YOU KNOW (THE PING PONG SONG),New,28,1
2007-06-03,29,NELLY FURTADO,SAY IT RIGHT,29,10,18
2007-06-03,30,DIZZEE RASCAL,SIRENS,20,20,2
2007-06-03,31,MIKA,GRACE KELLY,27,1,21
2007-06-03,32,MARK RONSON FT D MERRIWEATHER,STOP ME,21,2,9
2007-06-03,33,TINY DANCERS,HANNAH WE KNOW,New,33,1
2007-06-03,34,GWEN STEFANI FT AKON,THE SWEET ESCAPE,30,2,19
2007-06-03,35,FERGIE FT LUDACRIS,GLAMOROUS,37,6,16
2007-06-03,36,SIMPLY RED,STAY,New,36,1
2007-06-03,37,JAMIE T,SHEILA,24,15,16
2007-06-03,38,AMERIE,TAKE CONTROL,17,10,6
2007-06-03,39,KAISER CHIEFS,EVERYTHING IS AVERAGE NOWADAYS,19,19,4
2007-06-03,40,JUSTIN TIMBERLAKE,WHAT GOES AROUND COMES AROUND,35,4,19
2007-06-03,41,LCD SOUNDSYSTEM,ALL MY FRIENDS,New,41,1
2007-06-03,42,ALEX GAUDINO FT CRYSTAL WATERS,DESTINATION CALABRIA,34,4,12
2007-06-03,43,SCISSOR SISTERS,KISS YOU OFF,New,43,1
2007-06-03,44,SCOOCH,FLYING THE FLAG (FOR YOU),22,5,5
2007-06-03,45,LLOYD FT LIL WAYNE,YOU,66,45,2
2007-06-03,46,CHRISTINA AGUILERA,CANDYMAN,44,17,14
2007-06-03,47,FALL OUT BOY,THNKS FR TH MMRS,36,12,10
2007-06-03,48,TAKE THAT,SHINE,40,1,19
