chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
22/4/2022,1,HARRY STYLES,AS IT WAS,1,1,3
22/4/2022,2,JACK HARLOW,FIRST CLASS,2,2,2
22/4/2022,3,AITCH/ASHANTI,BABY,4,2,6
22/4/2022,4,DAVE,STARLIGHT,3,1,7
22/4/2022,5,CAT BURNS,GO,5,5,14
22/4/2022,6,FIREBOY DML & ED SHEERAN,PERU,6,2,17
22/4/2022,7,BELTERS ONLY FT JAZZY,MAKE ME FEEL GOOD,8,4,16
22/4/2022,8,CAMILA CABELLO FT ED SHEERAN,BAM BAM,9,8,7
22/4/2022,9,JAX JONES FT MNEK,WHERE DID YOU GO,10,7,11
22/4/2022,10,LUUDE FT COLIN HAY,DOWN UNDER,11,5,16
22/4/2022,11,BAD BOY CHILLER CREW,BMW,12,9,13
22/4/2022,12,MIMI WEBB,HOUSE ON FIRE,13,6,9
22/4/2022,13,GEORGE EZRA,ANYONE FOR YOU,14,12,12
22/4/2022,14,TATE MCRAE,SHE'S ALL I WANNA BE,17,14,11
22/4/2022,15,TIESTO & AVA MAX,THE MOTTO,16,12,20
22/4/2022,16,A1 & J1/TION WAYNE,NIGHT AWAY (DANCE),15,11,7
22/4/2022,17,DAVID GUETTA/HILL/HENDERSON,CRAZY WHAT LOVE CAN DO,20,17,2
22/4/2022,18,LAUREN SPENCER-SMITH,FLOWERS,New,18,1
22/4/2022,19,LOST FREQUENCIES/CALUM SCOTT,WHERE ARE YOU NOW,7,3,28
22/4/2022,20,ED SHEERAN,BAD HABITS,19,1,39
22/4/2022,21,RUSS MILLIONS/BUNI/YV,ONE OF A KIND MUSIC PTS REGGAE & CALYPSO,18,12,10
22/4/2022,22,BECKY HILL/GALANTIS,RUN,25,21,8
22/4/2022,23,GLASS ANIMALS,HEAT WAVES,22,5,75
22/4/2022,24,JOEL CORRY/DAVID GUETTA/TILLER,WHAT WOULD YOU DO,24,21,5
22/4/2022,25,CHARLIE PUTH,LIGHT SWITCH,26,25,13
22/4/2022,26,ED SHEERAN,SHIVERS,27,1,32
22/4/2022,27,LIILZ FT ZIEZIE,GLAD U CAME,21,15,7
22/4/2022,28,SAM FENDER,SEVENTEEN GOING UNDER,30,3,40
22/4/2022,29,GAITAN/CASTILLO/ADASSA/FELIZ,WE DON'T TALK ABOUT BRUNO,23,1,17
22/4/2022,30,DYLAN CONRIQUE,BIRTHDAY CAKE,36,30,4
22/4/2022,31,SIGALA,MELODY,34,31,13
22/4/2022,32,ELTON JOHN & DUA LIPA,COLD HEART,39,1,36
22/4/2022,33,EM BEIHOLD,NUMB LITTLE BUG,32,25,12
22/4/2022,34,ACRAZE FT CHERISH,DO IT TO IT,33,9,25
22/4/2022,35,LIL TJAY,IN MY HEAD,28,18,3
22/4/2022,36,WILKINSON & ISSEY CROSS,USED TO THIS,38,33,14
22/4/2022,37,VIBE CHEMISTRY,BALLING,37,37,4
22/4/2022,38,TYGA & DOJA CAT,FREAKY DEAKY,43,38,8
22/4/2022,39,DIGGA D,HOLD IT DOWN,35,35,2
22/4/2022,40,POTTER PAYPER/TIGGS DA AUTHOR,GANGSTERITUS,31,23,5
22/4/2022,41,LATTO/MARIAH CAREY/DJ KHALED,BIG ENERGY,48,41,3
22/4/2022,42,LEAH KATE,10 THINGS I HATE ABOUT YOU,56,42,2
