chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
16/4/2000,1,COCO vs FRAGMA,TOCA'S MIRACLE,New,1,1
16/4/2000,2,CRAIG DAVID,FILL ME IN,1,1,2
16/4/2000,3,SISQO,THONG SONG,New,3,1
16/4/2000,4,SWEET FEMALE ATTITUDE,FLOWERS,2,2,2
16/4/2000,5,BLOODHOUND GANG,THE BAD TOUCH,5,5,2
16/4/2000,6,LOCK 'N' LOAD,BLOW YA MIND,6,6,3
16/4/2000,7,JESSICA SIMPSON,I WANNA LOVE YOU FOREVER,New,7,1
16/4/2000,8,SASH!,JUST AROUND THE HILL,New,8,1
16/4/2000,9,MELANIE C/LISA LEFT EYE LOPES,NEVER BE THE SAME AGAIN,7,1,4
16/4/2000,10,STEPS,DEEPER SHADE OF BLUE,4,4,2
16/4/2000,11,RICHARD ASHCROFT,A SONG FOR THE LOVERS,3,3,2
16/4/2000,12,DESTINY'S CHILD,SAY MY NAME,9,3,3
16/4/2000,13,POINT BREAK,FREAKYTIME,New,13,1
16/4/2000,14,WESTLIFE,FOOL AGAIN,8,1,3
16/4/2000,15,RANK 1,AIRWAVE,10,10,6
16/4/2000,16,MOLOKO,THE TIME IS NOW,11,2,4
16/4/2000,17,SANTANA FT ROB THOMAS,SMOOTH,12,3,5
16/4/2000,18,SISTER 2 SISTER,SISTER,New,18,1
16/4/2000,19,BLINK 182,ALL THE SMALL THINGS,15,2,5
16/4/2000,20,BLACK BOX RECORDER,THE FACTS OF LIFE,New,20,1
16/4/2000,21,DR DRE FT SNOOP DOGG,STILL DRE,14,6,5
16/4/2000,22,LENE MARLIN,SITTING DOWN HERE,20,5,7
16/4/2000,23,LONESTAR,AMAZED,24,23,2
16/4/2000,24,R KELLY,ONLY THE LOOT CAN MAKE ME HAPPY,New,24,1
16/4/2000,25,CHICANE FT BRYAN ADAMS,DON'T GIVE UP,16,1,6
16/4/2000,26,ALL SAINTS,PURE SHORES,18,1,9
16/4/2000,27,MADONNA,AMERICAN PIE,17,1,7
16/4/2000,28,GERI HALLIWELL,BAG IT UP,19,1,5
16/4/2000,29,MONIE LOVE,SLICE OF DA PIE,New,29,1
16/4/2000,30,BASEMENT JAXX,BINGO BANGO,13,13,2
16/4/2000,31,STING,AFTER THE RAIN HAS FALLEN,New,31,1
16/4/2000,32,ATOMIC KITTEN,SEE YA,21,6,3
16/4/2000,33,N'N'G FT KALLAGHAN,RIGHT BEFORE MY EYES,25,12,7
16/4/2000,34,SAVAGE GARDEN,CRASH AND BURN,28,14,4
16/4/2000,35,VENGABOYS,SHALALA LALA,29,5,8
16/4/2000,36,ARTFUL DODGER & ROMINA JOHNSON,MOVIN TOO FAST,32,2,8
16/4/2000,37,ATB,KILLER,26,4,5
16/4/2000,38,M2M,DON'T SAY YOU LOVE ME,30,16,4
16/4/2000,39,DANIEL O'DONNELL,LIGHT A CANDLE,23,23,2
16/4/2000,40,MATT DAREY PTS DSP,FROM RUSSIA WITH LOVE,New,40,1
16/4/2000,41,ANGIE STONE,LIFE STORY,22,22,2
16/4/2000,42,MONTELL JORDAN,GET IT ON TONITE,27,15,3
16/4/2000,43,FIVE,DON'T WANNA LET YOU GO,42,9,6
16/4/2000,44,NSYNC,BYE BYE BYE,37,3,7
16/4/2000,45,PUFF DADDY FT R KELLY,SATISFY YOU,36,8,7
16/4/2000,46,PRECIOUS,REWIND,31,11,4
16/4/2000,47,CELINE DION,THE FIRST TIME EVER I SAW YOUR FACE,35,19,3
16/4/2000,48,B'WITCHED,JUMP DOWN,34,16,3
16/4/2000,49,BACKSTREET BOYS,SHOW ME THE MEANING OF BEING LONELY,46,3,12
16/4/2000,50,MACY GRAY,STILL,50,18,5
16/4/2000,51,JENNIFER LOPEZ,FEELIN' SO GOOD,38,15,4
16/4/2000,52,KELIS,CAUGHT OUT THERE,53,4,8
