chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1968-10-02,1,MARY HOPKIN,THOSE WERE THE DAYS,1,1,5
1968-10-02,2,THE BEATLES,HEY JUDE,2,1,5
1968-10-02,3,CASUALS,JESAMINE,3,3,8
1968-10-02,4,LEAPY LEE,LITTLE ARROWS,9,4,7
1968-10-02,5,JOHNNY NASH,HOLD ME TIGHT,5,5,9
1968-10-02,6,THE BEE GEES,I'VE GOTTA GET A MESSAGE TO YOU,4,1,9
1968-10-02,7,UNION GAP,LADY WILLPOWER,10,7,9
1968-10-02,8,ARETHA FRANKLIN,I SAY A LITTLE PRAYER,6,4,9
1968-10-02,9,THE DAVE CLARK FIVE,RED BALLOON,19,9,3
1968-10-02,10,AMEN CORNER,HIGH IN THE SKY,11,6,10
1968-10-02,11,STATUS QUO,ICE IN THE SUN,17,11,7
1968-10-02,12,THE BEACH BOYS,DO IT AGAIN,7,1,11
1968-10-02,13,MASON WILLIAMS,CLASSICAL GAS,12,12,6
1968-10-02,14,CANNED HEAT,ON THE ROAD AGAIN,8,8,11
1968-10-02,15,MAMA CASS,DREAM A LITTLE DREAM OF ME,14,11,8
1968-10-02,16,THE DOORS,HELLO I LOVE YOU,18,16,6
1968-10-02,17,LOVE AFFAIR,A DAY WITHOUT LOVE,22,17,4
1968-10-02,18,THE TREMELOES,MY LITTLE LADY,27,18,3
1968-10-02,19,TOM JONES,HELP YOURSELF,13,5,12
1968-10-02,20,OTIS REDDING,HARD TO HANDLE,16,15,10
1968-10-02,21,HERB ALPERT,THIS GUY'S IN LOVE WITH YOU,15,3,14
1968-10-02,22,VANITY FARE,I LIVE FOR THE SUN,20,20,6
1968-10-02,23,JOSE FELICIANO,LIGHT MY FIRE,30,23,3
1968-10-02,24,THE BAND,THE WEIGHT,24,24,3
1968-10-02,25,THE NICE,AMERICA,26,21,13
1968-10-02,26,DES O'CONNOR,I PRETEND,21,1,22
1968-10-02,27,HUGO MONTENEGRO,THE GOOD THE BAD AND THE UGLY,36,27,4
1968-10-02,28,CLIFF RICHARD,MARIANNE,45,28,2
1968-10-02,29,THE FOUR TOPS,YESTERDAY'S DREAMS,23,23,7
1968-10-02,30,HERMAN'S HERMITS,SUNSHINE GIRL,25,8,12
1968-10-02,31,TYRANNOSAURUS REX,ONE INCH ROCK,28,28,5
1968-10-02,32,ENGELBERT HUMPERDINCK,LES BICYCLETTES DE BELSIZE,37,32,2
1968-10-02,33,THE HOLLIES,LISTEN TO ME,New,33,1
1968-10-02,34,MARBLES,ONLY ONE WOMAN,48,34,2
1968-10-02,35,BRUCE CHANNEL,KEEP ON,29,12,15
1968-10-02,36,JIMMY JAMES AND THE VAGABONDS,RED RED WINE,41,36,4
1968-10-02,37,SLY AND THE FAMILY STONE,DANCE TO THE MUSIC,31,7,13
1968-10-02,38,WILSON PICKETT,I'M A MIDNIGHT MOVER,42,38,4
1968-10-02,39,THE MOODY BLUES,VOICES IN THE SKY,33,27,9
1968-10-02,40,MARVIN GAYE AND TAMMI TERRELL,YOU'RE ALL I NEED TO GET BY,New,40,1
1968-10-02,41,FLEETWOOD MAC,NEED YOUR LOVE SO BAD,38,31,12
1968-10-02,42,JOE COCKER,WITH A LITTLE HELP FROM MY FRIENDS,New,42,1
1968-10-02,43,"DAVE DEE, DOZY, BEAKY, MICK AND TICH",WRECK OF THE ANTOINETTE,New,43,1
1968-10-02,44,TOMMY JAMES AND THE SHONDELLS,MONY MONY,32,1,18
1968-10-02,45,ROY ORBISON,HEARTACHE,47,45,2
1968-10-02,46,CUPID'S INSPIRATION,MY WORLD,New,46,1
1968-10-02,47,GRAPEFRUIT,C'MON MARIANNE,40,31,8
1968-10-02,48,ANITA HARRIS,DREAM A LITTLE DREAM OF ME,49,33,8
1968-10-02,49,SLY AND THE FAMILY STONE,M'LADY,New,49,1
1968-10-02,50,LONG JOHN BALDRY,WHEN THE SUN COMES SHININ' THRU',39,29,6
