chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
3/12/1978,1,BONEY M,MARY'S BOY CHILD,7,1,2
3/12/1978,2,ROD STEWART,DA 'YA' THINK I'M SEXY?,1,1,4
3/12/1978,3,THE BEE GEES,TOO MUCH HEAVEN,14,3,3
3/12/1978,4,THE BARRON KNIGHTS,A TASTE OF AGGRO,19,4,2
3/12/1978,5,THE BOOMTOWN RATS,RAT TRAP,2,1,9
3/12/1978,6,SARAH BRIGHTMAN AND HOT GOSSIP,I LOST MY HEART TO A STARSHIP TROOPER,9,6,5
3/12/1978,7,BLONDIE,HANGING ON THE TELEPHONE,5,5,5
3/12/1978,8,CHIC,LE FREAK,18,8,4
3/12/1978,9,HEATWAVE,ALWAYS AND FOREVER/MIND BLOWING DECISIONS,11,9,6
3/12/1978,10,OLIVIA NEWTON-JOHN,HOPELESSLY DEVOTED TO YOU,3,2,6
3/12/1978,11,THE CARS,MY BEST FRIEND'S GIRL,4,3,5
3/12/1978,12,THE VILLAGE PEOPLE,Y.M.C.A.,25,12,3
3/12/1978,13,ELKIE BROOKS,DON'T CRY OUT LOUD,12,12,5
3/12/1978,14,SHOWADDYWADDY,PRETTY LITTLE ANGEL EYES,6,5,6
3/12/1978,15,DAN HARTMAN,INSTANT REPLAY,8,8,8
3/12/1978,16,FRANKIE MILLER,DARLIN',10,6,9
3/12/1978,17,MUSIQUE,IN THE BUSH,26,17,4
3/12/1978,18,PATRICK JUVET,I LOVE AMERICA,17,12,6
3/12/1978,19,DARTS,DON'T LET IT FADE AWAY,20,19,5
3/12/1978,20,ELTON JOHN,PART TIME LOVE,16,16,8
3/12/1978,21,QUEEN,BICYCLE RACE/FAT BOTTOMED GIRLS,13,11,7
3/12/1978,22,X-RAY SPEX,GERM FREE ADOLESCENTS,22,19,6
3/12/1978,23,JOHN TRAVOLTA,GREASED LIGHTNIN',37,23,2
3/12/1978,24,RACEY,LAY YOUR LOVE ON ME,40,24,3
3/12/1978,25,BARBRA STREISAND AND NEIL DIAMOND,YOU DON'T BRING ME FLOWERS,30,25,3
3/12/1978,26,DOLLAR,SHOOTING STAR,27,26,5
3/12/1978,27,THE CLASH,TOMMY GUN,29,27,2
3/12/1978,28,LEO SAYER,RAINING IN MY HEART,50,28,3
3/12/1978,29,STREETBAND,TOAST/HOLD ON,24,18,6
3/12/1978,30,JOHN TRAVOLTA AND OLIVIA NEWTON-JOHN,SUMMER NIGHTS,15,1,13
3/12/1978,31,SYLVESTER,DANCE (DISCO HEAT),32,29,4
3/12/1978,32,CHAKA KHAN,I'M EVERY WOMAN,44,32,2
3/12/1978,33,JOHN TRAVOLTA,SANDY,21,2,10
3/12/1978,34,MANKIND,DR. WHO,45,34,3
3/12/1978,35,BUZZCOCKS,PROMISES,28,28,3
