chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2001-04-15,1,EMMA BUNTON,WHAT TOOK YOU SO LONG,1,1,2
2001-04-15,2,SHAGGY FT RIKROK,IT WASN'T ME,2,1,7
2001-04-15,3,JANET JACKSON,ALL FOR YOU,New,3,1
2001-04-15,4,GABRIELLE,OUT OF REACH,New,4,1
2001-04-15,5,HEARSAY,PURE AND SIMPLE,3,1,5
2001-04-15,6,GORILLAZ,CLINT EASTWOOD,5,4,6
2001-04-15,7,CRAZY TOWN,BUTTERFLY,4,3,3
2001-04-15,8,ATOMIC KITTEN,WHOLE AGAIN,7,1,11
2001-04-15,9,WESTLIFE,UPTOWN GIRL,8,1,6
2001-04-15,10,ROBBIE WILLIAMS,LET LOVE BE YOUR ENERGY,New,10,1
2001-04-15,11,WHEATUS,TEENAGE DIRTBAG,9,2,10
2001-04-15,12,LIL BOW WOW,BOW WOW (THAT'S MY NAME),6,6,2
2001-04-15,13,SUGABABES,RUN FOR COVER,New,13,1
2001-04-15,14,NELLY FURTADO,I'M LIKE A BIRD,11,5,7
2001-04-15,15,FAITH HILL,THE WAY YOU LOVE ME,New,15,1
2001-04-15,16,LINKIN PARK,CRAWLING,New,16,1
2001-04-15,17,NORMAN BASS,HOW U LIKE BASS,New,17,1
2001-04-15,18,M&S PTS GIRL NEXT DOOR,SALSOUL NUGGET (IF U WANNA),10,6,3
2001-04-15,19,TOPLOADER,ONLY FOR A WHILE,New,19,1
2001-04-15,20,CHANTE MOORE,STRAIGHT UP,17,11,3
2001-04-15,21,ELVIS PRESLEY,SUSPICIOUS MINDS,15,2,16
2001-04-15,22,CHOCOLATE PUMA,I WANNA BE U,18,6,5
2001-04-15,23,TWEENIES,BEST FRIENDS FOREVER,22,12,4
2001-04-15,24,SOUND DE-ZIGN,HAPPINESS,19,19,2
2001-04-15,25,SAMANTHA MUMBA,ALWAYS COME BACK TO YOUR LOVE,23,3,8
2001-04-15,26,BRITNEY SPEARS,DON'T LET ME BE THE LAST TO KNOW,21,12,3
2001-04-15,27,CRAIG DAVID,RENDEZVOUS,20,8,4
2001-04-15,28,STEREOPHONICS,MR WRITER,16,5,4
2001-04-15,29,MODJO,CHILLIN',12,12,2
2001-04-15,30,QB FINEST FT NAS & BRAVEHEARTS,OOCHIE WALLY,New,30,1
2001-04-15,31,FEEDER,SEVEN DAYS IN THE SUN,14,14,2
2001-04-15,32,ASH,BURN BABY BURN,13,13,2
2001-04-15,33,DIDO,HERE WITH ME,31,4,9
2001-04-15,34,OFFSPRING,WANT YOU BAD,25,15,4
2001-04-15,35,OUTKAST,MS JACKSON,28,2,8
2001-04-15,36,JAN JOHNSTON,FLESH,New,36,1
2001-04-15,37,DAMAGE,STILL BE LOVIN' YOU,29,11,4
2001-04-15,38,KACI,PARADISE,37,11,7
2001-04-15,39,LEANN RIMES,I NEED YOU,27,13,4
2001-04-15,40,BEE GEES,THIS IS WHERE I CAME IN,26,18,3
2001-04-15,41,AVALANCHES,SINCE I LEFT YOU,24,16,3
2001-04-15,42,R KELLY,THE STORM IS OVER NOW,34,18,4
2001-04-15,43,BLACKOUT,MR DJ,32,19,4
2001-04-15,44,KINGS OF CONVENIENCE,TOXIC GIRL,New,44,1
2001-04-15,45,RICKY MARTIN WITH C AGUILERA,NOBODY WANTS TO BE LONELY,30,4,7
2001-04-15,46,D12,SHIT ON YOU,40,10,10
2001-04-15,47,ARTFUL DODGER FT M ESCOFFERY,THINK ABOUT ME,38,11,6
2001-04-15,48,ARCHITECHS,SHOW ME THE MONEY,33,20,3
2001-04-15,49,JAKATTA,AMERICAN DREAM,36,3,9
2001-04-15,50,DREAM,HE LOVES U NOT,43,17,6
2001-04-15,51,BEENIE MAN FT MYA,GIRLS DEM SUGAR,39,13,5
2001-04-15,52,A1,NO MORE,52,6,8
2001-04-15,53,DJ LUCK & MC NEAT,PIANO LOCO,41,12,6
2001-04-15,54,TOPLOADER,DANCING IN THE MOONLIGHT,48,7,29
2001-04-15,55,LIMP BIZKIT,ROLLIN',49,1,13
2001-04-15,56,OCEAN COLOUR SCENE,UP ON THE DOWN SIDE,35,19,3
2001-04-15,57,XZIBIT,X,42,14,6
2001-04-15,58,STUNTMASTERZ,THE LADYBOY IS MINE,51,10,8
2001-04-15,59,BBMAK,BACK HERE,67,5,9
2001-04-15,60,MANIC STREET PREACHERS,SO WHY SO SAD,65,8,7
2001-04-15,61,EVA CASSIDY,OVER THE RAINBOW,78,61,6
2001-04-15,62,MELANIE B,FEELS SO GOOD,53,5,8
2001-04-15,63,MYA,CASE OF THE EX,64,3,12
2001-04-15,64,MUSE,PLUG IN BABY,56,11,5
2001-04-15,65,AEROSMITH,JADED,60,13,6
2001-04-15,66,KOSHEEN,SLIP & SLIDE SUICIDE,50,50,2
2001-04-15,67,JENNIFER LOPEZ,LOVE DON'T COST A THING,76,1,12
2001-04-15,68,MANIC STREET PREACHERS,FOUND THAT SOUL,77,9,5
2001-04-15,69,PAPA ROACH,LAST RESORT,71,3,10
2001-04-15,70,DEBELAH MORGAN,DANCE WITH ME,68,10,9
2001-04-15,71,MARIO PIU PTS DJ ARABESQUE,THE VISION,80,16,7
2001-04-15,72,VINCENT DE MOOR,FLY AWAY,46,30,4
2001-04-15,73,TWEENIES,NUMBER 1,74,5,24
2001-04-15,74,EMINEM,STAN,RE,1,17
2001-04-15,75,HI-GATE,GONNA WORK IT OUT,47,25,3
2001-04-15,76,BOB THE BUILDER,CAN WE FIX IT,75,1,19
2001-04-15,77,PLANET FUNK,CHASE THE SUN,55,5,10
2001-04-15,78,ALL SAINTS,ALL HOOKED UP,82,7,12
2001-04-15,79,HUMAN NATURE,HE DON'T LOVE YOU,87,18,6
2001-04-15,80,TIONNE T-BOZ WATKINS,MY GETAWAY,44,44,2
2001-04-15,81,S CLUB 7,NEVER HAD A DREAM COME TRUE,RE,1,17
2001-04-15,82,BAHA MEN,WHO LET THE DOGS OUT,93,2,26
2001-04-15,83,DR DRE FT SNOOP DOGG,THE NEXT EPISODE,RE,3,11
2001-04-15,84,WESTLIFE,WHAT MAKES A MAN,RE,2,14
2001-04-15,85,USHER,POP YA COLLAR,84,2,12
2001-04-15,86,TENTH PLANET,GHOSTS,59,59,2
