chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
29/1/1978,1,ALTHIA AND DONNA,UPTOWN TOP RANKING,2,1,7
29/1/1978,2,WINGS,MULL OF KINTYRE/GIRLS' SCHOOL,1,1,12
29/1/1978,3,BROTHERHOOD OF MAN,FIGARO,4,3,4
29/1/1978,4,SCOTT FITZGERALD AND YVONNE KEELY,IF I HAD WORDS,10,4,4
29/1/1978,5,ODYSSEY,NATIVE NEW YORKER,5,5,7
29/1/1978,6,DONNA SUMMER,LOVE'S UNKIND,3,3,10
29/1/1978,7,BILL WITHERS,LOVELY DAY,8,7,4
29/1/1978,8,BONNIE TYLER,IT'S A HEARTACHE,6,4,10
29/1/1978,9,BOB MARLEY & THE WAILERS,JAMMING/PUNKY REGGAE PARTY,11,9,9
29/1/1978,10,ABBA,TAKE A CHANCE ON ME,New,10,1
29/1/1978,11,CHIC,DANCE DANCE DANCE,9,6,11
29/1/1978,12,HEATWAVE,THE GROOVE LINE,17,12,4
29/1/1978,13,BACCARA,SORRY I'M A LADY,22,13,4
29/1/1978,14,CRYSTAL GAYLE,DON'T IT MAKE MY BROWN EYES BLUE,7,5,13
29/1/1978,15,WAR,GALAXY,14,14,4
29/1/1978,16,ELECTRIC LIGHT ORCHESTRA,MR. BLUE SKY,39,16,2
29/1/1978,17,IMPERIALS,WHO'S GONNA LOVE ME,23,17,7
29/1/1978,18,ROD STEWART,HOT LEGS/I WAS ONLY JOKING,35,18,2
29/1/1978,19,DAVID SOUL,LET'S HAVE A QUIET NIGHT IN,13,8,8
29/1/1978,20,DARTS,COME BACK MY LOVE,43,20,2
29/1/1978,21,THE SWEET,LOVE IS LIKE OXYGEN,48,21,2
29/1/1978,22,JULIE COVINGTON,ONLY WOMEN BLEED,15,12,10
29/1/1978,23,T-CONNECTION,ON FIRE,16,16,4
29/1/1978,24,RICH KIDS,RICH KIDS,29,24,2
29/1/1978,25,BRIGHOUSE AND RASTRICK BRASS BAND,FLORAL DANCE,12,2,13
29/1/1978,26,ROSE ROYCE,WISHING ON A STAR,28,26,4
29/1/1978,27,STARGARD,THEME FROM 'WHICH WAY IS UP',50,27,2
29/1/1978,28,SMOKIE,FOR A FEW DOLLARS MORE,38,28,2
29/1/1978,29,MODERN LOVERS,MORNING OF OUR LIVES,33,29,3
29/1/1978,30,YANNIS MARKOUPOULOS,WHO PAYS THE FERRYMAN,19,11,8
29/1/1978,31,THE BEE GEES,HOW DEEP IS YOUR LOVE,24,3,15
29/1/1978,32,TONIGHT,DRUMMER MAN,34,32,2
29/1/1978,33,GORDON GILTRAP,HEARTSONG,30,30,4
29/1/1978,34,THE BEE GEES,STAYIN' ALIVE,New,34,1
29/1/1978,35,LINDA RONSTADT,BLUE BAYOU,44,35,2
29/1/1978,36,TERRY WOGAN,THE FLORAL DANCE,21,21,5
29/1/1978,37,CARL DOUGLAS,RUN BACK,27,25,10
29/1/1978,38,EDDIE AND THE HOT RODS,QUIT THIS TOWN,36,36,3
29/1/1978,39,DAVID BOWIE,BEAUTY AND THE BEAST,40,39,3
29/1/1978,40,DONNA SUMMER,I LOVE YOU,18,10,9
29/1/1978,41,RITA COOLIDGE,WORDS,New,41,1
29/1/1978,42,ADVERTS,NO TIME TO BE 21,New,42,1
29/1/1978,43,SAMANTHA SANG,EMOTIONS,New,43,1
29/1/1978,44,ROBERTA KELLY,ZODIACS,RE,44,2
29/1/1978,45,PEOPLE'S CHOICE,"JAM, JAM, JAM (ALL NIGHT LONG)",42,40,3
29/1/1978,46,THE BABYS,ISN'T IT TIME,47,45,3
29/1/1978,47,RADIO STARS,NERVOUS WRECK,New,47,1
29/1/1978,48,EL COCO,COCOMOTION,31,31,4
29/1/1978,49,YELLOW DOG,JUST ONE MORE NIGHT,New,49,1
29/1/1978,50,THE STRANGLERS,FIVE MINUTES,New,50,1
