chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2021-11-26,1,ADELE,EASY ON ME,1,1,6
2021-11-26,2,ADELE,OH MY GOD,New,2,1
2021-11-26,3,ED SHEERAN,SHIVERS,2,1,11
2021-11-26,4,ADELE,I DRINK WINE,New,4,1
2021-11-26,5,ED SHEERAN,BAD HABITS,4,1,22
2021-11-26,6,TAYLOR SWIFT,ALL TOO WELL (TAYLOR'S VERSION),3,3,2
2021-11-26,7,ARRDEE,FLOWERS (SAY MY NAME),5,5,3
2021-11-26,8,D-BLOCK EUROPE FT CENTRAL CEE,OVERSEAS,New,8,1
2021-11-26,9,SAM FENDER,SEVENTEEN GOING UNDER,9,9,19
2021-11-26,10,ED SHEERAN,OVERPASS GRAFFITI,6,4,4
2021-11-26,11,SWITCHOTR FT A1 & J1,COMING FOR YOU,10,10,4
2021-11-26,12,ELTON JOHN & DUA LIPA,COLD HEART,8,1,15
2021-11-26,13,ACRAZE FT CHERISH,DO IT TO IT,24,13,4
2021-11-26,14,GAYLE,ABCDEFU,40,14,2
2021-11-26,15,CENTRAL CEE,OBSESSED WITH YOU,11,4,11
2021-11-26,16,EWAN MCVICAR,TELL ME SOMETHING GOOD,15,15,12
2021-11-26,17,ANXIETY/WILLOW/TYLER COLE,MEET ME AT OUR SPOT,14,10,13
2021-11-26,18,SILK SONIC/BRUNO MARS/PAAK,SMOKIN OUT THE WINDOW,12,12,3
2021-11-26,19,COLDPLAY & BTS,MY UNIVERSE,17,3,9
2021-11-26,20,JOEL CORRY FT MABEL,I WISH,20,19,4
2021-11-26,21,DERMOT KENNEDY,BETTER DAYS,23,16,17
2021-11-26,22,D-BLOCK EUROPE,NO COMPETITION,39,18,4
2021-11-26,23,ANNE-MARIE & NIALL HORAN,EVERYWHERE (BBC CHILDREN IN NEED),New,23,1
2021-11-26,24,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU,44,1,110
2021-11-26,25,CLEAN BANDIT/TOPIC/WES NELSON,DRIVE,21,17,17
2021-11-26,26,ARZ,ALONE WITH YOU,26,25,15
2021-11-26,27,CKAY,LOVE NWANTITI (AH AH AH),7,3,11
2021-11-26,28,WHAM,LAST CHRISTMAS,54,1,75
2021-11-26,29,JUSTIN BIEBER,GHOST,32,29,7
2021-11-26,30,KID LAROI & JUSTIN BIEBER,STAY,27,2,20
2021-11-26,31,GLASS ANIMALS,HEAT WAVES,28,5,54
2021-11-26,32,AMAARAE FT MOLIY,SAD GIRLZ LUV MONEY,30,29,4
2021-11-26,33,POST MALONE & WEEKND,ONE RIGHT NOW,29,20,3
2021-11-26,34,NEIKED/MAE MULLER/POLO G,BETTER DAYS,33,32,5
2021-11-26,35,D-BLOCK EUROPE,FUNNY BUNNY NAILS,New,35,1
2021-11-26,36,BECKY HILL & TOPIC,MY HEART GOES (LA DI DA),13,11,13
2021-11-26,37,SWEDISH HOUSE MAFIA/WEEKND,MOTH TO A FLAME,34,15,5
2021-11-26,38,LIL NAS X & JACK HARLOW,INDUSTRY BABY,37,3,18
2021-11-26,39,LOST FREQUENCIES/CALUM SCOTT,WHERE ARE YOU NOW,50,39,7
2021-11-26,40,IMAGINE DRAGONS/JID/LEAGUE OF,ENEMY,66,40,2
2021-11-26,41,LIL NAS X,THATS WHAT I WANT,16,10,10
2021-11-26,42,SAM FENDER,SPIT OF YOU,48,41,8
2021-11-26,43,WEEKND,TAKE MY BREATH,36,13,16
2021-11-26,44,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK,87,2,108
2021-11-26,45,SILK SONIC/BRUNO MARS/PAAK,LEAVE THE DOOR OPEN,31,20,19
2021-11-26,46,JOEL CORRY/JAX JONES/XCX,OUT OUT,38,6,15
2021-11-26,47,BILLIE EILISH,HAPPIER THAN EVER,42,4,17
2021-11-26,48,DOJA CAT,WOMAN,19,13,15
2021-11-26,49,MICHAEL BUBLE,IT'S BEGINNING TO LOOK A LOT LIKE,99,7,42
2021-11-26,50,BEATFREAKZ/RAYE/RUSS/WWW,MONEY CALLING,56,50,4
2021-11-26,51,MEDUZA FT HOZIER,TELL IT TO MY HEART,51,46,4
2021-11-26,52,SHAKIN' STEVENS,MERRY CHRISTMAS EVERYONE,RE,1,79
2021-11-26,53,TAYLOR SWIFT,RED (TAYLOR'S VERSION),22,22,2
2021-11-26,54,TAYLOR SWIFT,STATE OF GRACE (TAYLOR'S VERSION),18,18,2
2021-11-26,55,BENSON BOONE,GHOST TOWN,46,46,5
2021-11-26,56,JUICE WRLD,ALREADY DEAD,25,25,2
2021-11-26,57,LITTLE MIX,NO,35,35,2
2021-11-26,58,BRENDA LEE,ROCKIN' AROUND THE CHRISTMAS TREE,RE,6,54
2021-11-26,59,TATE MCRAE,FEEL LIKE S**T,52,52,2
2021-11-26,60,BECKY HILL & DAVID GUETTA,REMEMBER,55,3,23
2021-11-26,61,OLIVIA RODRIGO,GOOD 4 U,57,1,28
2021-11-26,62,TOM GRENNAN,DON'T BREAK THE HEART,65,49,8
2021-11-26,63,WEEKND,SAVE YOUR TEARS,63,2,46
2021-11-26,64,FELIXTHE1ST/DREYA MAC,OWN BRAND FREESTYLE,88,64,2
2021-11-26,65,CRAIG DAVID & MNEK,WHO YOU ARE,60,39,5
2021-11-26,66,BAND AID,DO THEY KNOW IT'S CHRISTMAS,RE,1,88
2021-11-26,67,JONASU,BLACK MAGIC,53,3,26
2021-11-26,68,JESY NELSON FT NICKI MINAJ,BOYZ,45,4,7
2021-11-26,69,DIGGA D,RED LIGHT GREEN LIGHT,43,17,5
2021-11-26,70,KELLY CLARKSON,UNDERNEATH THE TREE,RE,15,26
2021-11-26,71,MEEKZ,MORE MONEY,New,71,1
2021-11-26,72,ELTON JOHN,STEP INTO CHRISTMAS,RE,8,46
2021-11-26,73,SUMMER WALKER & SZA,NO LOVE,58,24,3
2021-11-26,74,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY,RE,10,64
2021-11-26,75,JETHRO HESTON/MAX MARSHALL,CUT ME LOOSE,80,75,4
2021-11-26,76,TIESTO & AVA MAX,THE MOTTO,70,61,3
2021-11-26,77,WEEKND,BLINDING LIGHTS,69,1,104
2021-11-26,78,ARIANA GRANDE,SANTA TELL ME,RE,11,24
2021-11-26,79,GRIFF,ONE NIGHT,62,45,11
2021-11-26,80,CHRIS REA,DRIVING HOME FOR CHRISTMAS,RE,11,63
2021-11-26,81,DOJA CAT & WEEKND,YOU RIGHT,76,9,8
2021-11-26,82,DAVE FT STORMZY,CLASH,78,2,20
2021-11-26,83,KILLERS,MR BRIGHTSIDE,81,10,295
2021-11-26,84,DUA LIPA,LEVITATING,83,5,65
2021-11-26,85,GEORGE EZRA,COME ON HOME FOR CHRISTMAS,New,85,1
2021-11-26,86,ANDY WILLIAMS,IT'S THE MOST WONDERFUL TIME OF THE YEAR,RE,17,42
2021-11-26,87,GALANTIS/GUETTA/LITTLE MIX,HEARTBREAK ANTHEM,82,3,27
2021-11-26,88,POLO G,BAD MAN (SMOOTH CRIMINAL),47,47,2
2021-11-26,89,FIREBOY DML,PERU,RE,89,2
2021-11-26,90,RITON & RAYE,I DON'T WANT YOU,77,50,12
2021-11-26,91,DRAKE FT LIL BABY,GIRLS WANT GIRLS,75,2,12
2021-11-26,92,BOYWITHUKE,TOXIC,86,80,3
2021-11-26,93,LISA,MONEY,84,46,8
2021-11-26,94,SR,WELCOME TO BRIXTON,95,93,3
2021-11-26,95,ANNE-MARIE & LITTLE MIX,KISS MY (UH OH),73,10,18
2021-11-26,96,LEWIS CAPALDI,SOMEONE YOU LOVED,90,1,147
2021-11-26,97,SHOUSE,LOVE TONIGHT,72,18,16
2021-11-26,98,JASON DERULO,ACAPULCO,74,74,8
2021-11-26,99,DUTCHAVELLI,NEVER FORGET YOU,New,99,1
2021-11-26,100,DIGGA D FT ARRDEE,WASTED,85,6,15
