chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
26/12/2004,1,BAND AID 20,DO THEY KNOW IT'S CHRISTMAS,1,1,4
26/12/2004,2,STEVE BROOKSTEIN,AGAINST ALL ODDS,New,2,1
26/12/2004,3,RONAN KEATING FT YUSUF,FATHER AND SON,2,2,2
26/12/2004,4,KYLIE MINOGUE,I BELIEVE IN YOU,3,2,3
26/12/2004,5,LEMAR,IF THERE'S ANY JUSTICE,7,3,6
26/12/2004,6,ICE CUBE FT MACK 10 & MS TOI,YOU CAN DO IT,4,2,4
26/12/2004,7,GREEN DAY,BOULEVARD OF BROKEN DREAMS,8,5,4
26/12/2004,8,MERRION/MCCALL/KENSIT,I GOT YOU BABE/SODA POP,5,5,2
26/12/2004,9,GIRLS ALOUD,I'LL STAND BY YOU,9,1,6
26/12/2004,10,NATASHA BEDINGFIELD,UNWRITTEN,11,6,4
26/12/2004,11,LETHAL BIZZLE,POW (FORWARD),New,11,1
26/12/2004,12,DESTINY'S CHILD,LOSE MY BREATH,6,2,8
26/12/2004,13,UNITING NATIONS,OUT OF TOUCH,15,12,5
26/12/2004,14,GWEN STEFANI,WHAT YOU WAITING FOR,12,4,6
26/12/2004,15,NELLY & CHRISTINA AGUILERA,TILT YA HEAD BACK,14,5,5
26/12/2004,16,SNOOP DOGG FT PHARRELL,DROP IT LIKE IT'S HOT,16,10,4
26/12/2004,17,EMINEM,JUST LOSE IT,17,1,8
26/12/2004,18,JAY-Z & LINKIN PARK,NUMB/ENCORE,19,14,5
26/12/2004,19,CHRISTINA AGUILERA FT MISSY,CAR WASH,20,4,8
26/12/2004,20,CLIFF RICHARD,I CANNOT GIVE YOU MY LOVE,13,13,2
26/12/2004,21,ERIC PRYDZ,CALL ON ME,24,1,15
26/12/2004,22,ROBBIE WILLIAMS,MISUNDERSTOOD,18,8,3
26/12/2004,23,BRIAN MCFADDEN,IRISH SON,25,6,5
26/12/2004,24,U2,VERTIGO,23,1,7
26/12/2004,25,GOLDIE LOOKIN CHAIN,YOU KNOWS I LOVES YOU BABY,22,22,2
26/12/2004,26,3RD WISH,OBSESSION (SI ES AMOR),26,15,3
26/12/2004,27,USHER,CONFESSIONS PART II/MY BOO,31,5,8
26/12/2004,28,MORRISSEY,I HAVE FORGIVEN JESUS,10,10,2
26/12/2004,29,MCFLY,ROOM ON THE 3RD FLOOR,35,5,6
26/12/2004,30,JAMELIA,DJ/STOP,30,9,8
26/12/2004,31,MICHAEL GRAY,THE WEEKEND,32,7,8
26/12/2004,32,DAMIEN RICE,THE BLOWER'S DAUGHTER,27,27,2
26/12/2004,33,GERI,RIDE IT,29,4,5
26/12/2004,34,ELECTRIC SIX,RADIO GAGA,21,21,2
26/12/2004,35,100 PERCENT FT JENNIFER JOHN,JUST CAN'T WAIT (SATURDAY),28,28,2
26/12/2004,36,MAROON 5,SUNDAY MORNING,39,27,3
26/12/2004,37,BLUE,CURTAIN FALLS,40,4,7
26/12/2004,38,BABYSHAMBLES,KILLAMANGIRO,33,8,4
26/12/2004,39,JOJO FT BOW WOW,BABY IT'S YOU,34,8,6
26/12/2004,40,JOSS STONE,RIGHT TO BE WRONG,44,29,4
26/12/2004,41,SHANIA TWAIN FT MARK MCGRATH,PARTY FOR TWO,41,10,5
26/12/2004,42,SKANDI GIRLS,DO THE CAN CAN,38,38,2
26/12/2004,43,BRITNEY SPEARS,MY PREROGATIVE,47,3,8
26/12/2004,44,BLINK 182,ALWAYS,36,36,2
26/12/2004,45,DEEP DISH,FLASHDANCE,42,3,14
26/12/2004,46,KHIA,MY NECK MY BACK (LICK IT),43,4,12
26/12/2004,47,KELIS FT ANDRE 3000,MILLIONAIRE,48,3,10
26/12/2004,48,MOUSSE T FT EMMA LANFORD,RIGHT ABOUT NOW,45,28,3
26/12/2004,49,HOUSE OF PAIN,JUMP AROUND,RE,32,9
26/12/2004,50,ZUTONS,CONFUSION,37,37,2
26/12/2004,51,JAMIE CULLUM,EVERLASTING LOVE,49,20,7
26/12/2004,52,STREETS,COULD WELL BE IN,57,30,4
26/12/2004,53,DIZZEE RASCAL,DREAM,52,14,7
26/12/2004,54,PAUL HOLT,FIFTY GRAND FOR CHRISTMAS,50,35,3
26/12/2004,55,NADIA,A LITTLE BIT OF ACTION,59,27,4
26/12/2004,56,EMBRACE,ASHES,55,11,6
26/12/2004,57,CORRS,LONG NIGHT,46,31,3
26/12/2004,58,DARKNESS,CHRISTMAS TIME (DON'T LET THE BELLS END),RE,2,14
26/12/2004,59,BEASTIE BOYS,AN OPEN LETTER TO NYC,53,38,3
26/12/2004,60,KEANE,THIS IS THE LAST TIME,58,18,5
26/12/2004,61,AKON FT STYLES P,LOCKED UP,74,61,4
26/12/2004,62,CHEEKY GIRLS,BOYS AND GIRLS,56,50,3
26/12/2004,63,STONEBRIDGE FT THERESE,PUT EM HIGH,77,6,16
26/12/2004,64,DELERIUM FT SARAH MCLACHLAN,SILENCE 2004,RE,38,5
26/12/2004,65,FABOLOUS,BREATHE,62,28,6
26/12/2004,66,RAZORLIGHT,RIP IT UP,54,20,4
26/12/2004,67,ALTER EGO,ROCKER,60,32,4
26/12/2004,68,I DREAM FT FRANKIE & CALVIN,DREAMING,67,19,6
26/12/2004,69,JAY-Z,99 PROBLEMS/DIRT OFF YOUR SHOULDER,96,12,15
26/12/2004,70,DANZEL,PUMP IT UP,RE,11,6
26/12/2004,71,SOURCE FT CANDI STATON,YOU GOT THE LOVE,81,3,15
26/12/2004,72,R KELLY,HAPPY PEOPLE/U SAVED ME,66,6,10
26/12/2004,73,JA RULE FT R KELLY & ASHANTI,WONDERFUL,73,1,9
26/12/2004,74,MYLO,DROP THE PRESSURE,83,19,8
26/12/2004,75,DELTA GOODREM,OUT OF THE BLUE,75,9,7
26/12/2004,76,NAUGHTY BY NATURE,O.P.P.,90,76,7
26/12/2004,77,GOLDIE LOOKIN CHAIN,YOUR MOTHER'S GOT A PENIS,84,14,5
26/12/2004,78,SCISSOR SISTERS,COMFORTABLY NUMB,93,10,17
