chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1960-06-09,1,THE EVERLY BROTHERS,CATHY'S CLOWN,1,1,9
1960-06-09,2,JOHNNY PRESTON,CRADLE OF LOVE,2,2,8
1960-06-09,3,EDDIE COCHRAN,THREE STEPS TO HEAVEN,3,3,5
1960-06-09,4,DUANE EDDY,SHAZAM!,9,4,7
1960-06-09,5,JIMMY JONES,HANDY MAN,7,3,13
1960-06-09,6,LONNIE DONEGAN,I WANNA GO HOME,18,6,3
1960-06-09,7,CONNIE FRANCIS,MAMA/ROBOT MAN,15,7,4
1960-06-09,8,STEVE LAWRENCE,FOOTSTEPS,6,4,8
1960-06-09,9,NEIL SEDAKA,STAIRWAY TO HEAVEN,13,9,9
1960-06-09,10,ANTHONY NEWLEY,DO YOU MIND?,8,1,12
1960-06-09,11,CLIFF RICHARD AND THE SHADOWS,FALL IN LOVE WITH YOU,11,2,12
1960-06-09,12,EMILE FORD AND THE CHECKMATES,YOU'LL NEVER KNOW WHAT YOU'RE MISSING,22,12,3
1960-06-09,13,ADAM FAITH,SOMEONE ELSE'S BABY,5,2,9
1960-06-09,14,RUSS CONWAY,LUCKY FIVE,19,14,4
1960-06-09,15,BRENDA LEE,SWEET NOTHIN'S,4,4,11
1960-06-09,16,CRAIG DOUGLAS,HEART OF A TEENAGE GIRL,10,10,7
1960-06-09,17,JIM REEVES,HE'LL HAVE TO GO,14,14,11
1960-06-09,18,FREDDIE CANNON,THE URGE,26,18,4
1960-06-09,19,CONNIE STEVENS,SIXTEEN REASONS,17,15,6
1960-06-09,20,BILLY BLAND,LET THE LITTLE GIRL DANCE,21,19,4
1960-06-09,21,BILLY FURY,THAT'S LOVE,27,21,3
1960-06-09,22,KING BROTHERS,STANDING ON THE CORNER,16,4,9
1960-06-09,23,FLEE-REKKERS,GREEN JEANS,28,23,4
1960-06-09,24,NAT 'KING' COLE,THAT'S YOU,25,24,3
1960-06-09,25,PERCY FAITH,THEME FROM 'A SUMMER PLACE',30,2,15
1960-06-09,26,ELVIS PRESLEY,STUCK ON YOU,20,3,10
1960-06-09,27,BUDDY HOLLY,TRUE LOVE WAYS,33,27,3
1960-06-09,28,FOUR PREPS,GOT A GIRL,44,28,3
1960-06-09,29,DAVE SAMPSON,SWEET DREAMS,46,29,3
1960-06-09,30,LONNIE DONEGAN,MY OLD MAN'S A DUSTMAN,24,1,12
1960-06-09,31,JOHNNY AND THE HURRICANES,BEATNIK FLY,12,8,13
1960-06-09,32,JACK SCOTT,BURNING BRIDGES,40,32,2
1960-06-09,33,CRICKETS,BABY MY HEART,38,33,3
1960-06-09,34,EDDIE BYRNES AND CONNIE STEVENS,"KOOKIE, KOOKIE (LEND ME YOUR COMB)",29,27,6
1960-06-09,35,TOMMY BRUCE AND THE BRUISERS,AIN'T MISBEHAVIN',47,35,3
1960-06-09,36,MICHAEL COX,ANGELA JONES,New,36,1
1960-06-09,37,JACK SCOTT,WHAT IN THE WORLD'S COME OVER YOU,32,11,14
1960-06-09,38,SAMMY MASTERS,ROCKING RED WING,New,38,1
1960-06-09,39,BOBBY DARIN,CLEMENTINE,35,8,11
1960-06-09,40,MAUREEN EVANS,PAPER ROSES,43,40,2
1960-06-09,41,MAX BYGRAVES,FINGS AIN'T WOT THEY USED T'BE,31,5,14
1960-06-09,42,ELLA FITZGERALD,MACK THE KNIFE,23,19,8
1960-06-09,43,BOBBY RYDELL,WILD ONE,48,7,14
1960-06-09,44,DICK JORDAN,LITTLE CHRISTINE,New,44,1
1960-06-09,45,JOHN BARRY SEVEN,HIT AND MISS,RE,10,14
1960-06-09,46,JERRY LORDAN,SING LIKE AN ANGEL,36,36,2
1960-06-09,47,JERRY LEE LEWIS,BABY BABY BYE BYE,New,47,1
1960-06-09,48,BERT WEEDON,TWELFTH STREET RAG,New,48,1
1960-06-09,49,BOB AZZAM AND HIS ORCHESTRA,MUSTAPHA,37,37,3
1960-06-09,50,MR ACKER BILK AND HIS PARAMOUNT JAZZ BAND,GOODNIGHT SWEET PRINCE,New,50,1
