chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
19/7/1981,1,THE SPECIALS,GHOST TOWN,1,1,6
19/7/1981,2,STARSOUND,STARS ON 45 (VOLUME 2),2,2,4
19/7/1981,3,BAD MANNERS,CAN CAN,3,3,5
19/7/1981,4,SPANDAU BALLET,CHANT NO.1 (I DON'T NEED THIS PRESSURE ON),18,4,2
19/7/1981,5,IMAGINATION,BODY TALK,4,4,11
19/7/1981,6,MOTORHEAD,MOTORHEAD (LIVE),6,6,3
19/7/1981,7,ABBA,LAY ALL YOUR LOVE ON ME,17,7,2
19/7/1981,8,TOM TOM CLUB,WORDY RAPPINGHOOD,7,7,6
19/7/1981,9,STEVIE WONDER,HAPPY BIRTHDAY,New,9,1
19/7/1981,10,THIRD WORLD,DANCING ON THE FLOOR (HOOKED ON LOVE),12,10,8
19/7/1981,11,KATE BUSH,SAT IN YOUR LAP,15,11,3
19/7/1981,12,BOB MARLEY & THE WAILERS,NO WOMAN NO CRY {1981},8,8,7
19/7/1981,13,MICHAEL JACKSON,ONE DAY IN YOUR LIFE,5,1,10
19/7/1981,14,RANDY CRAWFORD,YOU MIGHT NEED SOMEBODY,11,11,9
19/7/1981,15,DEPECHE MODE,NEW LIFE,19,15,7
19/7/1981,16,SHEENA EASTON,FOR YOUR EYES ONLY,21,16,5
19/7/1981,17,ODYSSEY,GOING BACK TO MY ROOTS,9,4,9
19/7/1981,18,SAXON,NEVER SURRENDER,26,18,2
19/7/1981,19,ELAINE PAIGE,MEMORY,10,6,8
19/7/1981,20,THE JACKSONS,WALK RIGHT NOW,30,20,4
19/7/1981,21,QUINCY JONES,RAZZAMATAZZ,13,11,6
19/7/1981,22,SHAKIN' STEVENS,GREEN DOOR,New,22,1
19/7/1981,23,DEXY'S MIDNIGHT RUNNERS,SHOW ME,33,23,3
19/7/1981,24,KIRSTY MACCOLL,THERE'S A GUY WORKS DOWN THE CHIP SHOP SWEARS HE'S ELVIS,14,14,7
19/7/1981,25,VISAGE,VISAGE,25,25,3
19/7/1981,26,RAINBOW,CAN'T HAPPEN HERE,20,20,6
19/7/1981,27,EVELYN KING,I'M IN LOVE,32,27,5
19/7/1981,28,REO SPEEDWAGON,TAKE IT ON THE RUN,34,28,5
19/7/1981,29,DURAN DURAN,GIRLS ON FILM,New,29,1
19/7/1981,30,TIGHT FIT,BACK TO THE SIXTIES,52,30,2
19/7/1981,31,LINX,THROW AWAY THE KEY,22,21,7
19/7/1981,32,EVASIONS,WIKKA WRAP,23,20,7
19/7/1981,33,ROYAL PHILHARMONIC ORCHESTRA,HOOKED ON CLASSICS,New,33,1
19/7/1981,34,BUCKS FIZZ,PIECE OF THE ACTION,16,12,8
19/7/1981,35,GIDEA PARK,BEACH BOY GOLD,37,35,4
19/7/1981,36,KRAFTWERK,THE MODEL/COMPUTER LOVE,39,36,3
19/7/1981,37,ULTRAVOX,ALL STOOD STILL,24,8,8
19/7/1981,38,CARL CARLTON,"SHE'S A BAD MAMA JAMA (SHE'S BUILT, SHE'S STACKED)",53,38,2
19/7/1981,39,SMOKEY ROBINSON,BEING WITH YOU,27,1,12
19/7/1981,40,KATE ROBBINS AND BEYOND,MORE THAN IN LOVE,29,2,9
19/7/1981,41,BB&Q,ON THE BEAT,62,41,2
19/7/1981,42,CHAMPAIGN,HOW 'BOUT US,28,5,12
19/7/1981,43,VOGGUE,DANCING THE NIGHT AWAY,75,43,2
19/7/1981,44,THE VAPORS,JIMMIE JONES,50,44,3
19/7/1981,45,JOE JACKSON,JUMPIN' JIVE,43,43,4
19/7/1981,46,ADAM & THE ANTS,STAND AND DELIVER,40,1,12
19/7/1981,47,RAINBOW,KILL THE KING {1981},41,41,3
19/7/1981,48,GIRLSCHOOL,C'MON LET'S GO,42,42,3
19/7/1981,49,ECHO & THE BUNNYMEN,A PROMISE,66,49,2
19/7/1981,50,SQUEEZE,TEMPTED,New,50,1
19/7/1981,51,VANGELIS,HEAVEN AND HELL (THEME FROM 'THE COSMOS'),48,48,3
19/7/1981,52,JIM STEINMAN,ROCK AND ROLL DREAMS COME THROUGH,56,52,4
19/7/1981,53,DAVE EDMUNDS AND THE STRAY CATS,THE RACE IS ON,46,34,6
19/7/1981,54,RED SOVINE,TEDDY BEAR,35,4,7
19/7/1981,55,CANDIDO,JINGO,72,55,2
19/7/1981,56,KID CREOLE AND THE COCONUTS PRESENT COATI MUNDI,ME NO POP I,38,32,7
19/7/1981,57,LOBO,THE CARIBBEAN DISCO SHOW,New,57,1
19/7/1981,58,DIANA WILLIAMS,TEDDY BEAR'S LAST RIDE,New,58,1
19/7/1981,59,999,LIL RED RIDING HOOD,73,59,2
19/7/1981,60,ROSE TATTOO,ROCK 'N' ROLL OUTLAW,63,60,3
19/7/1981,61,THE KINKS,BETTER THINGS,51,46,5
19/7/1981,62,KOOL AND THE GANG,TAKE IT TO THE TOP (CLIMBING),31,15,9
19/7/1981,63,BILL WYMAN,(SI SI) JE SUIS UN ROCK STAR,New,63,1
19/7/1981,64,THE UNDERTONES,JULIE OCEAN,New,64,1
19/7/1981,65,THE PSYCHEDELIC FURS,PRETTY IN PINK,58,43,5
19/7/1981,66,DEPARTMENT S,GOING LEFT RIGHT,55,55,3
19/7/1981,67,TOYAH,I WANT TO BE FREE,49,8,11
19/7/1981,68,EDDY GRANT,"I LOVE YOU, YES I LOVE YOU",New,68,1
19/7/1981,69,PAUL GARDINER AND GARY NUMAN,STORMTROOPER IN DRAG,New,69,1
19/7/1981,70,SHAKATAK,BRAZILIAN DAWN,New,70,1
19/7/1981,71,THE BEAT,DOORS OF YOUR HEART,44,33,6
19/7/1981,72,BARRY BIGGS,WIDE AWAKE IN A DREAM,54,44,6
19/7/1981,73,GILLAN,NO LAUGHING IN HEAVEN,60,31,6
19/7/1981,74,HAZEL O'CONNOR,WILL YOU,45,8,10
19/7/1981,75,THE BROTHERS JOHNSON,THE REAL THING,New,75,1
