chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
14/9/1980,1,KELLY MARIE,FEELS LIKE I'M IN LOVE,1,1,8
14/9/1980,2,RANDY CRAWFORD,ONE DAY I'LL FLY AWAY,4,2,4
14/9/1980,3,ELVIS PRESLEY,IT'S ONLY LOVE/BEYOND THE REEF,7,3,4
14/9/1980,4,STEVIE WONDER,MASTERBLASTER (JAMMIN'),30,4,2
14/9/1980,5,THE JAM,START,2,1,5
14/9/1980,6,HAZEL O'CONNOR,EIGHTH DAY,5,5,6
14/9/1980,7,DAVID BOWIE,ASHES TO ASHES,3,1,6
14/9/1980,8,SHEENA EASTON,MODERN GIRL,10,8,10
14/9/1980,9,CLIFF RICHARD,DREAMIN',8,8,6
14/9/1980,10,QUEEN,ANOTHER ONE BITES THE DUST,18,10,3
14/9/1980,11,SHEENA EASTON,9 TO 5,6,3,10
14/9/1980,12,MIKE BERRY,THE SUNSHINE OF YOUR SMILE,11,9,8
14/9/1980,13,THE VILLAGE PEOPLE,CAN'T STOP THE MUSIC,14,11,7
14/9/1980,14,BLACK SABBATH,PARANOID {1980},17,14,6
14/9/1980,15,BILLY JOEL,IT'S STILL ROCK AND ROLL TO ME,15,15,7
14/9/1980,16,THE CLASH,BANKROBBER,13,12,7
14/9/1980,17,THE PIRANHAS,TOM HARK,9,6,8
14/9/1980,18,GARY NUMAN,I DIE: YOU DIE,12,6,4
14/9/1980,19,SHAKIN' STEVENS,MARIE MARIE,21,19,6
14/9/1980,20,NICK STRAKER BAND,A WALK IN THE PARK,20,20,8
14/9/1980,21,MADNESS,BAGGY TROUSERS,36,21,2
14/9/1980,22,IAN DURY AND THE BLOCKHEADS,I WANT TO BE STRAIGHT,25,22,4
14/9/1980,23,SHALAMAR,I OWE YOU ONE,24,23,4
14/9/1980,24,THE BEAT,BEST FRIEND/STAND DOWN MARGARET,22,22,6
14/9/1980,25,SPLIT ENZ,I GOT YOU,27,25,6
14/9/1980,26,SPLODGENESSABOUNDS,TWO LITTLE BOYS/HORSE,40,26,3
14/9/1980,27,CHANGE,SEARCHING,38,27,3
14/9/1980,28,OTTAWAN,D.I.S.C.O.,66,28,2
14/9/1980,29,JUDAS PRIEST,UNITED,26,26,5
14/9/1980,30,ABBA,THE WINNER TAKES IT ALL,16,1,8
14/9/1980,31,THE GAP BAND,OOPS UPSIDE YOUR HEAD,19,6,11
14/9/1980,32,XTC,GENERALS AND MAJORS/DON'T LOSE YOUR TEMPER,39,32,3
14/9/1980,33,DIANA ROSS,UPSIDE DOWN,23,2,10
14/9/1980,34,ODYSSEY,IF YOU'RE LOOKIN' FOR A WAY OUT,56,34,2
