chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1983-04-03,1,DAVID BOWIE,LET'S DANCE,2,1,3
1983-04-03,2,DURAN DURAN,IS THERE SOMETHING I SHOULD KNOW?,1,1,3
1983-04-03,3,JOBOXERS,BOXERBEAT,6,3,9
1983-04-03,4,THE STYLE COUNCIL,SPEAK LIKE A CHILD,4,4,4
1983-04-03,5,EURYTHMICS,SWEET DREAMS (ARE MADE OF THIS),5,2,9
1983-04-03,6,TRACEY ULLMAN,BREAKAWAY,18,6,5
1983-04-03,7,KAJAGOOGOO,OOH TO BE AH,20,7,2
1983-04-03,8,BONNIE TYLER,TOTAL ECLIPSE OF THE HEART,3,1,8
1983-04-03,9,CULTURE CLUB,CHURCH OF THE POISON MIND,New,9,1
1983-04-03,10,KENNY EVERETT,SNOT RAP,27,10,3
1983-04-03,11,ALTERED IMAGES,DON'T TALK TO ME ABOUT LOVE,7,7,4
1983-04-03,12,ORANGE JUICE,RIP IT UP,8,8,8
1983-04-03,13,BIG COUNTRY,FIELDS OF FIRE (400 MILES),13,13,7
1983-04-03,14,NEW ORDER,BLUE MONDAY,17,14,4
1983-04-03,15,NICK HEYWARD,WHISTLE DOWN THE WIND,15,15,4
1983-04-03,16,BANANARAMA,NA NA HEY HEY KISS HIM GOODBYE,9,5,7
1983-04-03,17,FORREST,ROCK THE BOAT,10,4,7
1983-04-03,18,U2,TWO HEARTS BEAT AS ONE,24,18,2
1983-04-03,19,LEO SAYER,ORCHARD ROAD,16,16,6
1983-04-03,20,MICHAEL JACKSON,BILLIE JEAN,11,1,11
1983-04-03,21,F.R. DAVID,WORDS,39,21,3
1983-04-03,22,JOAN ARMATRADING,DROP THE PILOT,12,11,8
1983-04-03,23,TRACIE,THE HOUSE THAT JACK BUILT,38,23,3
1983-04-03,24,DEXY'S MIDNIGHT RUNNERS,THE CELTIC SOUL BROTHERS,36,24,2
1983-04-03,25,DAVID JOSEPH,YOU CAN'T HIDE (YOUR LOVE FROM ME),14,13,7
1983-04-03,26,MEZZOFORTE,GARDEN PARTY,19,17,7
1983-04-03,27,MARI WILSON,CRY ME A RIVER,30,27,4
1983-04-03,28,BUCKS FIZZ,RUN FOR YOUR LIFE,21,14,5
1983-04-03,29,TWISTED SISTER,I AM (I'M ME),32,29,3
1983-04-03,30,MICHAEL JACKSON,BEAT IT,New,30,1
1983-04-03,31,ULTRAVOX,VISIONS IN BLUE,22,15,4
1983-04-03,32,BLANCMANGE,WAVES,25,19,8
1983-04-03,33,MODERN ROMANCE,HIGH LIFE,23,8,7
1983-04-03,34,SUNFIRE,"YOUNG, FREE AND SINGLE",40,34,6
1983-04-03,35,SPANDAU BALLET,COMMUNICATION,29,12,9
1983-04-03,36,BAND A.K.A.,JOY,26,24,6
1983-04-03,37,PATTI AUSTIN AND JAMES INGRAM,BABY COME TO ME,28,11,10
1983-04-03,38,FOSTER & ALLEN,MAGGIE,33,27,10
1983-04-03,39,KISSING THE PINK,LAST FILM,44,39,8
1983-04-03,40,THE THOMPSON TWINS,LOVE ON YOUR SIDE,34,9,12
1983-04-03,41,PHIL EVERLY AND CLIFF RICHARD,SHE MEANS NOTHING TO ME,31,9,8
1983-04-03,42,BAUHAUS,SHE'S IN PARTIES,New,42,1
1983-04-03,43,CHILL FAC-TORR,TWIST (ROUND AND ROUND),51,43,2
1983-04-03,44,WAH!,HOPE (I WISH YOU'D BELIEVE ME),37,37,4
1983-04-03,45,SWEET DREAMS,I'M NEVER GIVING UP,88,45,2
1983-04-03,46,MAN PARRISH,HIP HOP BE BOP (DON'T STOP),41,41,3
1983-04-03,47,PHIL COLLINS,DON'T LET HIM STEAL YOUR HEART AWAY,45,45,4
1983-04-03,48,TOTO,AFRICA,35,3,11
1983-04-03,49,EURYTHMICS,LOVE IS A STRANGER {1984},RE,49,7
1983-04-03,50,TOTO,ROSANNA,78,50,2
1983-04-03,51,MADNESS,TOMORROW'S (JUST ANOTHER DAY)/MADNESS IS ALL IN THE MIND,43,8,8
1983-04-03,52,PETER TOSH,JOHNNY B GOODE,58,52,3
1983-04-03,53,ROBERT PALMER,YOU ARE IN MY SYSTEM,72,53,3
1983-04-03,54,KAJAGOOGOO,TOO SHY,42,1,12
1983-04-03,55,MEN AT WORK,OVERKILL,New,55,1
1983-04-03,56,JOE COCKER AND JENNIFER WARNES,UP WHERE WE BELONG,53,7,13
1983-04-03,57,MAXINE SINGLETON,YOU CAN'T RUN FROM LOVE,59,57,4
1983-04-03,58,GRACE JONES,MY JAMAICAN GUY,76,58,2
1983-04-03,59,ORCHESTRAL MANOEUVRES IN THE DARK,TELEGRAPH,New,59,1
1983-04-03,60,EDDY GRANT,LIVING ON THE FRONT LINE {1983},47,47,4
1983-04-03,61,JULIO IGLESIAS,HEY!,79,61,2
