chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1982-02-28,1,TIGHT FIT,THE LION SLEEPS TONIGHT,2,1,7
1982-02-28,2,TONI BASIL,MICKEY,11,2,5
1982-02-28,3,THE JAM,TOWN CALLED MALICE/PRECIOUS,1,1,4
1982-02-28,4,HAIRCUT 100,LOVE PLUS ONE,4,4,6
1982-02-28,5,THE J GEILS BAND,CENTERFOLD,3,3,4
1982-02-28,6,FUN BOY THREE AND BANANARAMA,IT AINT WHAT YOU DO IT'S THE WAY THAT YOU DO IT,9,6,4
1982-02-28,7,SOFT CELL,SAY HELLO WAVE GOODBYE,5,3,5
1982-02-28,8,DEPECHE MODE,SEE YOU,10,8,4
1982-02-28,9,THE STRANGLERS,GOLDEN BROWN,6,2,9
1982-02-28,10,ORCHESTRAL MANOEUVRES IN THE DARK,MAID OF ORLEANS (THE WALTZ OF JOAN OF ARC),7,4,7
1982-02-28,11,IRON MAIDEN,RUN TO THE HILLS,19,11,3
1982-02-28,12,DARYL HALL AND JOHN OATES,I CAN'T GO FOR THAT (NO CAN DO),8,8,7
1982-02-28,13,ADAM & THE ANTS,DEUTSCHER GIRLS,20,13,2
1982-02-28,14,MADNESS,CARDIAC ARREST,28,14,3
1982-02-28,15,ABC,POISON ARROW,42,15,3
1982-02-28,16,BOW WOW WOW,GO WILD IN THE COUNTRY,23,16,6
1982-02-28,17,GEORGE BENSON,NEVER GIVE UP ON A GOOD THING,18,14,7
1982-02-28,18,ADRIAN GURVITZ,CLASSIC,22,18,6
1982-02-28,19,XTC,SENSES WORKING OVERTIME,16,10,7
1982-02-28,20,STARSOUND,STARS ON 45 III (A TRIBUTE TO STEVIE WONDER),29,20,2
1982-02-28,21,MEAT LOAF,DEAD RINGER FOR LOVE,15,5,15
1982-02-28,22,CHRISTOPHER CROSS,ARTHUR'S THEME (THE BEST THAT YOU CAN DO),12,7,13
1982-02-28,23,ROBERT PALMER,SOME GUYS HAVE ALL THE LUCK,30,23,4
1982-02-28,24,ELKIE BROOKS,FOOL IF YOU THINK IT'S OVER,17,17,8
1982-02-28,25,KRAFTWERK,SHOWROOM DUMMIES,35,25,3
1982-02-28,26,THE JETS,LOVE MAKES THE WORLD GO ROUND,45,26,5
1982-02-28,27,KRAFTWERK,THE MODEL/COMPUTER LOVE,13,1,19
1982-02-28,28,MIKE POST AND LARRY CARLTON,THEME FROM 'HILL STREET BLUES',25,25,8
1982-02-28,29,SHAKIN' STEVENS,OH JULIE,14,1,8
1982-02-28,30,ABBA,HEAD OVER HEELS,34,30,3
1982-02-28,31,D TRAIN,YOU'RE THE ONE FOR ME,36,30,5
1982-02-28,32,UB40,I WON'T CLOSE MY EYES,33,32,4
1982-02-28,33,OLIVIA NEWTON-JOHN,LANDSLIDE,27,18,8
1982-02-28,34,AC/DC,LET'S GET IT UP,21,13,5
1982-02-28,35,GARY NUMAN,MUSIC FOR CHAMELEONS,New,35,1
1982-02-28,36,MOBILES,DROWNING IN BERLIN,24,9,9
1982-02-28,37,SHAKATAK,EASIER SAID THAN DONE,26,12,16
1982-02-28,38,ASSOCIATES,PARTY FEARS TWO,46,38,3
1982-02-28,39,GOOMBAY DANCE BAND,SEVEN TEARS,53,39,2
1982-02-28,40,IMAGINATION,JUST AN ILLUSION,New,40,1
1982-02-28,41,ROD STEWART,HOW LONG,62,41,2
1982-02-28,42,MODERN ROMANCE,QUEEN OF THE RAPPING SCENE (NOTHING EVER GOES THE WAY YOU PLAN),37,37,6
1982-02-28,43,FOSTER & ALLEN,A BUNCH OF THYME,56,43,2
