chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1977-05-22,1,ROD STEWART,I DON'T WANT TO TALK ABOUT IT/FIRST CUT IS THE DEEPEST,1,1,6
1977-05-22,2,JOE TEX,AIN'T GONNA BUMP NO MORE,3,2,6
1977-05-22,3,BARBRA STREISAND,A STAR IS BORN (EVERGREEN),6,3,8
1977-05-22,4,KENNY ROGERS,LUCILLE,5,4,5
1977-05-22,5,10CC,GOOD MORNING JUDGE,10,5,7
1977-05-22,6,VAN McCOY,THE SHUFFLE,4,4,8
1977-05-22,7,DENIECE WILLIAMS,FREE,2,1,9
1977-05-22,8,PIERO UMILIANI,"MAH-NA, MAH-NA",11,8,5
1977-05-22,9,MARVIN GAYE,GOT TO GIVE IT UP,12,9,4
1977-05-22,10,EAGLES,HOTEL CALIFORNIA,9,8,7
1977-05-22,11,STEVIE WONDER,SIR DUKE,8,2,8
1977-05-22,12,TAVARES,WHODUNIT,7,5,8
1977-05-22,13,"JULIE COVINGTON, RULA LENSKA, CHARLOTTE CORNWELL AND SUE JONES-DAVIES",OK,48,13,2
1977-05-22,14,PETER GABRIEL,SOLSBURY HILL,13,13,8
1977-05-22,15,LIVERPOOL FOOTBALL TEAM,WE CAN DO IT,New,15,1
1977-05-22,16,BAY CITY ROLLERS,IT'S A GAME,21,16,4
1977-05-22,17,BOZ SCAGGS,LIDO SHUFFLE,20,17,3
1977-05-22,18,THE TRAMMPS,DISCO INFERNO,23,18,3
1977-05-22,19,BLUE (SCOTTISH BAND),GONNA CAPTURE YOUR HEART,24,19,5
1977-05-22,20,BRYAN FERRY,TOKYO JOE,29,20,3
1977-05-22,21,ELKIE BROOKS,PEARL'S A SINGER,18,8,9
1977-05-22,22,THE RAMONES,SHEENA IS A PUNK ROCKER,35,22,2
1977-05-22,23,HEATWAVE,TOO HOT TO HANDLE/SLIP YOUR DISC TO THIS,19,19,4
1977-05-22,24,THE MUPPETS,HALFWAY DOWN THE STAIRS,New,24,1
1977-05-22,25,DEAD END KIDS,HAVE I THE RIGHT,14,6,10
1977-05-22,26,JOY SARNEY,NAUGHTY NAUGHTY NAUGHTY,27,26,4
1977-05-22,27,TINA CHARLES,RENDEZVOUS,34,27,3
1977-05-22,28,ELECTRIC LIGHT ORCHESTRA,TELEPHONE LINE,42,28,2
1977-05-22,29,DELEGATION,WHERE IS THE LOVE (WE USED TO KNOW),22,22,6
1977-05-22,30,SHALAMAR,UPTOWN FESTIVAL,38,30,3
1977-05-22,31,YVONNE ELLIMAN,HELLO STRANGER,26,26,4
1977-05-22,32,DEEP PURPLE,SMOKE ON THE WATER,25,21,7
1977-05-22,33,GLADYS KNIGHT AND THE PIPS,BABY DON'T CHANGE YOUR MIND,New,33,1
1977-05-22,34,BILLY PAUL,LET 'EM IN,28,26,5
1977-05-22,35,ANDREW GOLD,LONELY BOY,15,11,9
1977-05-22,36,THE STRANGLERS,PEACHES,37,36,2
1977-05-22,37,TRINIDAD OIL COMPANY,CALENDAR SONG,45,37,2
1977-05-22,38,MARTYN FORD,LET YOUR BODY GO DOWNTOWN,40,38,3
1977-05-22,39,FLEETWOOD MAC,DON'T STOP,32,32,5
1977-05-22,40,LEO SAYER,HOW MUCH LOVE,16,10,8
1977-05-22,41,GENESIS,SPOT THE PIGEON,New,41,1
1977-05-22,42,MR BIG,FEEL LIKE CALLING HOME,43,42,2
1977-05-22,43,HONKY,JOIN THE PARTY,New,43,1
1977-05-22,44,ALICE COOPER,LOVE AT YOUR CONVENIENCE,50,44,2
1977-05-22,45,CAROLE BAYER SAGER,YOU'RE MOVING OUT TODAY,New,45,1
1977-05-22,46,MARIE MYRIAM,L'OISEAU ET L'ENFANT,New,46,1
1977-05-22,47,THE JAM,IN THE CITY,41,41,4
1977-05-22,48,TEDDY PENDERGRASS,THE WHOLE TOWN'S LAUGHIN' AT ME,47,47,2
1977-05-22,49,RONI HILL,YOU KEEP ME HANGING ON / STOP! IN THE NAME OF LOVE,36,36,4
1977-05-22,50,THE MANHATTAN TRANSFER,DON'T LET GO,New,50,1
