chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1976-06-06,1,THE WURZELS,COMBINE HARVESTER,2,1,5
1976-06-06,2,WINGS,SILLY LOVE SONGS,5,2,5
1976-06-06,3,J.J. BARRIE,NO CHARGE,1,1,8
1976-06-06,4,ABBA,FERNANDO,4,1,12
1976-06-06,5,REAL THING,YOU TO ME ARE EVERYTHING,22,5,2
1976-06-06,6,ROBIN SARSTEDT,MY RESISTANCE IS LOW,3,3,6
1976-06-06,7,THE ROLLING STONES,FOOL TO CRY,6,6,7
1976-06-06,8,BELLAMY BROTHERS,LET YOUR LOVE FLOW,7,7,9
1976-06-06,9,MELBA MOORE,THIS IS IT,21,9,5
1976-06-06,10,SUTHERLAND BROTHERS AND QUIVER,ARMS OF MARY,8,5,11
1976-06-06,11,GLADYS KNIGHT AND THE PIPS,MIDNIGHT TRAIN TO GEORGIA,10,10,6
1976-06-06,12,CLIFF RICHARD,DEVIL WOMAN,9,9,6
1976-06-06,13,ROD STEWART,TONIGHT'S THE NIGHT,42,13,2
1976-06-06,14,DIANA ROSS,LOVE HANGOVER,11,10,8
1976-06-06,15,OUR KID,YOU JUST MIGHT SEE ME CRY,29,15,3
1976-06-06,16,PETER FRAMPTON,SHOW ME THE WAY,15,15,7
1976-06-06,17,DOLLY PARTON,JOLENE,18,17,5
1976-06-06,18,JAMES AND BOBBY PURIFY,I'M YOUR PUPPET,13,12,8
1976-06-06,19,GALLAGHER AND LYLE,HEART ON MY SLEEVE,19,19,4
1976-06-06,20,ANDREA TRUE CONNECTION,"MORE, MORE, MORE",14,5,9
1976-06-06,21,ARCHIE BELL AND THE DRELLS,SOUL CITY WALK,24,21,6
1976-06-06,22,MUD,SHAKE IT DOWN,12,12,5
1976-06-06,23,MISTURA FEATURING LLOYD MICHAELS,THE FLASHER FT LLOYD MICHELS,26,23,5
1976-06-06,24,THIN LIZZY,THE BOYS ARE BACK IN TOWN,37,24,3
1976-06-06,25,BROTHERHOOD OF MAN,SAVE YOUR KISSES FOR ME,20,1,14
1976-06-06,26,CANDI STATON,YOUNG HEARTS RUN FREE,34,26,3
1976-06-06,27,DION,THE WANDERER {1976},31,27,4
1976-06-06,28,LEE GARRETT,YOU'RE MY EVERYTHING,38,28,3
1976-06-06,29,HANK MIZELL,JUNGLE ROCK,23,3,13
1976-06-06,30,SLIK,REQUIEM,35,24,6
1976-06-06,31,THE FOUR SEASONS,SILVER STAR,16,3,8
1976-06-06,32,MAUREEN MCGOVERN,THE CONTINENTAL,45,32,2
1976-06-06,33,SILVER CONVENTION,GET UP AND BOOGIE,25,7,11
1976-06-06,34,BRYAN FERRY,LET'S STICK TOGETHER,New,34,1
1976-06-06,35,DAVID BOWIE,TVC 15,33,33,4
1976-06-06,36,SHOWADDYWADDY,TROCADERO,32,32,3
1976-06-06,37,BILLY PAUL,LET'S MAKE A BABY,30,30,4
1976-06-06,38,FOX,S-S-S-SINGLE BED,27,4,10
1976-06-06,39,FLINTLOCK,DAWN,43,39,3
1976-06-06,40,LINDA AND THE FUNKY BOYS,SOLD MY ROCK N' ROLL (GAVE IT FOR FUNKY SOUL),50,40,2
1976-06-06,41,JIMMY JAMES AND THE VAGABONDS,I'LL GO WHERE YOUR MUSIC TAKES ME,36,23,8
1976-06-06,42,TINA CHARLES,LOVE ME LIKE A LOVER,RE,31,4
1976-06-06,43,SHANGRI-LAS,LEADER OF THE PACK {1976},48,43,3
1976-06-06,44,DONNA SUMMER,COULD IT BE MAGIC,44,44,3
1976-06-06,45,OSIBISA,DANCE THE BODY MUSIC,49,45,2
1976-06-06,46,THE FATBACK BAND,PARTY TIME,46,46,3
1976-06-06,48,MAC AND KATIE KISSOON,THE TWO OF US,47,46,5
1976-06-06,49,JOHNNY NASH,(WHAT A) WONDERFUL WORLD,New,49,1
1976-06-06,50,TAMMY WYNETTE,I DON'T WANNA PLAY HOUSE,New,50,1
