chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2013-09-15,1,KATY PERRY,ROAR,1,1,2
2013-09-15,2,ONEREPUBLIC,COUNTING STARS,13,2,6
2013-09-15,3,ELLIE GOULDING,BURN,2,1,5
2013-09-15,4,AVICII,WAKE ME UP,3,1,9
2013-09-15,5,DRAKE FT MAJID JORDAN,HOLD ON WE'RE GOING HOME,6,5,6
2013-09-15,6,KLANGKARUSSELL FT WILL HEARD,SONNENTANZ (SUN DON'T SHINE),4,3,4
2013-09-15,7,LANA DEL REY VS CEDRIC GERVAIS,SUMMERTIME SADNESS,5,4,9
2013-09-15,8,MILEY CYRUS,WE CAN'T STOP,7,1,6
2013-09-15,9,MACKLEMORE/LEWIS/LAMBERT,SAME LOVE,20,9,3
2013-09-15,10,LADY GAGA,APPLAUSE,8,5,5
2013-09-15,11,DJ FRESH/DIPLO/DOMINIQUE YOUNG,EARTHQUAKE,10,4,4
2013-09-15,12,COLDPLAY,ATLAS,New,12,1
2013-09-15,13,EXAMPLE,ALL THE WRONG PLACES,New,13,1
2013-09-15,14,ARCTIC MONKEYS,DO I WANNA KNOW,24,11,13
2013-09-15,15,RIZZLE KICKS,LOST GENERATION,9,6,3
2013-09-15,16,LONDON GRAMMAR,STRONG,17,16,2
2013-09-15,17,JAY-Z FT JUSTIN TIMBERLAKE,HOLY GRAIL,14,7,10
2013-09-15,18,ROBIN THICKE/TI/PHARRELL,BLURRED LINES,15,1,16
2013-09-15,19,SEAN PAUL,OTHER SIDE OF LOVE,16,7,4
2013-09-15,20,ARCTIC MONKEYS,WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH,26,8,5
2013-09-15,21,ONE DIRECTION,BEST SONG EVER,18,2,8
2013-09-15,22,PASSENGER,LET HER GO,22,2,22
2013-09-15,23,JOHN NEWMAN,LOVE ME AGAIN,21,1,11
2013-09-15,24,NAUGHTY BOY FT EMELI SANDE,LIFTED,19,8,4
2013-09-15,25,BEN PEARCE,WHAT I MIGHT DO,New,25,1
2013-09-15,26,NAUGHTY BOY FT SAM SMITH,LA LA LA,25,1,17
2013-09-15,27,OLLY MURS,RIGHT PLACE RIGHT TIME,35,27,5
2013-09-15,28,BASTILLE,THINGS WE LOST IN THE FIRE,37,28,6
2013-09-15,29,LETHAL BIZZLE FT RUBY GOE,PARTY RIGHT,New,29,1
2013-09-15,30,NEON JUNGLE,TROUBLE,12,12,2
2013-09-15,31,CALVIN HARRIS FT AYAH MARAR,THINKING ABOUT YOU,27,8,10
