chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1992-10-04,1,THE SHAMEN,EBENEEZER GOODE,RE,1,5
1992-10-04,2,DR ALBAN,IT'S MY LIFE,2,2,6
1992-10-04,3,TASMIN ARCHER,SLEEPING SATELLITE,4,3,5
1992-10-04,4,BOYZ II MEN,END OF THE ROAD,6,4,6
1992-10-04,5,UNDERCOVER,BAKER STREET,3,2,9
1992-10-04,6,BIZARRE INC,I'M GONNA GET YOU FT ANGIE BROWN,17,6,2
1992-10-04,7,BOB MARLEY & THE WAILERS,IRON LION ZION,5,5,4
1992-10-04,8,LIONEL RICHIE,MY DESTINY,7,7,8
1992-10-04,9,PRINCE,MY NAME IS PRINCE,New,9,1
1992-10-04,10,MIKE OLDFIELD,SENTINEL,16,10,2
1992-10-04,11,R.E.M.,DRIVE,14,11,2
1992-10-04,12,DOCTOR SPIN,TETRIS,22,12,2
1992-10-04,13,SIMPLE MINDS,LOVE SONG/ALIVE AND KICKING,New,13,1
1992-10-04,14,SNAP!,RHYTHM IS A DANCER,10,1,15
1992-10-04,15,LUTHER VANDROSS AND JANET JACKSON,THE BEST THINGS IN LIFE ARE FREE,12,2,9
1992-10-04,16,MANIC STREET PREACHERS/FATIMA MANSIONS,THEME FROM M*A*S*H*/(EVERYTHING I DO) I DO IT FOR YOU,9,7,4
1992-10-04,17,BRIAN MAY,TOO MUCH LOVE WILL KILL YOU,8,5,6
1992-10-04,18,STEREO MC'S,CONNECTED,18,18,3
1992-10-04,19,NED'S ATOMIC DUSTBIN,NOT SLEEPING AROUND,New,19,1
1992-10-04,20,JON SECADA,JUST ANOTHER DAY,15,5,13
1992-10-04,21,THE PRODIGY,FIRE/JERICHO,11,11,3
1992-10-04,22,EAST 17,HOUSE OF LOVE,13,10,7
1992-10-04,23,TAKE THAT,A MILLION LOVE SONGS (EP),New,23,1
1992-10-04,24,BILLY RAY CYRUS,COULD'VE BEEN ME,New,24,1
1992-10-04,25,PATTY SMYTH WITH DON HENLEY,SOMETIMES LOVE JUST AIN'T ENOUGH,32,25,2
1992-10-04,26,SADE,NO ORDINARY LOVE,New,26,1
1992-10-04,27,NENEH CHERRY,MONEY LOVE,23,23,2
1992-10-04,28,DINA CARROLL,SPECIAL KIND OF LOVE,New,28,1
1992-10-04,29,STATUS QUO,ROADHOUSE MEDLEY (ANNIVERSARY WALTZ PART 25),New,29,1
1992-10-04,30,M PEOPLE,EXCITED,New,30,1
1992-10-04,31,MESSIAH FEATURING PRECIOUS WILSON,I FEEL LOVE FT PRECIOUS WILSON,19,19,3
1992-10-04,32,HOUSE OF PAIN,JUMP AROUND,New,32,1
1992-10-04,33,THE SEX PISTOLS,ANARCHY IN THE UK {1992},37,33,2
1992-10-04,34,C&C MUSIC FACTORY,KEEP IT COMIN',34,34,2
1992-10-04,35,DANIEL O'DONNELL,I JUST WANT TO DANCE WITH YOU,20,20,5
1992-10-04,36,ERMA FRANKLIN,(TAKE A LITTLE) PIECE OF MY HEART,New,36,1
1992-10-04,37,SHAKY FEATURING ROGER TAYLOR,RADIO FT ROGER TAYLOR,New,37,1
1992-10-04,38,ALL ABOUT EVE,PHASED (EP),New,38,1
1992-10-04,39,SALT-N-PEPA,START ME UP,39,39,2
1992-10-04,40,GSP,THE BANANA SONG,38,38,2
1992-10-04,41,QUIREBOYS,TRAMPS AND THIEVES,New,41,1
1992-10-04,42,THUNDER,EVERYBODY WANTS HER,New,42,1
1992-10-04,43,PEARL JAM,JEREMY,21,15,3
1992-10-04,44,BETTY BOO,I'M ON MY WAY,44,44,2
1992-10-04,45,CUD,ONCE AGAIN,New,45,1
1992-10-04,46,FELIX,DON'T YOU WANT ME,30,6,10
1992-10-04,47,PAUL WELLER,ABOVE THE CLOUDS,New,47,1
1992-10-04,48,SUEDE,METAL MICKEY,25,17,3
1992-10-04,49,CROWDED HOUSE,IT'S ONLY NATURAL,24,24,3
1992-10-04,50,CRYSTAL WATERS/SABRINA JOHNSTON,GYPSY WOMAN/PEACE (REMIXES),35,35,2
1992-10-04,51,ERIC CLAPTON,LAYLA - UNPLUGGED,45,45,2
1992-10-04,52,BOY GEORGE,THE CRYING GAME,28,22,4
1992-10-04,53,CATHERINE ZETA JONES,FOR ALL TIME,36,36,4
1992-10-04,54,INNOCENCE,ONE LOVE IN MY LIFETIME,40,40,2
1992-10-04,55,THE SUNDAYS,GOODBYE,27,27,2
1992-10-04,56,DEF LEPPARD,HAVE YOU EVER NEEDED SOMEONE SO BAD,26,16,5
1992-10-04,57,VANESSA PARADIS,BE MY BABY,New,57,1
1992-10-04,58,GARY GLITTER,AND THE LEADER ROCKS ON (MEGAMIX/MEDLEY),New,58,1
1992-10-04,59,TYRREL CORPORATION,WAKING WITH A STRANGER/ONE DAY,New,59,1
1992-10-04,60,ANNIE LENNOX,WALKING ON BROKEN GLASS,29,8,8
1992-10-04,61,BRYAN ADAMS,DO I HAVE TO SAY THE WORDS,31,30,3
