chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
11/5/2003,1,R KELLY,IGNITION REMIX,New,1,1
11/5/2003,2,BIG BROVAZ,FAVOURITE THINGS,New,2,1
11/5/2003,3,CHEEKY GIRLS,TAKE YOUR SHOES OFF,New,3,1
11/5/2003,4,TOMCRAFT,LONELINESS,1,1,2
11/5/2003,5,CRAIG DAVID FT STING,RISE & FALL,2,2,2
11/5/2003,6,GOOD CHARLOTTE,GIRLS AND BOYS,New,6,1
11/5/2003,7,BHANGRA KNIGHTS VS HUSAN,HUSAN,New,7,1
11/5/2003,8,50 CENT,IN DA CLUB,7,3,9
11/5/2003,9,BUSTED,YOU SAID NO,4,1,3
11/5/2003,10,LISA MAFFIA,ALL OVER,6,2,3
11/5/2003,11,KELLY ROWLAND,CAN'T NOBODY,5,5,2
11/5/2003,12,FEEDER,FORGET ABOUT TOMORROW,New,12,1
11/5/2003,13,RONAN KEATING,THE LONG GOODBYE,3,3,2
11/5/2003,14,DMX,X GON' GIVE IT TO YA,8,6,3
11/5/2003,15,ANDROIDS,DO IT WITH MADONNA,New,15,1
11/5/2003,16,ROOM 5 FT OLIVER CHEATHAM,MAKE LUV,9,1,7
11/5/2003,17,SNAP,RHYTHM IS A DANCER,RE,1,20
11/5/2003,18,DANDY WARHOLS,WE USED TO BE FRIENDS,New,18,1
11/5/2003,19,JUNIOR SENIOR,MOVE YOUR FEET,11,3,11
11/5/2003,20,KYM MARSH,CRY,12,2,5
11/5/2003,21,PLUMMET,DAMAGED,13,12,5
11/5/2003,22,JENNIFER LOPEZ FT LL COOL J,ALL I HAVE,17,2,9
11/5/2003,23,DEAD OR ALIVE,YOU SPIN ME ROUND,New,23,1
11/5/2003,24,ROBBIE WILLIAMS,COME UNDONE,15,4,4
11/5/2003,25,MADONNA,AMERICAN LIFE,20,2,4
11/5/2003,26,DELTA GOODREM,BORN TO TRY,19,3,9
11/5/2003,27,DAVID SNEDDON,DON'T LET GO,10,3,3
11/5/2003,28,SAFFRON HILL FT BEN ONONO,MY LOVE IS ALWAYS,New,28,1
11/5/2003,29,GARETH GATES FT THE KUMARS,SPIRIT IN THE SKY,18,1,9
11/5/2003,30,HIM,BURIED ALIVE BY LOVE,New,30,1
11/5/2003,31,GROOVE ARMADA,EASY,New,31,1
11/5/2003,32,DANIEL BEDINGFIELD,I CAN'T READ YOU,21,6,5
11/5/2003,33,MIS-TEEQ,SCANDALOUS,23,2,8
11/5/2003,34,WHITE STRIPES,7 NATION ARMY,14,7,3
11/5/2003,35,LIL' KIM FT MR CHEEKS,THE JUMP OFF,16,16,2
11/5/2003,36,BLUR,OUT OF TIME,24,5,4
11/5/2003,37,AVRIL LAVIGNE,I'M WITH YOU,27,7,8
11/5/2003,38,TERRI WALKER,CHING CHING (LOVIN' YOU STILL),New,38,1
11/5/2003,39,HELL IS FOR HEROES,RETREAT,New,39,1
11/5/2003,40,TRIPLE EIGHT,KNOCK OUT,25,8,3
11/5/2003,41,SIMPLY RED,SUNRISE,29,7,8
11/5/2003,42,WESTLIFE,TONIGHT/MISS YOU NIGHTS,34,3,7
11/5/2003,43,KILLER MIKE FT BIG BOI,A.D.I.D.A.S.,22,22,2
11/5/2003,44,JAY-Z,EXCUSE ME MISS,30,17,4
11/5/2003,45,D-SIDE,SPEECHLESS,28,9,4
11/5/2003,46,VBIRDS,VIRTUALITY,32,21,3
11/5/2003,47,NELLY FT JUSTIN TIMBERLAKE,WORK IT,67,7,10
11/5/2003,48,BLUE,U MAKE ME WANNA,41,4,8
11/5/2003,49,SERAFIN,THINGS FALL APART,New,49,1
11/5/2003,50,PURETONE,STUCK IN A GROOVE,26,26,2
11/5/2003,51,HOLDEN & THOMPSON,NOTHING,New,51,1
11/5/2003,52,ATOMIC KITTEN,LOVE DOESN'T HAVE TO HURT,39,4,6
11/5/2003,53,DANNII MINOGUE,I BEGIN TO WONDER,63,2,10
11/5/2003,54,RICHARD X VS LIBERTY X,BEING NOBODY,43,3,8
11/5/2003,55,MACY GRAY,WHEN I SEE YOU,37,26,3
11/5/2003,56,SCOOTER,WEEKEND,44,12,7
11/5/2003,57,KELLY ROWLAND,STOLE,55,2,14
11/5/2003,58,LIONEL RICHIE/ENRIQUE IGLESIAS,TO LOVE A WOMAN,35,19,4
11/5/2003,59,COLDPLAY,CLOCKS,50,9,7
11/5/2003,60,B2K FT P. DIDDY,BUMP BUMP BUMP,46,11,8
11/5/2003,61,DT8 FT ROXANNE WILDE,DESTINATION,40,23,3
11/5/2003,62,SUGABABES,SHAPE,59,11,9
11/5/2003,63,SNOOP DOGG FT PHARRELL,BEAUTIFUL,54,23,7
11/5/2003,64,JA RULE FT ASHANTI,MESMERIZE,49,12,8
11/5/2003,65,KID CREME FT CHARLISE,HYPNOTISING,31,31,2
11/5/2003,66,TATU,ALL THE THINGS SHE SAID,56,1,17
11/5/2003,67,REVELATION,JUST BE DUB TO ME,36,36,2
11/5/2003,68,DAVID SNEDDON,STOP LIVING THE LIE,58,1,17
11/5/2003,69,NIVEA,LAUNDROMAT/DON'T MESS WITH MY MAN,33,33,2
11/5/2003,70,NAS,I CAN,73,19,7
11/5/2003,71,LINKIN PARK,SOMEWHERE I BELONG,53,10,8
11/5/2003,72,MISSY ELLIOTT FT LUDACRIS,GOSSIP FOLKS,45,9,9
11/5/2003,73,GIRLS ALOUD,SOUND OF THE UNDERGROUND,71,1,21
11/5/2003,74,DJ SAMMY,THE BOYS OF SUMMER,75,2,11
11/5/2003,75,EMINEM,SING FOR THE MOMENT,60,6,10
11/5/2003,76,MARIAH CAREY FT CAM'RON,BOY (I NEED YOU),64,17,7
11/5/2003,77,DANA GLOVER,THINKING OVER,38,38,2
11/5/2003,78,BUSTA RHYMES FT MARIAH CAREY,I KNOW WHAT YOU WANT,87,78,2
11/5/2003,79,DILLINJA,THIS IS A WARNING/SUPER DJ,47,47,2
11/5/2003,80,GRIM NORTHERN SOCIAL,HONEY,New,80,1
11/5/2003,81,JOHNNY CASH,HURT/PERSONAL JESUS,42,42,2
11/5/2003,82,CLIPZ,SOUND BOY,New,82,1
11/5/2003,83,MATCHBOX TWENTY,UNWELL,New,83,1
11/5/2003,84,EMINEM,LOSE YOURSELF,81,1,23
11/5/2003,85,SINEAD QUINN,I CAN'T BREAK DOWN,52,2,13
11/5/2003,86,PAUL MADDOX FT NIKI MAK,REACH OUT,New,86,1
11/5/2003,87,MOVIELIFE,FACE OR KNEECAPS,New,87,1
11/5/2003,88,DINO LENNY VS HOUSEMARTINS,CHANGE THE WORLD,51,51,2
11/5/2003,89,REAL & RICHARDSON FT JOBABE,SUNSHINE ON A RAINY DAY,69,69,2
11/5/2003,90,DANIEL BEDINGFIELD,IF YOU'RE NOT THE ONE,82,1,23
11/5/2003,91,DARIUS,INCREDIBLE (WHAT I MEANT TO SAY),57,9,10
11/5/2003,92,MCKAY,TELL HIM,New,92,1
11/5/2003,93,AINSLIE HENDERSON,KEEP ME A SECRET,66,5,10
11/5/2003,94,SENOR COCONUT & HIS ORCHESTRA,SMOKE ON THE WATER,New,94,1
11/5/2003,95,ROOS,INSTANT MOMENTS,New,95,1
11/5/2003,96,CLIVE KING & SCOTT MARTEN,TOTAL CONFUSION,New,96,1
11/5/2003,97,HYPER-ON EXPERIENCE,LORDS OF THE NULL LINES,New,97,1
11/5/2003,98,ARMIN VAN BUUREN FT RAY WILSON,YET ANOTHER DAY,70,70,2
11/5/2003,99,PAUL JACKSON,THE PUSH,76,76,2
11/5/2003,100,CONFLICT,CARLO GIULIANI,New,100,1
