chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2003-02-02,1,TATU,ALL THE THINGS SHE SAID,44,1,3
2003-02-02,2,KELLY ROWLAND,STOLE,New,2,1
2003-02-02,3,DAVID SNEDDON,STOP LIVING THE LIE,1,1,3
2003-02-02,4,JAY-Z FT BEYONCE KNOWLES,03 BONNIE & CLYDE,2,2,2
2003-02-02,5,JURGEN VRIES FT CMC,THE OPERA SONG (BRAVE NEW WORLD),3,3,2
2003-02-02,6,BUSTED,YEAR 3000,4,2,3
2003-02-02,7,EMINEM,LOSE YOURSELF,6,1,9
2003-02-02,8,CAM'RON FT JUELZ SANTANA,HEY MA,New,8,1
2003-02-02,9,GIRLS ALOUD,SOUND OF THE UNDERGROUND,5,1,7
2003-02-02,10,PANJABI MC,MUNDIAN TO BACH KE,7,5,3
2003-02-02,11,DANIEL BEDINGFIELD,IF YOU'RE NOT THE ONE,8,1,10
2003-02-02,12,KELLY OSBOURNE,SHUT UP,New,12,1
2003-02-02,13,BEENIE MAN,STREET LIFE,New,13,1
2003-02-02,14,JAIMESON FT ANGEL BLU,TRUE,9,4,3
2003-02-02,15,ELECTRIC SIX,DANGER HIGH VOLTAGE,11,2,4
2003-02-02,16,BUSTA RHYMES FT SPLIFF STAR,MAKE IT CLAP,New,16,1
2003-02-02,17,3RD EDGE,KNOW YOU WANNA,New,17,1
2003-02-02,18,LOVE INC.,YOU'RE A SUPERSTAR,14,7,8
2003-02-02,19,CRAIG DAVID,HIDDEN AGENDA,10,10,2
2003-02-02,20,CHEEKY GIRLS,CHEEKY SONG (TOUCH MY BUM),12,2,9
2003-02-02,21,LAYO & BUSHWACKA,LOVE STORY (VS FINALLY),13,8,3
2003-02-02,22,SUPERGRASS,SEEN THE LIGHT,New,22,1
2003-02-02,23,DIVINE INSPIRATION,THE WAY (PUT YOUR HAND IN MY HAND),15,5,4
