chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1983-03-13,1,BONNIE TYLER,TOTAL ECLIPSE OF THE HEART,1,1,5
1983-03-13,2,EURYTHMICS,SWEET DREAMS (ARE MADE OF THIS),3,2,6
1983-03-13,3,MICHAEL JACKSON,BILLIE JEAN,2,1,8
1983-03-13,4,FORREST,ROCK THE BOAT,4,4,4
1983-03-13,5,BANANARAMA,NA NA HEY HEY KISS HIM GOODBYE,7,5,4
1983-03-13,6,THE STYLE COUNCIL,SPEAK LIKE A CHILD,New,6,1
1983-03-13,7,TOTO,AFRICA,5,3,8
1983-03-13,8,MODERN ROMANCE,HIGH LIFE,18,8,4
1983-03-13,9,PHIL EVERLY AND CLIFF RICHARD,SHE MEANS NOTHING TO ME,14,9,5
1983-03-13,10,ORANGE JUICE,RIP IT UP,22,10,5
1983-03-13,11,PATTI AUSTIN AND JAMES INGRAM,BABY COME TO ME,11,11,7
1983-03-13,12,THE THOMPSON TWINS,LOVE ON YOUR SIDE,9,9,9
1983-03-13,13,SPANDAU BALLET,COMMUNICATION,12,12,6
1983-03-13,14,KAJAGOOGOO,TOO SHY,6,1,9
1983-03-13,15,MADNESS,TOMORROW'S (JUST ANOTHER DAY)/MADNESS IS ALL IN THE MIND,8,8,5
1983-03-13,16,DAVID JOSEPH,YOU CAN'T HIDE (YOUR LOVE FROM ME),24,16,4
1983-03-13,17,MUSICAL YOUTH,NEVER GONNA GIVE YOU UP,10,6,6
1983-03-13,18,THE FUN BOY THREE,THE TUNNEL OF LOVE,13,10,7
1983-03-13,19,BLANCMANGE,WAVES,21,19,5
1983-03-13,20,ICEHOUSE,HEY LITTLE GIRL,17,17,8
1983-03-13,21,BUCKS FIZZ,RUN FOR YOUR LIFE,31,21,2
1983-03-13,22,ORCHESTRAL MANOEUVRES IN THE DARK,GENETIC ENGINEERING,20,20,5
1983-03-13,23,JOE COCKER AND JENNIFER WARNES,UP WHERE WE BELONG,19,7,10
1983-03-13,24,BAND A.K.A.,JOY,38,24,3
1983-03-13,25,TEARS FOR FEARS,CHANGE,16,4,7
1983-03-13,26,DEPECHE MODE,GET THE BALANCE RIGHT,15,13,6
1983-03-13,27,FOSTER & ALLEN,MAGGIE,39,27,7
1983-03-13,28,JOAN ARMATRADING,DROP THE PILOT,29,28,5
1983-03-13,29,MEZZOFORTE,GARDEN PARTY,40,29,4
1983-03-13,30,ULTRAVOX,VISIONS IN BLUE,New,30,1
1983-03-13,31,SOFT CELL,NUMBERS/BARRIERS,25,25,3
1983-03-13,32,JOBOXERS,BOXERBEAT,42,32,6
1983-03-13,33,KENNY ROGERS AND SHEENA EASTON,WE'VE GOT TONIGHT,28,28,6
1983-03-13,34,BIG COUNTRY,FIELDS OF FIRE (400 MILES),37,34,4
1983-03-13,35,LEO SAYER,ORCHARD ROAD,61,35,3
1983-03-13,36,ALTERED IMAGES,DON'T TALK TO ME ABOUT LOVE,New,36,1
1983-03-13,37,NEW ORDER,BLUE MONDAY,New,37,1
1983-03-13,38,JAPAN,ALL TOMORROW'S PARTIES,41,38,2
1983-03-13,39,WHAM!,WHAM RAP,23,8,11
1983-03-13,40,MALCOLM MCLAREN,SOWETO,33,32,4
1983-03-13,41,HAYSI FANTAYZEE,SHINY SHINY,26,16,10
1983-03-13,42,MARI WILSON,CRY ME A RIVER,New,42,1
1983-03-13,43,NICK HEYWARD,WHISTLE DOWN THE WIND,New,43,1
