chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1989-11-26,1,NEW KIDS ON THE BLOCK,YOU GOT IT (THE RIGHT STUFF),1,1,5
1989-11-26,2,LINDA RONSTADT AND AARON NEVILLE,DON'T KNOW MUCH,3,2,4
1989-11-26,3,LISA STANSFIELD,ALL AROUND THE WORLD,2,1,6
1989-11-26,4,JEFF WAYNE,EVE OF THE WAR (BEN LIEBRAND REMIX),24,4,2
1989-11-26,5,PHIL COLLINS,ANOTHER DAY IN PARADISE,4,2,5
1989-11-26,6,UB40,HOMELY GIRL,7,6,3
1989-11-26,7,KAOMA,LAMBADA,11,7,8
1989-11-26,8,THE STONE ROSES,FOOL'S GOLD/WHAT THE WORLD IS WAITING FOR,13,8,2
1989-11-26,9,BIG FUN,CAN'T SHAKE THE FEELING,27,9,2
1989-11-26,10,808 STATE,PACIFIC STATE,12,10,3
1989-11-26,11,KYLIE MINOGUE,NEVER TOO LATE,5,4,5
1989-11-26,12,INNER CITY,WHATCHA GONNA DO WITH MY LOVIN',17,12,3
1989-11-26,13,MARTIKA,I FEEL THE EARTH MOVE,9,7,8
1989-11-26,14,JIMMY SOMERVILLE WITH JUNE MILES-KINGSTON,COMMENT TE DIRE ADIEU,20,14,4
1989-11-26,15,MILLI VANILLI,GIRL I'M GONNA MISS YOU,8,2,10
1989-11-26,16,MIXMASTER,GRAND PIANO,10,9,5
1989-11-26,17,D MOB INTRODUCING CATHY DENNIS,C'MON AND GET MY LOVE,15,15,7
1989-11-26,18,JIVE BUNNY AND THE MASTERMIXERS,THAT'S WHAT I LIKE,14,1,8
1989-11-26,19,HAPPY MONDAYS,MADCHESTER RAVE ON (EP),30,19,2
1989-11-26,20,FINE YOUNG CANNIBALS,I'M NOT THE MAN I USED TO BE,21,20,3
1989-11-26,21,BOBBY BROWN,RONI,29,21,2
1989-11-26,22,REBEL MC AND DOUBLE TROUBLE,STREET TUFF,16,3,9
1989-11-26,23,GLORIA ESTEFAN,GET ON YOUR FEET,34,23,2
1989-11-26,24,MORRISSEY,"OUIJA BOARD, OUIJA BOARD",18,18,2
1989-11-26,25,IRON MAIDEN,INFINITE DREAMS (LIVE),6,6,3
1989-11-26,26,TEARS FOR FEARS,WOMAN IN CHAINS,37,26,3
1989-11-26,27,PRINCE AND SHEENA EASTON,THE ARMS OF ORION,31,27,3
1989-11-26,28,BELINDA CARLISLE,LEAVE A LIGHT ON,23,4,9
1989-11-26,29,BLACK BOX,RIDE ON TIME,26,1,17
1989-11-26,30,KATE BUSH,THIS WOMAN'S WORK,New,30,1
1989-11-26,31,LIVING IN A BOX,ROOM IN YOUR HEART,19,5,11
1989-11-26,32,ROB 'N' RAZ FEATURING LEILA K,GOT TO GET FT LEILA K,57,32,2
1989-11-26,33,TINA TURNER,I DON'T WANNA LOSE YOU,46,33,3
1989-11-26,34,DUSTY SPRINGFIELD,IN PRIVATE,New,34,1
1989-11-26,35,LUTHER VANDROSS,NEVER TOO MUCH {1989},22,13,6
1989-11-26,36,LATINO RAVE,DEEP HEAT '89,51,36,2
1989-11-26,37,CHRIS REA,THE ROAD TO HELL (PART 2),32,10,8
1989-11-26,38,EURYTHMICS,DON'T ASK ME WHY,28,25,5
1989-11-26,39,TECHNOTRONIC FEATURING FELLY,PUMP UP THE JAM FT FELLY,36,2,14
1989-11-26,40,DEBORAH HARRY,I WANT THAT MAN,25,13,9
1989-11-26,41,TONGUE 'N' CHEEK,ENCORE,45,41,2
1989-11-26,42,PAUL MCCARTNEY,FIGURE OF EIGHT,50,42,2
1989-11-26,43,WHITESNAKE,FOOL FOR YOUR LOVING {1989},New,43,1
1989-11-26,44,SKID ROW,YOUTH GONE WILD,42,42,3
1989-11-26,45,DE LA SOUL,EYE KNOW,38,14,7
1989-11-26,46,JANET JACKSON,RHYTHM NATION,33,23,5
1989-11-26,47,THE BEAUTIFUL SOUTH,I'LL SAIL THIS SHIP ALONE,New,47,1
1989-11-26,48,LONDON BOYS,MY LOVE,New,48,1
1989-11-26,49,CHER,IF I COULD TURN BACK TIME,35,6,15
1989-11-26,50,THE NEVILLE BROTHERS,WITH GOD ON OUR SIDE,65,50,3
1989-11-26,51,THE BEATMASTERS AND CLAUDIA FONTAINE,WARM LOVE,New,51,1
1989-11-26,52,IZIT,STORIES,New,52,1
1989-11-26,53,BRUNO BROOKES AND LIZ KERSHAW,IT TAKES TWO,New,53,1
1989-11-26,54,MILLI VANILLI,BLAME IT ON THE RAIN,RE,53,6
1989-11-26,55,BILLY JOEL,WE DIDN'T START THE FIRE,40,7,10
1989-11-26,56,IMPEDANCE,TAINTED LOVE,54,54,4
1989-11-26,57,ALYSON WILLIAMS,I SECOND THAT EMOTION,44,44,3
1989-11-26,58,THE SUGARHILL GANG,RAPPERS DELIGHT '89,63,58,2
1989-11-26,59,HOUSE OF LOVE,I DON'T KNOW WHY I LOVE YOU,41,41,3
1989-11-26,60,ALARM FEATURING THE MORRISON ORPHEUS MALE VOICE CHOIR,A NEW SOUTH WALES/THE ROCK FT THE MORRISON ORPHEUS MALE VOICE CHOIR,39,31,5
1989-11-26,61,BAD ENGLISH,WHEN I SEE YOU SMILE,71,61,2
