chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
20/2/2000,1,ALL SAINTS,PURE SHORES,New,1,1
20/2/2000,2,GABRIELLE,RISE,2,1,4
20/2/2000,3,CHRISTINA AGUILERA,WHAT A GIRL WANTS,86,3,6
20/2/2000,4,OASIS,GO LET IT OUT,1,1,2
20/2/2000,5,SHANIA TWAIN,DON'T BE STUPID (YOU KNOW I LOVE YOU),New,5,1
20/2/2000,6,EIFFEL 65,MOVE YOUR BODY,3,3,2
20/2/2000,7,AQUA,CARTOON HEROES,New,7,1
20/2/2000,8,SASH!,ADELANTE,4,2,3
20/2/2000,9,BRITNEY SPEARS,BORN TO MAKE YOU HAPPY,6,1,5
20/2/2000,10,REBECCA WHEATLEY,STAY WITH ME (BABY),New,10,1
20/2/2000,11,EELS,MR E'S BEAUTIFUL BLUES,New,11,1
20/2/2000,12,REM,THE GREAT BEYOND,7,3,4
20/2/2000,13,ANDREAS JOHNSON,GLORIOUS,9,4,4
20/2/2000,14,DAPHNE & CELESTE,OOH STICK YOU!,13,8,4
20/2/2000,15,CRW,I FEEL LOVE,New,15,1
20/2/2000,16,DJ LUCK & MC NEAT,A LITTLE BIT OF LUCK,10,9,10
20/2/2000,17,IAN BROWN,DOLPHINS WERE MONKEYS,5,5,2
20/2/2000,18,JAY-Z,ANYTHING,New,18,1
20/2/2000,19,FIERCE,SWEET LOVE 2K,11,3,3
20/2/2000,20,LYTE FUNKIE ONES,GIRL ON TV,14,6,4
20/2/2000,21,TAMPERER FT MAYA,HAMMER TO THE HEART,12,6,3
20/2/2000,22,BABY BUMPS,I GOT THIS FEELING,New,22,1
20/2/2000,23,DONELL JONES,U KNOW WHAT'S UP,15,2,6
20/2/2000,24,JOEY NEGRO FT TAKA BOOM,MUST BE THE MUSIC,8,8,2
20/2/2000,25,AIR/GORDON TRACKS,PLAYGROUND LOVE,New,25,1
20/2/2000,26,STARPARTY,I'M IN LOVE,New,26,1
20/2/2000,27,NU GENERATION,IN YOUR ARMS (RESCUE ME),17,8,5
20/2/2000,28,Q-TIP,BREATHE AND STOP,18,12,3
20/2/2000,29,ARTFUL DODGER FT CRAIG DAVID,RE-REWIND THE CROWD SAY BO SELECTA,21,2,12
20/2/2000,30,HEPBURN,DEEP DEEP DOWN,16,16,2
20/2/2000,31,SISQO,GOT TO GET IT,19,14,3
20/2/2000,32,LEN,STEAL MY SUNSHINE,22,8,11
20/2/2000,33,FIONA APPLE,FAST AS YOU CAN,New,33,1
20/2/2000,34,ALICE DEEJAY,BACK IN MY LIFE,25,4,13
20/2/2000,35,SCANTY SANDWICH,BECAUSE OF YOU,23,3,5
20/2/2000,36,STING FT CHEB MAMI,DESERT ROSE,27,15,5
20/2/2000,37,WESTLIFE,I HAVE A DREAM/SEASONS IN THE SUN,31,1,10
20/2/2000,38,VENGABOYS,KISS (WHEN THE SUN DON'T SHINE),32,3,11
20/2/2000,39,DEATH IN VEGAS,AISHA,20,9,3
20/2/2000,40,JEAN MICHEL JARRE FT NATACHA..,C'EST LA VIE,New,40,1
20/2/2000,41,PHAROAHE MONCH,SIMON SAYS,24,24,2
20/2/2000,42,WILLIAM ORBIT,BARBER'S ADAGIO FOR STRINGS,34,4,11
20/2/2000,43,R KELLY,IF I COULD TURN BACK THE HANDS OF TIME,30,2,22
20/2/2000,44,STEPS,SAY YOU'LL BE MINE/BETTER THE DEVIL..,38,4,10
20/2/2000,45,JOHN LENNON,IMAGINE,45,1,34
20/2/2000,46,DES MITCHELL,(WELCOME) TO THE DANCE,29,5,5
20/2/2000,47,HI-GATE,PITCHIN' (IN EVERY DIRECTION),28,6,5
20/2/2000,48,S CLUB 7,TWO IN A MILLION/YOU'RE MY NUMBER ONE,33,2,10
20/2/2000,49,WAMDUE PROJECT,KING OF MY CASTLE,47,1,14
20/2/2000,50,NOTORIOUS B.I.G. FT PUFF DADDY,NOTORIOUS B.I.G.,36,16,4
20/2/2000,51,ROBBIE WILLIAMS,SHE'S THE ONE/IT'S ONLY US,39,1,15
20/2/2000,52,KELIS,CAUGHT OUT THERE,77,52,3
20/2/2000,53,SIMPLY RED,YOUR EYES,26,26,2
20/2/2000,54,CLIFF RICHARD,THE MILLENNIUM PRAYER,51,1,14
20/2/2000,55,MACY GRAY,I TRY,43,6,21
20/2/2000,56,MARTINE MCCUTCHEON,TALKING IN YOUR SLEEP/LOVE ME,40,6,13
20/2/2000,57,MINT ROYALE FT LAUREN LAVERNE,DON'T FALTER,37,15,4
20/2/2000,58,CUBAN BOYS,COGNOSCENTI VS INTELLIGENTSIA,64,4,10
20/2/2000,59,ARMIN,COMMUNICATION,35,18,3
20/2/2000,60,MEEKER,SAVE ME,New,60,1
20/2/2000,61,Z2,I WANT YOU,New,61,1
20/2/2000,62,BOYZONE,EVERY DAY I LOVE YOU,59,3,13
20/2/2000,63,FIVE,KEEP ON MOVIN',60,1,17
20/2/2000,64,TINA TURNER,WHATEVER YOU NEED,41,27,3
20/2/2000,65,ARTIST,THE GREATEST ROMANCE EVER SOLD,New,65,1
20/2/2000,66,BACKSTREET BOYS,SHOW ME THE MEANING OF BEING LONELY,94,66,4
20/2/2000,67,EURYTHMICS,17 AGAIN,52,27,4
20/2/2000,68,KAWALA,HUMANISTIC,New,68,1
20/2/2000,69,AURORA,HEAR YOU CALLING,42,17,4
20/2/2000,70,BOB MARLEY VS FUNKSTAR DE LUXE,RAINBOW COUNTRY,61,11,6
20/2/2000,71,VARIOUS ARTISTS,IT'S ONLY ROCK 'N' ROLL,82,19,10
20/2/2000,72,SIX CHIX,ONLY THE WOMEN KNOW,New,72,1
20/2/2000,73,MANIC STREET PREACHERS,THE MASSES AGAINST THE CLASSES,57,1,6
20/2/2000,74,SPACE BROTHERS,SHINE 2000,46,18,4
20/2/2000,75,LOVESTATION,TEARDROPS,49,24,4
20/2/2000,76,GOO GOO DOLLS,BLACK BALLOON,New,76,1
20/2/2000,77,BELLATRIX,THE GIRL WITH THE SPARKLING EYES,New,77,1
20/2/2000,78,PUFF DADDY FT R KELLY,SATISFY YOU,73,73,2
20/2/2000,79,OLIVER LIEB,SUBRAUMSTIMULATION,New,79,1
20/2/2000,80,A1,EVERYTIME/READY OR NOT,RE,3,12
20/2/2000,81,THUNDERBUGS,IT'S ABOUT TIME YOU WERE MINE,RE,43,8
20/2/2000,82,TEN BENSON,ROBOT TOURIST,New,82,1
20/2/2000,83,PESHAY FT KYM MAZELLE,TRULY,55,55,2
20/2/2000,84,TWIN SISTER,SHANIA TWAIN MEDLEY/TRIBUTE,New,84,1
20/2/2000,85,MARIO PIU,COMMUNICATION (SOMEBODY ANSWER THE...),81,5,12
20/2/2000,86,QUEEN & DAVID BOWIE,UNDER PRESSURE,98,14,9
20/2/2000,87,A TEENS,SUPER TROUPER,RE,21,8
20/2/2000,88,CHARLOTTE CHURCH,JUST WAVE HELLO,RE,31,8
20/2/2000,89,JON THE DENTIST,RHYTHM THE REBEL,New,89,1
20/2/2000,90,MADISON AVENUE,DON'T CALL ME BABY,70,30,14
20/2/2000,91,AIDA,FAR AND AWAY,58,58,2
20/2/2000,92,HARDKNOX,COME IN HARD (DON'T LIKE ROCK & ROLL),New,92,1
20/2/2000,93,MY LIFE STORY,WALK/DON'T WALK,48,48,2
20/2/2000,94,STEPS,AFTER THE LOVE HAS GONE,RE,5,12
20/2/2000,95,DANIEL O'DONNELL,A CHRISTMAS KISS,RE,20,7
20/2/2000,96,SUPAKINGS,BACK & FORTH,New,96,1
20/2/2000,97,SOUL UNIQUE,BE MY FRIEND,53,53,2
20/2/2000,98,CASPAR POUND FT PLAVKA,FEVER CALLED LOVE,New,98,1
20/2/2000,99,TOM JONES & CERYS,"BABY, IT'S COLD OUTSIDE",RE,17,8
20/2/2000,100,CLEARLAKE,WINTERLIGHT,91,91,2
