chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
10/10/1993,1,TAKE THAT FEATURING LULU,RELIGHT MY FIRE,1,1,2
10/10/1993,2,MEAT LOAF,I'D DO ANYTHING FOR LOVE (BUT I WON'T DO THAT),8,2,2
10/10/1993,3,DJ JAZZY JEFF AND THE FRESH PRINCE,BOOM! SHAKE THE ROOM,2,1,6
10/10/1993,4,CHAKA DEMUS AND PLIERS,SHE DON'T LET NOBODY,4,4,5
10/10/1993,5,M PEOPLE,MOVING ON UP,3,2,4
10/10/1993,6,HADDAWAY,LIFE,6,6,4
10/10/1993,7,ETERNAL,STAY,10,7,3
10/10/1993,8,FRANKIE GOES TO HOLLYWOOD,RELAX {1993},5,1,66
10/10/1993,9,IRON MAIDEN,HALLOWED BE THY NAME,New,9,1
10/10/1993,10,PET SHOP BOYS,GO WEST,7,2,5
10/10/1993,11,BON JOVI,I BELIEVE,18,11,3
10/10/1993,12,THE PRODIGY,ONE LOVE,New,12,1
10/10/1993,13,CULTURE BEAT,MR. VAIN,9,1,11
10/10/1993,14,THE LEMONHEADS,INTO YOUR ARMS,New,14,1
10/10/1993,15,GABRIELLE,GOING NOWHERE,11,9,3
10/10/1993,16,SWV,RIGHT HERE,12,3,8
10/10/1993,17,PRINCE,PEACH,New,17,1
10/10/1993,18,STAKKA BO,HERE WE GO,13,13,4
10/10/1993,19,DINA CARROLL,DON'T BE A STRANGER,New,19,1
10/10/1993,20,DIANA ROSS,CHAIN REACTION {1993},20,20,2
10/10/1993,21,PAUL YOUNG,NOW I KNOW WHAT MADE OTIS BLUE,14,14,4
10/10/1993,22,ROXETTE,IT MUST HAVE BEEN LOVE {1993},15,10,5
10/10/1993,23,GO WEST,TRACKS OF MY TEARS,16,16,3
10/10/1993,24,ONE DOVE,BREAKDOWN,New,24,1
10/10/1993,25,STAXX,JOY,27,25,3
10/10/1993,26,BLUR,SUNDAY SUNDAY,New,26,1
10/10/1993,27,POP WILL EAT ITSELF,RSVP/FAMILIUS HORRIBILUS,New,27,1
10/10/1993,28,BELINDA CARLISLE,BIG SCARY ANIMAL,17,12,4
10/10/1993,29,CROWDED HOUSE,DISTANT SUN,19,19,3
10/10/1993,30,SPECIAL AKA/MADNESS/SELECTER/BEAT,THE 2 TONE (EP),30,30,2
10/10/1993,31,SALT-N-PEPA,SHOOP,29,29,2
10/10/1993,32,X-PRESS 2,SAY WHAT!,New,32,1
10/10/1993,33,D:REAM,STAR/I LIKE IT,26,26,3
10/10/1993,34,US3 FEATURING RASHAAN,CANTALOOP FT RASHAAN,25,23,4
10/10/1993,35,BITTY MCLEAN,IT KEEPS RAININ' (TEARS FROM MY EYES),24,2,12
10/10/1993,36,CYPRESS HILL,WHEN THE SHIT GOES DOWN,21,19,3
10/10/1993,37,RADIOHEAD,CREEP,23,7,5
10/10/1993,38,BILLY JOEL,THE RIVER OF DREAMS,22,3,12
10/10/1993,39,EN VOGUE,RUNAWAY LOVE,36,36,2
10/10/1993,40,CARTER THE UNSTOPPABLE SEX MACHINE,LENNY AND TERENCE,New,40,1
10/10/1993,41,FREAK POWER,"TURN ON, TUNE IN, COP OUT",New,41,1
10/10/1993,42,SHARA NELSON,ONE GOODBYE IN TEN,33,21,5
10/10/1993,43,MARIAH CAREY,DREAMLOVER,34,9,9
10/10/1993,44,ALISON MOYET,FALLING,New,44,1
10/10/1993,45,GOODMEN,GIVE IT UP {1993 RE-RELEASE},56,23,7
10/10/1993,46,WORLDS APART,EVERLASTING LOVE,28,20,4
10/10/1993,47,THE SPIN DOCTORS,JIMMY OLSEN'S BLUES,40,40,2
10/10/1993,48,FREDDIE MERCURY,LIVING ON MY OWN {1993},39,1,12
10/10/1993,49,SILK,BABY IT'S YOU,44,44,2
10/10/1993,50,JON SECADA,I'M FREE,New,50,1
10/10/1993,51,BAD BOYS INC,WHENEVER YOU NEED SOMEONE,31,26,3
10/10/1993,52,WORLD PARTY,ALL I GAVE,37,37,3
10/10/1993,53,4 NON BLONDES,SPACEMAN,New,53,1
10/10/1993,54,THE WONDER STUFF,ON THE ROPES (EP),32,10,4
10/10/1993,55,ASWAD,DANCEHALL MOOD,48,48,2
10/10/1993,56,URBAN COOKIE COLLECTIVE,THE KEY THE SECRET,42,2,15
10/10/1993,57,MANIC STREET PREACHERS,ROSES IN THE HOSPITAL,35,15,3
10/10/1993,58,NICK HEYWARD,HE DOESN'T LOVE YOU LIKE I DO,New,58,1
10/10/1993,59,MISTY OLDLAND,GOT ME A FEELING,New,59,1
10/10/1993,60,KATE BUSH,RUBBERBAND GIRL,50,12,5
10/10/1993,61,URGE OVERKILL,POSITIVE BLEEDING,New,61,1
10/10/1993,62,THE CATHERINE WHEEL,SHOW ME MARY,New,62,1
10/10/1993,63,DANNII MINOGUE,THIS IS THE WAY,38,27,3
10/10/1993,64,2 UNLIMITED,FACES,41,8,7
10/10/1993,65,APACHE INDIAN,NUFF VIBES EP,47,5,10
10/10/1993,66,BEVERLEY CRAVEN,LOVE SCENES,53,34,4
10/10/1993,67,JADE,ONE WOMAN,49,22,5
10/10/1993,68,DEPECHE MODE,CONDEMNATION (EP),43,9,4
10/10/1993,69,BLAGGERS ITA,OXYGEN,51,51,2
10/10/1993,70,MIKE OLDFIELD,MOONLIGHT SHADOW {1993},52,52,2
10/10/1993,71,UB40,HIGHER GROUND,46,8,9
10/10/1993,72,CLIFF RICHARD,NEVER LET GO,45,32,3
10/10/1993,73,B-TRIBE,FIESTA FATAL!,64,64,4
10/10/1993,74,SABRES OF PARADISE,SMOKEBELCH II,55,55,3
10/10/1993,75,BELL BIV DEVOE,SOMETHING IN YOUR EYES,60,60,2
