chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1987-08-23,1,RICK ASTLEY,NEVER GONNA GIVE YOU UP,3,1,4
1987-08-23,2,THE PET SHOP BOYS AND DUSTY SPRINGFIELD,WHAT HAVE I DONE TO DESERVE THIS,10,2,2
1987-08-23,3,MICHAEL JACKSON WITH SIEDAH GARRETT,I JUST CAN'T STOP LOVING YOU,1,1,4
1987-08-23,4,SINITTA,TOY BOY,4,4,6
1987-08-23,5,SPAGNA,CALL ME,2,2,8
1987-08-23,6,WET WET WET,SWEET LITTLE MYSTERY,9,6,6
1987-08-23,7,NEW ORDER,TRUE FAITH,5,4,5
1987-08-23,8,PSEUDO ECHO,FUNKY TOWN,11,8,7
1987-08-23,9,DEF LEPPARD,ANIMAL,6,6,5
1987-08-23,10,LINDA RONSTADT AND JAMES INGRAM,SOMEWHERE OUT THERE,8,8,8
1987-08-23,11,FIVE STAR,WHENEVER YOU'RE READY,18,11,2
1987-08-23,12,WAX,BRIDGE TO YOUR HEART,20,12,7
1987-08-23,13,PRINCE,U GOT THE LOOK,19,13,3
1987-08-23,14,WHITNEY HOUSTON,DIDN'T WE ALMOST HAVE IT ALL,22,14,2
1987-08-23,15,LOS LOBOS,LA BAMBA,7,1,7
1987-08-23,16,THE SMITHS,GIRLFRIEND IN A COMA,13,13,2
1987-08-23,17,HUE AND CRY,LABOUR OF LOVE,12,6,12
1987-08-23,18,BLACK,WONDERFUL LIFE {1987},33,18,2
1987-08-23,19,THE FAT BOYS AND THE BEACH BOYS,WIPEOUT,41,19,2
1987-08-23,20,MADONNA,WHO'S THAT GIRL,15,1,7
1987-08-23,21,STOCK AITKEN WATERMAN,ROADBLOCK,16,13,6
1987-08-23,22,CLIFF RICHARD,SOME PEOPLE,New,22,1
1987-08-23,23,THEN JERICO,THE MOTIVE,35,23,7
1987-08-23,24,HEART,ALONE,14,3,14
1987-08-23,25,SHERRICK,JUST CALL,23,23,5
1987-08-23,26,BON JOVI,NEVER SAY GOODBYE,21,21,3
1987-08-23,27,ATLANTIC STARR,ALWAYS,17,3,14
1987-08-23,28,T'PAU,HEART AND SOUL,44,28,5
1987-08-23,29,METALLICA,THE $5.98 EP-GARAGE DAYS REVISITED,27,27,2
1987-08-23,30,THE CULT,WILD FLOWER,24,24,3
1987-08-23,31,THE TEMPTATIONS,PAPA WAS A ROLLING STONE,40,31,3
1987-08-23,32,KIM WILDE,SAY YOU REALLY WANT ME,29,29,4
1987-08-23,33,THE JESUS AND MARY CHAIN,HAPPY WHEN IT RAINS,25,25,3
1987-08-23,34,LEVERT,CASANOVA,55,34,2
1987-08-23,35,SQUEEZE,HOURGLASS,43,35,4
1987-08-23,36,BOOGIE BOX HIGH,JIVE TALKIN',26,7,9
1987-08-23,37,BANANARAMA,I HEARD A RUMOUR,28,14,8
1987-08-23,38,LUTHER VANDROSS,I REALLY DIDN'T MEAN IT,31,16,10
1987-08-23,39,MOTLEY CRUE,GIRLS GIRLS GIRLS,30,26,5
1987-08-23,40,BRUCE WILLIS,UNDER THE BOARDWALK,36,2,14
1987-08-23,41,FREDDIE MCGREGOR,JUST DON'T WANT TO BE LONELY,32,9,11
1987-08-23,42,BEASTIE BOYS,SHE'S ON IT,39,10,7
1987-08-23,43,PET SHOP BOYS,IT'S A SIN,38,1,10
1987-08-23,44,DANNY WILSON,MARY'S PRAYER,66,44,6
1987-08-23,45,MEL AND KIM,F.L.M.,37,7,8
1987-08-23,46,JONATHAN BUTLER,LIES,49,46,5
1987-08-23,47,PUBLIC IMAGE LIMITED,SEATTLE,47,47,2
1987-08-23,48,CHRIS REA,LOVING YOU AGAIN,New,48,1
1987-08-23,49,SAMANTHA FOX,I SURRENDER (TO THE SPIRIT OF THE NIGHT),34,25,6
1987-08-23,50,JOHNNY HATES JAZZ,I DON'T WANT TO BE A HERO,New,50,1
1987-08-23,51,A-HA,THE LIVING DAYLIGHTS,52,5,9
1987-08-23,52,PRETENDERS FOR 007,IF THERE WAS A MAN,60,52,3
1987-08-23,53,NATALIE COLE,JUMP START,56,53,5
1987-08-23,54,YELLO AND SHIRLEY BASSEY,THE RHYTHM DIVINE,64,54,3
1987-08-23,55,JOHNNY LOGAN,I'M NOT IN LOVE,62,55,2
1987-08-23,56,ELVIS PRESLEY,LOVE ME TENDER {1987},73,56,2
1987-08-23,57,TERENCE TRENT D'ARBY,WISHING WELL,45,4,11
1987-08-23,58,JUDY BOUCHER,YOU CAUGHT MY EYE,42,18,9
1987-08-23,59,DAVID BOWIE,NEVER LET ME DOWN,New,59,1
1987-08-23,60,W.A.S.P.,SCREAM UNTIL YOU LIKE IT,New,60,1
1987-08-23,61,GARY MOORE,THE LONER,New,61,1
1987-08-23,62,WHITNEY HOUSTON,I WANNA DANCE WITH SOMEBODY (WHO LOVES ME),50,1,15
1987-08-23,64,STEVE WALSH,I FOUND LOVIN',RE,64,5
1987-08-23,65,SYBIL,MY LOVE IS GUARANTEED,New,65,1
1987-08-23,66,WAS (NOT WAS),SPY IN THE HOUSE OF LOVE,57,51,7
1987-08-23,67,SHAKIN' STEVENS,A LITTLE BOOGIE WOOGIE (IN THE BACK OF MY MIND),48,12,10
1987-08-23,68,THE GAP BAND,OOPS UPSIDE YOUR HEAD {1987},46,20,8
1987-08-23,69,BLACK,SWEETEST SMILE,59,8,10
1987-08-23,70,DIONNE WARWICK AND JEFFREY OSBOURNE,LOVE POWER,63,63,4
1987-08-23,71,DYNAMIX II FEATURING TOO TOUGH TEE,JUST GIVE THE DJ A BREAK FT TOO TOUGH TEE,54,50,4
1987-08-23,72,THIS WAY UP,TELL ME WHY,74,72,4
