chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1981-05-03,1,ADAM & THE ANTS,STAND AND DELIVER,New,1,1
1981-05-03,2,STAR SOUND,STARS ON 45,3,2,4
1981-05-03,3,ENNIO MORRICONE,CHI MAI (THEME FROM 'LIFE AND TIMES OF DAVID LLOYD GEORGE'),2,2,5
1981-05-03,4,BUCKS FIZZ,MAKING YOUR MIND UP,1,1,7
1981-05-03,5,SHAKIN' STEVENS,YOU DRIVE ME CRAZY,39,5,2
1981-05-03,6,MADNESS,GREY DAY,5,5,3
1981-05-03,7,SUGAR MINOTT,GOOD THING GOING (WE'VE GOT A GOOD THING GOING),4,4,7
1981-05-03,8,THE JACKSONS,CAN YOU FEEL IT,6,6,11
1981-05-03,9,THE NOLANS,ATTENTION TO ME,12,9,9
1981-05-03,10,SPANDAU BALLET,MUSCLE BOUND/GLOW,13,10,6
1981-05-03,11,GRAHAM BONNET,NIGHT GAMES,8,6,8
1981-05-03,12,KEITH MARSHALL,ONLY CRYING,14,12,6
1981-05-03,13,EDDY GRANT,CAN'T GET ENOUGH OF YOU,18,13,6
1981-05-03,14,THE WHISPERS,IT'S A LOVE THING,11,9,9
1981-05-03,15,BARRY MANILOW,BERMUDA TRIANGLE,26,15,5
1981-05-03,16,SAXON,AND THE BANDS PLAYED ON,15,12,5
1981-05-03,17,WHITESNAKE,DON'T BREAK MY HEART AGAIN,25,17,5
1981-05-03,18,BAD MANNERS,JUST A FEELING,16,13,7
1981-05-03,19,SHAKIN' STEVENS,THIS OLE HOUSE,7,1,11
1981-05-03,20,LANDSCAPE,EINSTEIN A GO-GO,9,5,11
1981-05-03,21,REO SPEEDWAGON,KEEP ON LOVING YOU,29,21,5
1981-05-03,22,TENPOLE TUDOR,SWORDS OF A THOUSAND MEN,37,22,3
1981-05-03,23,GILLAN,NEW ORLEANS,17,17,8
1981-05-03,24,QUINCY JONES,AL NO CORRIDA (I-NO-KO-REE-DA),27,24,5
1981-05-03,25,STEVIE WONDER,LATELY,10,3,10
1981-05-03,26,THE STRAY CATS,STRAY CAT STRUT,31,26,3
1981-05-03,27,SHEENA EASTON,WHEN HE SHINES,42,27,2
1981-05-03,28,THIN LIZZY,KILLERS LIVE (EP),46,28,2
1981-05-03,29,DEPARTMENT S,IS VIC THERE?,28,28,6
1981-05-03,30,THE TEARDROP EXPLODES,TREASON (IT'S JUST A STORY),56,30,2
1981-05-03,31,THE BEAT,DROWNING/ALL OUT TO GET YOU,22,22,4
1981-05-03,32,KIM WILDE,CHEQUERED LOVE,New,32,1
1981-05-03,33,HAZEL O'CONNOR,D-DAYS,20,10,8
1981-05-03,34,THE HUMAN LEAGUE,THE SOUND OF THE CROWD,53,34,2
1981-05-03,35,PUBLIC IMAGE LIMITED,FLOWERS OF ROMANCE,24,24,6
1981-05-03,36,THE UNDERTONES,IT'S GOING TO HAPPEN,61,36,2
1981-05-03,37,SHALAMAR,MAKE THAT MOVE,30,30,7
1981-05-03,38,THE CLASH,THE MAGNIFICENT SEVEN,34,34,3
1981-05-03,39,LEVEL 42,LOVE GAMES,38,38,4
1981-05-03,40,LINX,INTUITION,19,7,10
1981-05-03,41,GIRLSCHOOL,HIT AND RUN,32,32,5
1981-05-03,42,FREEEZ,FLYING HIGH,35,35,4
1981-05-03,43,KIM WILDE,KIDS IN AMERICA,23,2,12
1981-05-03,44,THE SHADOWS,THE THIRD MAN,68,44,2
1981-05-03,45,TOTTENHAM HOTSPUR F.A. CUP FINAL SQUAD,OSSIE'S DREAM (SPURS ARE ON THEIR WAY TO WEMBLEY),New,45,1
1981-05-03,46,DAVE STEWART WITH COLIN BLUNSTONE,WHAT BECOMES OF THE BROKEN HEARTED,21,13,9
1981-05-03,47,ELVIS PRESLEY,LOVING ARMS,55,47,4
1981-05-03,48,JUICE NEWTON,ANGEL OF THE MORNING,75,48,2
1981-05-03,49,ROGER TAYLOR,FUTURE MANAGEMENT,49,49,4
1981-05-03,50,BILL HALEY AND HIS COMETS,HALEY'S GOLDEN MEDLEY,57,50,3
1981-05-03,51,KIM CARNES,BETTE DAVIS EYES,New,51,1
1981-05-03,52,THE GAP BAND,HUMPIN',36,36,5
