chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2002-09-22,1,PINK,JUST LIKE A PILL,New,1,1
2002-09-22,2,ATOMIC KITTEN,THE TIDE IS HIGH (GET THE FEELING),1,1,4
2002-09-22,3,BUSTED,WHAT I GO TO SCHOOL FOR,New,3,1
2002-09-22,4,EMINEM,CLEANIN' OUT MY CLOSET,New,4,1
2002-09-22,5,BON JOVI,EVERYDAY,New,5,1
2002-09-22,6,LIBERTY X,GOT TO HAVE YOUR LOVE,2,2,2
2002-09-22,7,AQUALUNG,STRANGE AND BEAUTIFUL,New,7,1
2002-09-22,8,SCOOTER,NESSAJA,4,4,5
2002-09-22,9,BEENIE MAN FT JANET,FEEL IT BOY,New,9,1
2002-09-22,10,OXIDE & NEUTRINO FT KOWDEAN,DEM GIRLZ (I DON'T KNOW WHY),New,10,1
2002-09-22,11,KELLY OSBOURNE,PAPA DON'T PREACH,3,3,2
2002-09-22,12,SARAH WHATMORE,WHEN I LOST YOU,6,6,2
2002-09-22,13,SUPERGRASS,GRACE,New,13,1
2002-09-22,14,PUDDLE OF MUDD,SHE HATES ME,New,14,1
2002-09-22,15,SUGABABES,ROUND ROUND,7,1,6
2002-09-22,16,SUEDE,POSITIVITY,New,16,1
2002-09-22,17,TRUTH HURTS FT RAKIM,ADDICTIVE,9,3,5
2002-09-22,18,RONAN KEATING,I LOVE IT WHEN WE DO,5,5,2
2002-09-22,19,APPLETON,FANTASY,8,2,3
2002-09-22,20,DAVID BOWIE,EVERYONE SAYS HI,New,20,1
2002-09-22,21,MILK INC,WALK ON WATER,10,10,2
2002-09-22,22,MS DYNAMITE,DY-NA-MI-TEE,17,5,4
2002-09-22,23,VANESSA CARLTON,A THOUSAND MILES,18,6,9
2002-09-22,24,BLAZIN' SQUAD,CROSSROADS,12,1,5
2002-09-22,25,DARIUS,COLOURBLIND,14,1,8
2002-09-22,26,SHAKIRA,UNDERNEATH YOUR CLOTHES,19,3,14
2002-09-22,27,NORE,NOTHIN',11,11,2
2002-09-22,28,OAKENFOLD,STARRY EYED SURPRISE,16,6,5
2002-09-22,29,N-TRANCE,FOREVER,13,6,3
2002-09-22,30,MADHOUSE,LIKE A PRAYER,15,3,11
2002-09-22,31,DISTURBED,PRAYER,New,31,1
2002-09-22,32,ABS,WHAT YOU GOT,20,4,5
2002-09-22,33,ROMEO,ROMEO DUNN,21,3,6
2002-09-22,34,TWEENIES,HAVE FUN GO MAD,24,20,3
2002-09-22,35,P. DIDDY/USHER,I NEED A GIRL/U DON'T HAVE TO CALL,29,6,7
2002-09-22,36,GARETH GATES,ANYONE OF US (STUPID MISTAKE),26,1,11
2002-09-22,37,RYAN ADAMS,NUCLEAR,New,37,1
2002-09-22,38,HUNDRED REASONS,FALTER,New,38,1
2002-09-22,39,NICKELBACK,TOO BAD,23,9,4
2002-09-22,40,ENRIQUE IGLESIAS,LOVE TO SEE YOU CRY,28,12,4
2002-09-22,41,S CLUB JUNIORS,AUTOMATIC HIGH,35,2,9
2002-09-22,42,JURGEN VRIES,THE THEME,22,13,3
2002-09-22,43,INME,FIREFLY,New,43,1
2002-09-22,44,SOLAR STONE,7 CITIES,New,44,1
2002-09-22,45,COLDPLAY,IN MY PLACE,45,2,7
2002-09-22,46,BLACK REBEL MOTORCYCLE CLUB,WHATEVER HAPPENED TO MY ROCK AND ROLL,New,46,1
2002-09-22,47,SEAN PAUL,GIMME THE LIGHT,32,32,2
2002-09-22,48,DANIEL BEDINGFIELD,JAMES DEAN (I WANNA KNOW),34,4,6
