chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1972-06-18,1,DON MCLEAN,VINCENT,1,1,7
1972-06-18,2,SLADE,TAKE ME BAK 'OME,3,2,4
1972-06-18,3,MICHAEL JACKSON,ROCKIN' ROBIN,5,3,6
1972-06-18,4,T. REX,METAL GURU,2,1,7
1972-06-18,5,THE DRIFTERS,AT THE CLUB/SATURDAY NIGHT AT THE MOVIES {1972},4,3,13
1972-06-18,6,GARY GLITTER,ROCK AND ROLL PARTS 1 AND 2,21,6,3
1972-06-18,7,THE MOVE,CALIFORNIA MAN,7,7,7
1972-06-18,8,THE SWEET,LITTLE WILLY,23,8,3
1972-06-18,9,WINGS,MARY HAD A LITTLE LAMB,10,9,5
1972-06-18,10,LINDISFARNE,LADY ELEANOR,6,3,7
1972-06-18,11,NEW WORLD,SISTER JANE,9,9,7
1972-06-18,12,HURRICANE SMITH,"OH BABE, WHAT WOULD YOU SAY?",8,4,9
1972-06-18,13,DONNY OSMOND,PUPPY LOVE,36,13,2
1972-06-18,14,THE CHI-LITES,OH GIRL,25,14,5
1972-06-18,15,NEIL DIAMOND,SONG SUNG BLUE,16,15,7
1972-06-18,16,THE KINKS,SUPERSONIC ROCKET SHIP,17,16,5
1972-06-18,17,ROBERTA FLACK,THE FIRST TIME EVER I SAW YOUR FACE,22,17,5
1972-06-18,18,GILBERT O'SULLIVAN,OOH-WAKKA-DOO-WAKKA-DAY,40,18,2
1972-06-18,19,ELTON JOHN,ROCKET MAN,11,2,10
1972-06-18,20,FREE,LITTLE BIT OF LOVE,19,19,5
1972-06-18,21,THE NEW SEEKERS,CIRCLES,32,21,3
1972-06-18,22,THE MOODY BLUES,ISN'T LIFE STRANGE,15,13,8
1972-06-18,23,PIPES AND DRUMS AND THE MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARD,AMAZING GRACE,18,1,13
1972-06-18,24,ELVIS PRESLEY,AN AMERICAN TRILOGY,27,24,2
1972-06-18,25,B BUMBLE AND THE STINGERS,NUT ROCKER {1972},30,25,4
1972-06-18,26,DIANA ROSS,DOOBEDOOD'NDOOBE DOOBEDOOD'NDOOBE,12,12,7
1972-06-18,27,CHICORY TIP,WHAT'S YOUR NAME,13,13,6
1972-06-18,28,DAVID CASSIDY,COULD IT BE FOREVER/CHERISH,14,2,12
1972-06-18,29,PROCOL HARUM,A WHITER SHADE OF PALE {1972},20,13,10
1972-06-18,30,VICKY LEANDROS,COME WHAT MAY,29,2,12
1972-06-18,31,LOVE UNLIMITED,WALKIN' IN THE RAIN WITH THE ONE I LOVE,44,31,2
1972-06-18,32,JUDY COLLINS,AMAZING GRACE,26,5,53
1972-06-18,33,JOHNNY CASH AND THE EVANGEL TEMPLE CHOIR,A THING CALLED LOVE,24,4,11
1972-06-18,34,FREDERICK KNIGHT,I'VE BEEN LONELY FOR SO LONG,38,34,3
1972-06-18,35,THE STAPLE SINGERS,I'LL TAKE YOU THERE,33,32,3
1972-06-18,36,THE WHO,JOIN TOGETHER,New,36,1
1972-06-18,37,PEARLS,THIRD FINGER LEFT HAND,31,31,5
1972-06-18,38,THE STYLISTICS,BETCHA BY GOLLY WOW,New,38,1
1972-06-18,39,LEEDS UNITED F.C.,LEEDS UNITED,28,10,9
1972-06-18,40,THE CHAKACHAS,JUNGLE FEVER,39,29,5
1972-06-18,41,DONALD PEERS AND THE LES REED ORCHESTRA,GIVE ME ONE MORE CHANCE,New,41,1
1972-06-18,42,GLADYS KNIGHT AND THE PIPS,JUST WALK IN MY SHOES,45,42,2
1972-06-18,43,ARGENT,TRAGEDY,43,43,3
1972-06-18,44,DR HOOK AND THE MEDICINE SHOW,SYLVIA'S MOTHER,New,44,1
1972-06-18,45,NILSSON,COCONUT,42,42,4
1972-06-18,46,JOHNNY NASH,I CAN SEE CLEARLY NOW,New,46,1
1972-06-18,47,DONNIE ELBERT,LITTLE PIECE OF LEATHER,34,27,9
1972-06-18,48,BRUCE RUFFIN,MAD ABOUT YOU,New,48,1
1972-06-18,49,DAVID BOWIE,STARMAN,New,49,1
1972-06-18,50,PAUL SIMON,ME AND JULIO DOWN BY THE SCHOOLYARD,35,15,9
