chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
2/5/1993,1,GEORGE MICHAEL AND QUEEN WITH LISA STANSFIELD,FIVE LIVE (EP),1,1,2
2/5/1993,2,JANET JACKSON,THAT'S THE WAY LOVE GOES,New,2,1
2/5/1993,3,WHITNEY HOUSTON,I HAVE NOTHING,3,3,3
2/5/1993,4,2 UNLIMITED,TRIBAL DANCE,New,4,1
2/5/1993,5,ACE OF BASE,ALL THAT SHE WANTS,New,5,1
2/5/1993,6,INNER CIRCLE,SWEAT (A LA LA LA LA LONG) {1993},20,6,7
2/5/1993,7,SUB SUB FEATURING MELANIE WILLIAMS,AIN'T NO LOVE (AIN'T NO USE) FT MELANIE WILLIAMS,4,3,5
2/5/1993,8,THE BLUEBELLS,YOUNG AT HEART {1993},2,1,7
2/5/1993,9,R.E.M.,EVERYBODY HURTS,9,9,4
2/5/1993,10,SNOW,INFORMER,5,2,9
2/5/1993,11,CAPPELLA,U GOT 2 KNOW,6,6,6
2/5/1993,12,UTAH SAINTS,BELIEVE IN ME,New,12,1
2/5/1993,13,SYBIL,WHEN I'M GOOD AND READY,7,5,8
2/5/1993,14,ROBIN S,SHOW ME LOVE,10,6,12
2/5/1993,15,SHABBA RANKS FEATURING MAXI PRIEST,HOUSECALL {1993} FT MAXI PRIEST,New,15,1
2/5/1993,16,RAGE AGAINST THE MACHINE,BULLET IN THE HEAD,New,16,1
2/5/1993,17,SWV,I'M SO INTO YOU,21,17,2
2/5/1993,18,SONIA,BETTER THE DEVIL YOU KNOW,22,18,2
2/5/1993,19,SHAGGY,OH CAROLINA,12,1,14
2/5/1993,20,KINGMAKER,10 YEARS ASLEEP,New,20,1
2/5/1993,21,D:REAM,U R THE BEST THING {1993},19,19,3
2/5/1993,22,DEPECHE MODE,WALKING IN MY SHOES,New,22,1
2/5/1993,23,THE PRODIGY,WIND IT UP (REWOUND),11,11,4
2/5/1993,24,DR. ALBAN,SING HALLELUJAH,16,16,5
2/5/1993,25,NEW ORDER,REGRET,8,4,4
2/5/1993,26,DURAN DURAN,COME UNDONE,15,13,5
2/5/1993,27,THE SOUNDS OF BLACKNESS,I'M GOING ALL THE WAY,New,27,1
2/5/1993,28,BLUR,FOR TOMORROW,28,28,2
2/5/1993,29,BIG COUNTRY,SHIPS (WHERE WERE YOU),29,29,2
2/5/1993,30,SHABBA RANKS,MR LOVERMAN {1993},14,3,9
2/5/1993,31,JUNGLE BOOK,THE JUNGLE BOOK GROOVE,New,31,1
2/5/1993,32,LIONROCK,PACKET OF PEACE,New,32,1
2/5/1993,33,GARY MOORE,PARISIENNE WALKWAYS {1993},New,33,1
2/5/1993,34,DEF LEPPARD,TONIGHT,34,34,2
2/5/1993,35,DANCE 2 TRANCE,P.OWER OF A.MERICAN N.ATIVES,25,25,3
2/5/1993,36,TERENCE TRENT D'ARBY,DO YOU LOVE ME LIKE YOU SAY?,17,14,4
2/5/1993,37,ROBERT PLANT,29 PALMS,New,37,1
2/5/1993,38,WET WET WET,BLUE FOR YOU/THIS TIME (LIVE),New,38,1
2/5/1993,39,EAST 17,SLOW IT DOWN,18,13,5
2/5/1993,40,ANTHRAX,ONLY,New,40,1
2/5/1993,41,THE DAVE CLARK FIVE,GLAD ALL OVER {1993},37,37,2
2/5/1993,42,EVERYTHING BUT THE GIRL,THE ONLY LIVING BOY IN NEW YORK (EP),58,42,3
2/5/1993,43,2 UNLIMITED,NO LIMIT,24,1,15
2/5/1993,44,SADE,KISS OF LIFE,New,44,1
2/5/1993,45,STING,SEVEN DAYS,26,25,3
2/5/1993,46,SILK,FREAK ME,49,46,3
